 Date 	Total Tests 	Total Serologic Tests 	Total Diagnostic Tests
3/10/2020 	3 	0 	3
3/11/2020 	1 	0 	1
3/12/2020 	24 	0 	24
3/13/2020 	21 	0 	21
3/14/2020 	27 	0 	27
3/15/2020 	33 	0 	33
3/16/2020 	156 	0 	156
3/17/2020 	834 	0 	834
3/18/2020 	751 	0 	751
3/19/2020 	738 	0 	738
3/20/2020 	1251 	0 	1,251
3/21/2020 	1358 	0 	1,358
3/22/2020 	1020 	0 	1,020
3/23/2020 	1453 	0 	1,453
3/24/2020 	1679 	0 	1,679
3/25/2020 	2425 	0 	2,425
3/26/2020 	3814 	0 	3,814
3/27/2020 	3453 	0 	3,453
3/28/2020 	2483 	0 	2,483
3/29/2020 	2379 	0 	2,379
3/30/2020 	7307 	0 	7,307
3/31/2020 	4407 	0 	4,407
4/1/2020 	5530 	0 	5,530
4/2/2020 	5259 	0 	5,259
4/3/2020 	5489 	0 	5,489
4/4/2020 	6432 	0 	6,432
4/5/2020 	4829 	0 	4,829
4/6/2020 	4799 	0 	4,799
4/7/2020 	4119 	0 	4,119
4/8/2020 	3340 	0 	3,340
4/9/2020 	4122 	0 	4,122
4/10/2020 	4074 	0 	4,074
4/11/2020 	3188 	0 	3,188
4/12/2020 	3236 	0 	3,236
4/13/2020 	3451 	15 	3,436
4/14/2020 	4653 	181 	4,472
4/15/2020 	4641 	563 	4,078
4/16/2020 	5479 	309 	5,170
4/17/2020 	6032 	513 	5,519
4/18/2020 	4540 	3 	4,537
4/19/2020 	3112 	0 	3,112
4/20/2020 	4206 	30 	4,176
4/21/2020 	7010 	46 	6,964
4/22/2020 	7481 	8 	7,473
4/23/2020 	8907 	166 	8,741
4/24/2020 	8080 	384 	7,696
4/25/2020 	7537 	1,248 	6,289
4/26/2020 	6038 	314 	5,724
4/27/2020 	6634 	164 	6,470
4/28/2020 	8069 	132 	7,937
4/29/2020 	10948 	1,405 	9,543
4/30/2020 	11331 	859 	10,472
5/1/2020 	11591 	1,722 	9,869
5/2/2020 	10799 	1,100 	9,699
5/3/2020 	7245 	294 	6,951
5/4/2020 	7357 	361 	6,996
5/5/2020 	10780 	588 	10,192
5/6/2020 	13609 	2,282 	11,327
5/7/2020 	13937 	2,860 	11,077
5/8/2020 	13076 	1,646 	11,430
5/9/2020 	12801 	1,963 	10,838
5/10/2020 	9892 	1,444 	8,448
5/11/2020 	12143 	1,528 	10,615
5/12/2020 	14399 	1,370 	13,029
5/13/2020 	25156 	6,462 	18,694
5/14/2020 	21253 	4,210 	17,043
5/15/2020 	19807 	5,558 	14,249
5/16/2020 	13544 	2,509 	11,035
5/17/2020 	13766 	2,635 	11,131
5/18/2020 	14414 	1,886 	12,528
5/19/2020 	18615 	2,718 	15,897
5/20/2020 	17728 	4,607 	13,121
5/21/2020 	22796 	7,890 	14,906
Total 	512,891 	61,973 	450,918
