,Date,Probable,Confirmed,Total,Confirmed_Cumulative,Probable_Cumulative,Total_Cumulative
0,03/06/2020,2,1,3,1,2,3
1,03/07/2020,2,0,2,1,4,5
2,03/08/2020,3,1,4,2,7,9
3,03/09/2020,3,3,6,5,10,15
4,03/10/2020,5,5,10,10,15,25
5,03/11/2020,2,9,11,19,17,36
6,03/12/2020,7,42,49,61,24,85
7,03/13/2020,3,25,28,86,27,113
8,03/14/2020,2,25,27,111,29,140
9,03/15/2020,4,24,28,135,33,168
10,03/16/2020,7,125,132,260,40,300
11,03/17/2020,5,147,152,407,45,452
12,03/18/2020,7,212,219,619,52,671
13,03/19/2020,3,258,261,877,55,932
14,03/20/2020,7,260,267,1137,62,1199
15,03/21/2020,3,188,191,1325,65,1390
16,03/22/2020,8,146,154,1471,73,1544
17,03/23/2020,12,418,430,1889,85,1974
18,03/24/2020,12,464,476,2353,97,2450
19,03/25/2020,6,472,478,2825,103,2928
20,03/26/2020,6,647,653,3472,109,3581
21,03/27/2020,11,643,654,4115,120,4235
22,03/28/2020,4,453,457,4568,124,4692
23,03/29/2020,6,342,348,4910,130,5040
24,03/30/2020,17,848,865,5758,147,5905
25,03/31/2020,16,878,894,6636,163,6799
26,04/01/2020,27,917,944,7553,190,7743
27,04/02/2020,21,878,899,8431,211,8642
28,04/03/2020,31,826,857,9257,242,9499
29,04/04/2020,15,658,673,9915,257,10172
30,04/05/2020,18,440,458,10355,275,10630
31,04/06/2020,42,1035,1077,11390,317,11707
32,04/07/2020,40,1114,1154,12504,357,12861
33,04/08/2020,21,1132,1153,13636,378,14014
34,04/09/2020,22,958,980,14594,400,14994
35,04/10/2020,21,1062,1083,15656,421,16077
36,04/11/2020,18,620,638,16276,439,16715
37,04/12/2020,30,352,382,16628,469,17097
38,04/13/2020,35,644,679,17272,504,17776
39,04/14/2020,67,1179,1246,18451,571,19022
40,04/15/2020,61,1026,1087,19477,632,20109
41,04/16/2020,42,919,961,20396,674,21070
42,04/17/2020,45,955,1000,21351,719,22070
43,04/18/2020,44,483,527,21834,763,22597
44,04/19/2020,32,337,369,22171,795,22966
45,04/20/2020,32,967,999,23138,827,23965
46,04/21/2020,54,781,835,23919,881,24800
47,04/22/2020,41,854,895,24773,922,25695
48,04/23/2020,61,795,856,25568,983,26551
49,04/24/2020,38,744,782,26312,1021,27333
50,04/25/2020,15,476,491,26788,1036,27824
51,04/26/2020,17,298,315,27086,1053,28139
52,04/27/2020,54,825,879,27911,1107,29018
53,04/28/2020,23,699,722,28610,1130,29740
54,04/29/2020,35,757,792,29367,1165,30532
55,04/30/2020,40,627,667,29994,1205,31199
56,05/01/2020,31,694,725,30688,1236,31924
57,05/02/2020,33,429,462,31117,1269,32386
58,05/03/2020,28,336,364,31453,1297,32750
59,05/04/2020,29,618,647,32071,1326,33397
60,05/05/2020,40,662,702,32733,1366,34099
61,05/06/2020,28,498,526,33231,1394,34625
62,05/07/2020,24,514,538,33745,1418,35163
63,05/08/2020,39,542,581,34287,1457,35744
64,05/09/2020,13,205,218,34492,1470,35962
65,05/10/2020,8,189,197,34681,1478,36159
66,05/11/2020,23,585,608,35266,1501,36767
67,05/12/2020,33,568,601,35834,1534,37368
68,05/13/2020,38,673,711,36507,1572,38079
69,05/14/2020,29,471,500,36978,1601,38579
70,05/15/2020,26,415,441,37393,1627,39020
71,05/16/2020,13,181,194,37574,1640,39214
72,05/17/2020,9,140,149,37714,1649,39363
73,05/18/2020,13,449,462,38163,1662,39825
74,05/19/2020,12,592,604,38755,1674,40429
75,05/20/2020,26,492,518,39247,1700,40947
76,05/21/2020,21,374,395,39621,1721,41342
77,05/22/2020,18,276,294,39897,1739,41636
78,05/23/2020,10,138,148,40035,1749,41784
79,05/24/2020,6,108,114,40143,1755,41898
80,05/25/2020,5,76,81,40219,1760,41979
81,05/26/2020,19,335,354,40554,1779,42333
82,05/27/2020,16,379,395,40933,1795,42728
83,05/28/2020,11,235,246,41168,1806,42974
84,05/29/2020,12,198,210,41366,1818,43184
85,05/30/2020,8,113,121,41479,1826,43305
86,05/31/2020,12,71,83,41550,1838,43388
87,06/01/2020,10,254,264,41804,1848,43652
88,06/02/2020,4,262,266,42066,1852,43918
89,06/03/2020,1,189,190,42255,1853,44108
90,06/04/2020,2,167,169,42422,1855,44277
91,06/05/2020,4,153,157,42575,1859,44434
92,06/06/2020,1,58,59,42633,1860,44493
93,06/07/2020,5,44,49,42677,1865,44542
94,06/08/2020,3,223,226,42900,1868,44768
95,06/09/2020,7,196,203,43096,1875,44971
96,06/10/2020,6,267,273,43363,1881,45244
97,06/11/2020,10,91,101,43454,1891,45345
98,06/12/2020,5,75,80,43529,1896,45425
99,06/13/2020,3,44,47,43573,1899,45472
100,06/14/2020,1,36,37,43609,1900,45509
101,06/15/2020,5,105,110,43714,1905,45619
102,06/16/2020,5,85,90,43799,1910,45709
103,06/17/2020,1,113,114,43912,1911,45823
104,06/18/2020,5,83,88,43995,1916,45911
105,06/19/2020,8,73,81,44068,1924,45992
106,06/20/2020,0,54,54,44122,1924,46046
107,06/21/2020,5,26,31,44148,1929,46077
108,06/22/2020,1,79,80,44227,1930,46157
109,06/23/2020,3,102,105,44329,1933,46262
