reportdt,confirmedcases,totalspeccnmi,totaltestedcnmi,deaths,recovered,hospitalized,Date,confirmedcases_cumulative,totalspeccnmi_cumulative,deaths_cumulative,recovered_cumulative,hospitalized_cumulative
2020-03-28,2,5.0,,0,0,,20200328,2,5.0,0,0,
2020-03-29,0,2.0,,0,0,,20200329,2,7.0,0,0,
2020-03-30,0,22.0,,0,0,,20200330,2,29.0,0,0,
2020-03-31,0,0.0,,1,1,,20200331,2,29.0,1,1,
2020-04-01,4,2.0,,0,0,,20200401,6,31.0,1,1,
2020-04-02,2,2.0,,0,0,,20200402,8,33.0,1,1,
2020-04-03,0,1.0,,0,0,,20200403,8,34.0,1,1,
2020-04-04,0,0.0,,0,0,,20200404,8,34.0,1,1,
2020-04-05,0,0.0,,0,0,,20200405,8,34.0,1,1,
2020-04-06,0,8.0,,0,0,,20200406,8,42.0,1,1,
2020-04-07,0,3.0,,1,0,,20200407,8,45.0,2,1,
2020-04-08,3,2.0,,0,0,,20200408,11,47.0,2,1,
2020-04-09,0,1.0,,0,0,,20200409,11,48.0,2,1,
2020-04-10,0,0.0,,0,2,,20200410,11,48.0,2,3,
2020-04-11,0,0.0,,0,3,,20200411,11,48.0,2,6,
2020-04-12,0,0.0,,0,1,,20200412,11,48.0,2,7,
2020-04-13,0,7.0,,0,0,,20200413,11,55.0,2,7,
2020-04-14,2,4.0,,0,0,,20200414,13,59.0,2,7,
2020-04-15,0,0.0,,0,0,,20200415,13,59.0,2,7,
2020-04-16,0,2.0,,0,0,,20200416,13,61.0,2,7,
2020-04-17,0,4.0,,0,0,,20200417,13,65.0,2,7,
2020-04-18,1,2.0,,0,1,,20200418,14,67.0,2,8,
2020-04-19,0,2.0,,0,2,,20200419,14,69.0,2,10,
2020-04-20,0,1.0,,0,1,,20200420,14,70.0,2,11,
2020-04-21,0,10.0,,0,0,,20200421,14,80.0,2,11,
2020-04-22,0,4.0,,0,0,,20200422,14,84.0,2,11,
2020-04-23,0,5.0,,0,0,,20200423,14,89.0,2,11,
2020-04-24,0,8.0,,0,0,,20200424,14,97.0,2,11,
2020-04-25,0,115.0,,0,1,,20200425,14,212.0,2,12,
2020-04-26,0,98.0,,0,0,,20200426,14,310.0,2,12,
2020-04-27,0,91.0,,0,0,,20200427,14,401.0,2,12,
2020-04-28,0,163.0,,0,0,,20200428,14,564.0,2,12,
2020-04-29,0,189.0,,0,0,,20200429,14,753.0,2,12,
2020-04-30,0,227.0,,0,0,,20200430,14,980.0,2,12,
2020-05-01,0,194.0,,0,0,,20200501,14,1174.0,2,12,
2020-05-02,0,188.0,,0,0,,20200502,14,1362.0,2,12,
2020-05-03,0,408.0,,0,0,,20200503,14,1770.0,2,12,
2020-05-04,0,168.0,,0,0,,20200504,14,1938.0,2,12,
2020-05-05,0,341.0,,0,0,,20200505,14,2279.0,2,12,
2020-05-06,1,355.0,,0,0,,20200506,15,2634.0,2,12,
2020-05-07,0,231.0,,0,0,,20200507,15,2865.0,2,12,
2020-05-08,0,18.0,,0,0,,20200508,15,2883.0,2,12,
2020-05-09,1,53.0,,0,0,,20200509,16,2936.0,2,12,
2020-05-10,0,64.0,,0,0,,20200510,16,3000.0,2,12,
2020-05-11,3,145.0,,0,0,,20200511,19,3145.0,2,12,
2020-05-12,0,190.0,,0,0,,20200512,19,3335.0,2,12,
2020-05-13,0,190.0,,0,0,,20200513,19,3525.0,2,12,
2020-05-14,0,343.0,,0,0,,20200514,19,3868.0,2,12,
2020-05-15,0,216.0,,0,0,,20200515,19,4084.0,2,12,
2020-05-16,2,186.0,,0,0,,20200516,21,4270.0,2,12,
2020-05-17,0,91.0,,0,0,,20200517,21,4361.0,2,12,
2020-05-18,0,149.0,,0,1,,20200518,21,4510.0,2,13,
2020-05-19,0,81.0,,0,0,,20200519,21,4591.0,2,13,
2020-05-20,0,511.0,,0,0,,20200520,21,5102.0,2,13,
2020-05-21,1,256.0,,0,0,,20200521,22,5358.0,2,13,
2020-05-22,0,196.0,,0,0,,20200522,22,5554.0,2,13,
2020-05-23,0,312.0,,0,0,,20200523,22,5866.0,2,13,
2020-05-24,0,201.0,,0,1,,20200524,22,6067.0,2,14,
2020-05-25,0,8.0,,0,0,,20200525,22,6075.0,2,14,
2020-05-26,0,296.0,,0,0,,20200526,22,6371.0,2,14,
2020-05-27,0,248.0,,0,0,,20200527,22,6619.0,2,14,
2020-05-28,0,334.0,,0,0,,20200528,22,6953.0,2,14,
2020-05-29,0,339.0,,0,1,,20200529,22,7292.0,2,15,
2020-05-30,0,214.0,,0,1,,20200530,22,7506.0,2,16,
2020-05-31,0,167.0,,0,0,,20200531,22,7673.0,2,16,
2020-06-01,0,47.0,,0,0,,20200601,22,7720.0,2,16,
2020-06-02,1,285.0,,0,0,,20200602,23,8005.0,2,16,
2020-06-03,0,163.0,,0,0,,20200603,23,8168.0,2,16,
2020-06-04,3,198.0,,0,0,,20200604,26,8366.0,2,16,
2020-06-05,0,227.0,,0,0,,20200605,26,8593.0,2,16,
2020-06-06,0,240.0,,0,1,,20200606,26,8833.0,2,17,
2020-06-07,1,160.0,,0,2,,20200607,27,8993.0,2,19,
2020-06-08,1,67.0,,0,0,4.0,20200608,28,9060.0,2,19,4.0
2020-06-09,2,166.0,,0,0,0.0,20200609,30,9226.0,2,19,4.0
2020-06-10,0,96.0,,0,2,0.0,20200610,30,9322.0,2,21,4.0
2020-06-11,0,253.0,,0,0,0.0,20200611,30,9575.0,2,21,4.0
2020-06-12,0,207.0,,0,0,0.0,20200612,30,9782.0,2,21,4.0
