Day of data collection,Number of hospitalized and ICU with confirmed COVID-19
"July 13, 2020",35
"July 12, 2020",33
"July 11, 2020",33
"July 10, 2020",29
"July 9, 2020",28
"July 8, 2020",26
"July 7, 2020",25
"July 6, 2020",22
"July 5, 2020",19
"July 4, 2020",23
"July 3, 2020",23
"July 2, 2020",17
"July 1, 2020",18
"June 30, 2020",18
"June 29, 2020",17
"June 28, 2020",18
"June 27, 2020",19
"June 26, 2020",20
"June 25, 2020",14
"June 24, 2020",14
"June 23, 2020",14
"June 22, 2020",12
"June 21, 2020",12
"June 20, 2020",9
"June 19, 2020",9
"June 18, 2020",7
"June 17, 2020",8
"June 16, 2020",6
"June 15, 2020",5
"June 14, 2020",6
"June 13, 2020",5
"June 12, 2020",5
"June 11, 2020",7
"June 10, 2020",7
"June 9, 2020",7
"June 8, 2020",8
"June 7, 2020",8
"June 6, 2020",8
"June 5, 2020",8
"June 4, 2020",3
"June 3, 2020",3
"June 2, 2020",4
"June 1, 2020",3
"May 31, 2020",3
