Day of data collection,Patients currently hospitalized in an inpatient bed who have suspected or confirmed COVID-19
"March 26, 2020",0
"March 26, 2020",0
"March 26, 2020",9
"March 26, 2020",3
"March 26, 2020",1
"March 26, 2020",21
"March 26, 2020",0
"March 26, 2020",0
"March 26, 2020",0
"March 26, 2020",0
"March 26, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",8
"March 27, 2020",3
"March 27, 2020",2
"March 27, 2020",18
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 27, 2020",0
"March 28, 2020",0
"March 28, 2020",0
"March 28, 2020",0
"March 28, 2020",0
"March 28, 2020",8
"March 28, 2020",3
"March 28, 2020",3
"March 28, 2020",22
"March 28, 2020",0
"March 28, 2020",1
"March 28, 2020",0
"March 28, 2020",0
"March 28, 2020",0
"March 28, 2020",0
"March 29, 2020",0
"March 29, 2020",0
"March 29, 2020",0
"March 29, 2020",0
"March 29, 2020",8
"March 29, 2020",4
"March 29, 2020",4
"March 29, 2020",17
"March 29, 2020",0
"March 29, 2020",2
"March 29, 2020",0
"March 29, 2020",0
"March 29, 2020",0
"March 29, 2020",0
"March 30, 2020",0
"March 30, 2020",1
"March 30, 2020",0
"March 30, 2020",3
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",7
"March 30, 2020",5
"March 30, 2020",2
"March 30, 2020",22
"March 30, 2020",0
"March 30, 2020",2
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",0
"March 30, 2020",0
"March 31, 2020",0
"March 31, 2020",1
"March 31, 2020",0
"March 31, 2020",4
"March 31, 2020",0
"March 31, 2020",0
"March 31, 2020",1
"March 31, 2020",0
"March 31, 2020",0
"March 31, 2020",0
"March 31, 2020",2
"March 31, 2020",6
"March 31, 2020",6
"March 31, 2020",1
"March 31, 2020",22
"March 31, 2020",0
"March 31, 2020",2
"March 31, 2020",0
"March 31, 2020",0
"March 31, 2020",0
"March 31, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",1
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
"April 1, 2020",0
