Date,Cum_cases,ObjectId,Date_,daily_cases,daily_recoveries,daily_deaths,daily_hospitalizations,cum_recoveries,cum_deaths,cum_hospitalizations,active_cases,Economic_Region
2020-03-03 12:00:00,3,1,1583236800000,3,0,0,0,0,0,0,3,Statewide
2020-03-04 12:00:00,4,2,1583323200000,1,0,0,0,0,0,0,4,Statewide
2020-03-05 12:00:00,5,3,1583409600000,1,0,0,0,0,0,0,5,Statewide
2020-03-06 12:00:00,6,4,1583496000000,1,0,0,1,0,0,1,6,Statewide
2020-03-07 12:00:00,7,5,1583582400000,1,0,0,0,0,0,1,7,Statewide
2020-03-08 12:00:00,8,6,1583668800000,1,0,0,0,0,0,1,8,Statewide
2020-03-09 12:00:00,8,7,1583755200000,0,0,0,0,0,0,1,8,Statewide
2020-03-10 12:00:00,15,8,1583841600000,7,0,0,0,0,0,1,15,Statewide
2020-03-11 12:00:00,16,9,1583928000000,1,0,0,0,0,0,1,16,Statewide
2020-03-12 12:00:00,20,10,1584014400000,4,1,0,0,1,0,1,19,Statewide
2020-03-13 12:00:00,23,11,1584100800000,3,0,0,0,1,0,1,22,Statewide
2020-03-14 12:00:00,30,12,1584187200000,7,0,0,0,1,0,1,29,Statewide
2020-03-15 12:00:00,41,13,1584273600000,11,0,0,0,1,0,1,40,Statewide
2020-03-16 12:00:00,54,14,1584360000000,13,0,1,0,1,1,1,52,Statewide
2020-03-17 12:00:00,70,15,1584446400000,16,1,0,0,2,1,1,67,Statewide
2020-03-18 12:00:00,86,16,1584532800000,16,1,0,0,3,1,1,82,Statewide
2020-03-19 12:00:00,101,17,1584619200000,15,0,0,0,3,1,1,97,Statewide
2020-03-20 12:00:00,114,18,1584705600000,13,1,0,0,4,1,1,109,Statewide
2020-03-21 12:00:00,127,19,1584792000000,13,0,0,1,4,1,2,122,Statewide
2020-03-22 12:00:00,136,20,1584878400000,9,1,0,1,5,1,3,130,Statewide
2020-03-23 12:00:00,153,21,1584964800000,17,4,0,0,9,1,3,143,Statewide
2020-03-24 12:00:00,165,22,1585051200000,12,2,0,2,11,1,5,153,Statewide
2020-03-25 12:00:00,176,23,1585137600000,11,4,0,5,15,1,10,160,Statewide
2020-03-26 12:00:00,188,24,1585224000000,12,4,0,0,19,1,10,168,Statewide
2020-03-27 12:00:00,200,25,1585310400000,12,10,1,0,29,2,10,169,Statewide
2020-03-28 12:00:00,204,26,1585396800000,4,4,1,2,33,3,12,168,Statewide
2020-03-29 12:00:00,214,27,1585483200000,10,4,1,3,37,4,15,173,Statewide
2020-03-30 12:00:00,228,28,1585569600000,14,6,0,1,43,4,16,181,Statewide
2020-03-31 12:00:00,237,29,1585656000000,9,3,0,1,46,4,17,187,Statewide
2020-04-01 12:00:00,247,30,1585742400000,10,10,0,0,56,4,17,187,Statewide
2020-04-02 12:00:00,257,31,1585828800000,10,9,0,4,65,4,21,188,Statewide
2020-04-03 12:00:00,263,32,1585915200000,6,16,1,4,81,5,25,177,Statewide
2020-04-04 12:00:00,272,33,1586001600000,9,7,1,1,88,6,26,178,Statewide
2020-04-05 12:00:00,278,34,1586088000000,6,10,0,2,98,6,28,174,Statewide
2020-04-06 12:00:00,287,35,1586174400000,9,14,0,2,112,6,30,169,Statewide
2020-04-07 12:00:00,297,36,1586260800000,10,13,1,0,125,7,30,165,Statewide
