,Backfill Analysis,,,,,,,,,,,,,,Auto Fetch:,ANTIBODY_TOTAL,ANTIBODY_POS,ANTIBODY_NEG,SPECIMENS,SPECIMENS_POS,SPECIMENS_NEG,CONFIRMED,TOTAL,POSITIVE,NEGATIVE,PENDING,CURR_HOSP,HOSP,CURR_ICU,ICU,CURR_VENT,VENT,RECOVERED,DEATH,DEATH_CONFIRMED,DEATH_PROBABLE
,,,,,,,,,,,,,,,States Daily:,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable)
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,Assume Hidden:,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Total PCR Tests (People),"Positive Cases (People, confirmed + probable)",Negative (People or Cases),Pending,"Currently 
Hospitalized",Cumulative Hospitalized,"Currently
in ICU","Cumulative
in ICU","Currently 
on Ventilator","Cumulative 
on Ventilator",Recovered,Deaths (confirmed and probable),Deaths (confirmed),Deaths (probable)
,Date,"Currently
in ICU",Proposed,Spot check value,"Currently 
Hospitalized",Proposed,Spot check value,,,,,,,,Sensitivity,0.01,,,,,,,,,,,,,,,,,,,,
,2020-07-15,33,35,,129,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-14,33,35,,129,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-13,22,35,,86,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-12,22,33,,86,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-11,22,33,,86,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-10,22,29,,91,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-09,22,28,,91,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-08,19,26,,50,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-07,19,25,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-06,18,22,,75,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-05,18,19,,75,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-04,18,23,,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-03,15,23,,42,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-02,15,17,,42,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-01,15,18,,42,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-30,15,18,,42,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-29,15,17,,42,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-28,15,18,,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-27,15,19,,35,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-26,16,20,,44,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-25,10,14,,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-24,11,14,,31,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-23,11,14,,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-22,9,12,,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-21,8,12,,41,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-20,5,9,,33,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-19,6,9,,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-18,6,7,,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-17,6,8,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-16,6,6,,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-15,5,5,,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-14,5,6,,25,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-13,5,5,,25,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-12,5,5,,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-11,6,7,,26,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-10,6,7,,20,20,,,,,,,,,"""NOTES: 

Date alignment is """"right"""", but states_daily is really wrong. DE instructions say to use the most recent day as today, but most recent day is not today!

For some reason historical data for ICU is shorter than what's in states daily. Do we blank out the older days, or leave them?

Visualizations make no sense for this type of data -- we need to have a toggle to change the visualization style.""",,,,,,,,,,,,,,,,,,,,,
,2020-06-09,6,7,,23,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-08,8,8,,29,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-07,8,8,,33,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-06,8,8,,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-05,8,8,,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-04,2,3,,27,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-03,2,3,,32,30,,,,,,,,,"Visualization: should it still be on the shame chart, colorful bars? or something else?",,,,,,,,,,,,,,,,,,,,,
