Date,State,Positive,Negative,Hospitalized – Currently,Recovered,Deaths,Negative Antibody Tests,Total Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Deaths (confirmed),Total PCR Tests (People)
20200801,GU,,,,,,,,,,,=359+21685
20200730,MO,,=675133-48834,,,,,,,,,
20200729,MO,,=660899-46750,,,,,,,,,
20200728,MO,,=652924 - 44823,,,,,,,,,
20200708,KY,,=415204-17202,,,,,,,,,
20200703,FL,,,,,=3684+101,,,,,=3684+101,
20200703,TN,,,=660+289,,,,,,,,
20200702,IL,=144882+1053,=1666317-144882,,,=6987+201,,,,,,
20200702,TN,,,=660+289,,,,,,,,
20200701,TN,,,=632+323,,,,,,,,
20200630,TN,,,=589+297,,,,,,,,
20200629,TN,,,=527+312,,,,,,,,
20200628,TN,,,=525+275,,,,,,,,
20200627,TN,,,=501+204,,,,,,,,
20200626,TN,,,=506+235,,,,,,,,
20200625,TN,,,=499+242,,,,,,,,
20200624,TN,,,=476+220,,,,,,,,
20200623,TN,,,=473+248,,,,,,,,
20200622,TN,,,=448+216,,,,,,,,
20200621,GA,,=698307-64701,,,,=140694-8017,,=698307-58928,,,
20200621,TN,,,=408+197,,,,,,,,
20200620,TN,,,=395+193,,,,,,,,
20200619,TN,,,=430+205,,,,,,,,
20200611,DC,,,,,,,,,,,=sum(C3146:D3146)
20200611,DE,,,,,,,,,,,=10106+63927
20200611,NC,,,,,,,,,,,=C3168+D3168
20200611,NH,,,,,,,,,,,=C3171+D3171
20200611,SD,,,,,,,,,,,=5665+56079
20200610,DC,,,,,,,,,,,=sum(C3202:D3202)
20200610,DE,,,,,,,,,,,=10056+61689
20200610,NC,,,,,,,,,,,=C3224+D3224
20200610,SD,,,,,,,,,,,=5604+55081
20200609,DC,,,,,,,,,,,=sum(C3258:D3258)
20200609,DE,,,,,,,,,,,=10020+60733
20200609,NC,,,,,,,,,,,=C3280+D3280
20200609,SD,,,,,,,,,,,=5523+53636
20200608,DC,,,,,,,,,,,=sum(C3314:D3314)
20200608,DE,,,,,,,,,,,=9972+59975
20200608,NC,,,,,,,,,,,=C3336+D3336
20200608,SD,,,,,,,,,,,=5471+52348
20200608,TX,,=1120316-75616,,,,,,,,,
20200607,DC,,,,,,,,,,,=sum(C3370:D3370)
20200607,DE,,,,,,,,,,,=9942+59055
20200607,NC,,,,,,,,,,,=C3392+D3392
20200607,OR,,,,,,,,,,,=143592+4808
20200607,SD,,,,,,,,,,,=5438+51622
20200607,UT,,,,,,,,,,,=C3410+D3410
20200606,DC,,,,,,,,,,,=sum(C3426:D3426)
20200606,DE,,,,,,,,,,,=9845+57790
20200606,NC,,,,,,,,,,,=C3448+D3448
20200606,SD,,,,,,,,,,,=5367+50091
20200606,UT,,,,,,,,,,,=C3466+D3466
20200605,DC,,,,,,,,,,,=sum(C3482:D3482)
20200605,DE,,,,,,,,,,,=9773+56956
20200605,NC,,,,,,,,,,,=C3504+D3504
20200605,SD,,,,,,,,,,,=5277+48086
20200605,UT,,,,,,,,,,,=C3522+D3522
20200604,DC,,,,,,,,,,,=sum(C3538:D3538)
20200604,DE,,,,,,,,,,,=9746+56163
20200604,NC,,,,,,,,,,,=C3560+D3560
20200604,SD,,,,,,,,,,,=6247+47375
20200604,UT,,,,,,,,,,,=C3578+D3578
20200603,DC,,,,,,,,,,,=sum(C3594:D3594)
20200603,DE,,,,,,,,,,,=9712+55208
20200603,NC,,,,,,,,,,,=C3616+D3616
20200603,SD,,,,,,,,,,,=5162+43500
20200603,UT,,,,,,,,,,,=C3634+D3634
20200602,DC,,,,,,,,,,,=sum(C3650:D3650)
20200602,DE,,,,,,,,,,,=9685+54377
20200602,NC,,,,,,,,,,,=C3672+D3672
20200602,SD,,,,,,,,,,,=5067+41779
20200602,UT,,,,,,,,,,,=C3690+D3690
20200601,DC,,,,,,,,,,,=sum(C3706:D3706)
20200601,DE,,,,,,,,,,,=9605+52842
20200601,NC,,,,,,,,,,,=C3728+D3728
20200601,SD,,,,,,,,,,,=5034+40627
20200601,UT,,,,,,,,,,,=C3746+D3746
20200531,DC,,,,,,,,,,,=sum(C3762:D3762)
20200531,DE,,,,,,,,,,,=9498+51173
20200531,NC,,,,,,,,,,,=C3784+D3784
20200531,SD,,,,,,,,,,,=4993+39135
20200531,UT,,,,,,,,,,,=C3802+D3802
20200530,TX,,=928517-62338,,,,=98932-3782,,,,,
20200526,GA,,,,,,,=sum(C4045:D4045),,,,
20200525,GA,,,,,,,=sum(C4101:D4101),,,,
20200524,TX,,=762706-54509,,,,,,,,,
20200523,TX,,=762706-54509,,,,,,,,,
20200521,TX,,=740181-52268,,,,=60252-2114,,,,,
20200520,TX,,=720928-51323,,,,,,,,,
20200519,TX,,=700146-49912,,,,,,,,,
20200518,AS,,,,,,,,,,,=sum(C4485:D4485)
20200518,TX,,=679845-48693,,,,,,,,,
20200517,AL,,,,,,,,,,,=sum(C4539:D4539)
20200517,AS,,,,,,,,,,,=sum(C4541:D4541)
20200517,AZ,,,,,,,=sum(C4542:D4542),,,,
20200517,CA,,,,,,,=sum(C4543:D4543),,,,
20200517,GA,,,,,,,=sum(C4549:D4549),,,,
20200517,ID,,,,,,,=V4553+D4553,,,,
20200517,MO,,=146255 - 10789,,,,,,,,,
20200517,NH,,,,,,,,,,,=C4571+D4571
20200517,NJ,,,,,,,,,,,=146334+341231
20200517,PA,,,,,,,,,,,=57991+237989
20200517,PR,,,,,,,,,=C4580-Q4580,,
20200517,TX,,=650355-47784,,,,,,,,,
20200517,VA,,,,,,,=C4587+D4587-1487,,,,
