,Backfill Analysis,,,,,,,,,,,,,,,,,Auto Fetch:,ANTIBODY_TOTAL,ANTIBODY_POS,ANTIBODY_NEG,SPECIMENS,SPECIMENS_POS,SPECIMENS_NEG,CONFIRMED,TOTAL,POSITIVE,NEGATIVE,PENDING,CURR_HOSP,HOSP,CURR_ICU,ICU,CURR_VENT,VENT,RECOVERED,DEATH,DEATH_CONFIRMED,DEATH_PROBABLE
,,,,,,,,,,,,,,,,,,States Daily:,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable)
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,,,Assume Hidden:,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Total PCR Tests (People),"Positive Cases (People, confirmed + probable)",Negative (People or Cases),Pending,"Currently 
Hospitalized",Cumulative Hospitalized,"Currently
in ICU","Cumulative
in ICU","Currently 
on Ventilator","Cumulative 
on Ventilator",Recovered,Deaths (confirmed and probable),Deaths (confirmed),Deaths (probable)
,Date,Positive Cases (PCR),Proposed Confirmed,,Probables,Proposed probables,Positive (lumped),Negative (People or Cases),Proposed,Spot check value,Total Tests (PCR),Proposed,Spot check value,Positives (lumped),Proposed,Spot check value,,Sensitivity,0.01,,,,,,,,,,,,,,,,,,,,
,2020-07-27,,,,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-26,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-25,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-24,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-23,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-22,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-21,46116,46116,,,1980,,"614,741",614741,,660857,660857,,"48,096",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-20,46116,46071,,,1984,,"614,741",609238,,660857,655309,,"48,055",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-19,46071,45910,,,1983,,"609,238",582076,,655309,627986,,"47,893",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-18,45910,45910,,,1983,,"582,076",582076,,627986,627986,,"47,893",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-17,45771,45910,,,1983,,"582,215",582076,,627986,627986,,"47,893",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-16,45653,45771,,,1979,,"582,333",567798,,627986,613569,,"47,750",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-15,45547,45653,,,1983,,"568,022",556463,,613569,602116,,"47,636",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-14,45523,45547,,,1983,,"556,593",544231,,602116,589778,,"47,530",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-13,45308,45523,,,1987,,"544,470",541808,,589778,587331,,"47,510",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-12,45224,45308,,,1979,,"542,107",510922,,587331,556230,,"47,287",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-11,45129,45308,,,1979,,"511,101",510922,,556230,556230,,"47,287",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-10,45056,45308,,,1979,,"511,174",510922,,556230,556230,,"47,287",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-09,44997,45224,,,1985,,"511,233",498412,,556230,543636,,"47,209",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-08,44741,45129,,,1979,,"498,895",490336,,543636,535465,,"47,108",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-07,44672,45056,,,1977,,"490,793",483074,,535465,528130,,"47,033",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-06,44593,44997,,,1979,,"483,537",477388,,528130,522385,,"46,976",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-05,44534,44741,,,1976,,"477,851",452952,,522385,497693,,"46,717",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-04,44384,44741,,,1976,,"453,309",452952,,497693,497693,,"46,717",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-03,44324,44741,,,1976,,"453,369",452952,,497693,497693,,"46,717",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-02,44225,44672,,,1974,,"453,468",442651,,497693,487323,,"46,646",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-01,44086,44593,,,1979,,"443,237",431269,,487323,475862,,"46,572",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-30,44018,44534,,,1980,,"431,844",419880,,475862,464414,,"46,514",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-29,43954,44384,,,1978,,"420,460",398614,,464414,442998,,"46,362",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-28,43941,44324,,,1979,,"399,057",392320,,442998,436644,,"46,303",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-27,43820,44225,,,1981,,"392,824",383342,,436644,427567,,"46,206",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-26,43802,44086,,,1973,,"383,765",370803,,427567,414889,,"46,059",,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-25,43763,44018,,,1976,,"371,126",362949,,414889,406967,,"45,994",,,,,,,,,,,,,,,,,,,,,,,,,
