Raw data downloaded from https://open-fdoh.hub.arcgis.com/datasets/a91ca3832bd448a2a1b1bedad199ba2b/data?page=12,,,,,,,[1] Reversed date and calculated cumulative positives and totals,,,,,,[2 Added missing dates to time series,,,,,,FL,,,,CTP,,,CTP,,
ObjectId,Date,Negative,Positive,Total,PercentPositive,,Date,Positive,Total,Cumulative Positive,Cumulative Total,,Date,Cumulative Total,Cumulative Positive,,,,Total Tests PCR,pos+neg,Percent Diff,Number Diff,Total Tests (PCR),Percent Diff,Number Diff,Total Tests PCR (People),Percent Diff,Number Diff
990,1/28/2020 5:00,1,0,1,0,,10/25/2020 5:00,3361,56560,771989,9638950,,10/25/2020 5:00,"9,638,950","771,989",,,,"9,638,950","5,984,749",61.06%,"3,654,201","8,704,355",10.74%,"934,595","5,992,068",60.86%,"3,646,882"
991,1/30/2020 5:00,3,0,3,0,,10/24/2020 5:00,2364,50215,768628,9582390,,10/24/2020 5:00,"9,582,390","768,628",,,,"9,582,390","5,952,723",60.97%,"3,629,667","8,657,522",10.68%,"924,868","5,960,050",60.78%,"3,622,340"
992,2/3/2020 5:00,2,0,2,0,,10/23/2020 5:00,4409,120483,766264,9532175,,10/23/2020 5:00,"9,532,175","766,264",,,,"9,532,175","5,938,061",60.53%,"3,594,114","8,618,680",10.60%,"913,495","5,945,372",60.33%,"3,586,803"
993,2/7/2020 5:00,1,0,1,0,,10/22/2020 5:00,3702,92812,761855,9411692,,10/22/2020 5:00,"9,411,692","761,855",,,,"9,411,692","5,865,752",60.45%,"3,545,940","8,522,644",10.43%,"889,048","5,873,041",60.25%,"3,538,651"
994,2/10/2020 5:00,1,0,1,0,,10/21/2020 5:00,5441,97356,758153,9318880,,10/21/2020 5:00,"9,318,880","758,153",,,,"9,318,880","5,821,939",60.06%,"3,496,941","8,453,122",10.24%,"865,758","5,829,220",59.86%,"3,489,660"
995,2/12/2020 5:00,1,0,1,0,,10/20/2020 5:00,2142,31901,752712,9221524,,10/20/2020 5:00,"9,221,524","752,712",,,,"9,221,524","5,767,947",59.88%,"3,453,577","8,384,437",9.98%,"837,087","5,775,214",59.67%,"3,446,310"
996,2/14/2020 5:00,3,0,3,0,,10/19/2020 5:00,3587,58302,750570,9189623,,10/19/2020 5:00,"9,189,623","750,570",,,,"9,189,623","5,767,947",59.32%,"3,421,676","8,357,405",9.96%,"832,218","5,775,214",59.12%,"3,414,409"
997,2/16/2020 5:00,1,0,1,0,,10/18/2020 5:00,1745,36064,746983,9131321,,10/18/2020 5:00,"9,131,321","746,983",,,,"9,131,321","5,739,283",59.10%,"3,392,038","8,308,895",9.90%,"822,426","5,746,529",58.90%,"3,384,792"
998,2/21/2020 5:00,1,0,1,0,,10/17/2020 5:00,2464,53114,745238,9095257,,10/17/2020 5:00,"9,095,257","745,238",,,,"9,095,257","5,722,392",58.94%,"3,372,865","8,277,870",9.87%,"817,387","5,729,634",58.74%,"3,365,623"
999,2/24/2020 5:00,1,0,1,0,,10/16/2020 5:00,3982,76807,742774,9042143,,10/16/2020 5:00,"9,042,143","742,774",,,,"9,042,143","5,704,100",58.52%,"3,338,043","8,238,315",9.76%,"803,828","5,711,339",58.32%,"3,330,804"
1000,3/2/2020 5:00,2,2,4,50,,10/15/2020 5:00,3380,77646,738792,8965336,,10/15/2020 5:00,"8,965,336",738792,,,,"8,965,336","5,673,685",58.02%,"3,291,651","8,180,183",9.60%,"785,153","5,680,917",57.81%,"3,284,419"
1001,3/3/2020 5:00,2,1,3,33.33,,10/14/2020 5:00,3288,63585,735412,8887690,,10/14/2020 5:00,"8,887,690",735412,,,,"8,887,690","5,643,521",57.48%,"3,244,169","8,129,895",9.32%,"757,795","5,650,724",57.28%,"3,236,966"
1002,3/4/2020 5:00,15,4,19,21.05,,10/13/2020 5:00,2836,52615,732124,8824105,,10/13/2020 5:00,"8,824,105",732124,,,,"8,824,105","5,615,247",57.15%,"3,208,858","8,083,092",9.17%,"741,013","5,622,438",56.94%,"3,201,667"
1003,3/5/2020 5:00,26,1,27,3.7,,10/12/2020 5:00,2679,53779,729288,8771490,,10/12/2020 5:00,"8,771,490",729288,,,,"8,771,490","5,593,424",56.82%,"3,178,066","8,042,762",9.06%,"728,728","5,600,616",56.62%,"3,170,874"
1004,3/6/2020 5:00,48,0,48,0,,10/11/2020 5:00,1564,36802,726609,8717711,,10/11/2020 5:00,"8,717,711",726609,,,,"8,717,711","5,567,283",56.59%,"3,150,428","7,999,103",8.98%,"718,608","5,574,469",56.39%,"3,143,242"
1005,3/7/2020 5:00,23,4,27,14.81,,10/10/2020 5:00,3636,105804,725045,8680909,,10/10/2020 5:00,"8,680,909",725045,,,,"8,680,909","5,550,531",56.40%,"3,130,378","7,967,703",8.95%,"713,206","5,557,698",56.20%,"3,123,211"
1006,3/8/2020 5:00,35,1,36,2.78,,10/9/2020 5:00,1779,22523,721409,8575105,,10/9/2020 5:00,"8,575,105",721409,,,,"8,575,105","5,518,162",55.40%,"3,056,943","7,876,609",8.87%,"698,496","5,525,411",55.19%,"3,049,694"
1007,3/9/2020 5:00,79,5,84,5.95,,10/8/2020 5:00,2866,69642,719630,8552582,,10/8/2020 5:00,"8,552,582",719630,,,,"8,552,582","5,518,162",54.99%,"3,034,420","7,876,609",8.58%,"675,973","5,525,411",54.79%,"3,027,171"
1008,3/10/2020 5:00,69,2,71,2.82,,10/7/2020 5:00,3262,71411,716764,8482940,,10/7/2020 5:00,"8,482,940",716764,,,,"8,482,940","5,489,758",54.52%,"2,993,182","7,828,266",8.36%,"654,674","5,496,985",54.32%,"2,985,955"
1009,3/11/2020 5:00,47,6,53,11.32,,10/6/2020 5:00,2500,60824,713502,8411529,,10/6/2020 5:00,"8,411,529",713502,,,,"8,411,529","5,459,711",54.07%,"2,951,818","7,778,257",8.14%,"633,272","5,466,927",53.86%,"2,944,602"
1010,3/12/2020 5:00,113,5,118,4.24,,10/5/2020 5:00,2261,42993,711002,8350705,,10/5/2020 5:00,"8,350,705",711002,,,,"8,350,705","5,433,578",53.69%,"2,917,127","7,734,181",7.97%,"616,524","5,440,799",53.48%,"2,909,906"
1011,3/13/2020 5:00,179,20,199,10.05,,10/4/2020 5:00,1381,35365,708741,8307712,,10/4/2020 5:00,"8,307,712",708741,,,,"8,307,712","5,412,683",53.49%,"2,895,029","7,698,475",7.91%,"609,237","5,419,897",53.28%,"2,887,815"
1012,3/14/2020 5:00,396,40,436,9.17,,10/3/2020 5:00,1857,49430,707360,8272347,,10/3/2020 5:00,"8,272,347",707360,,,,"8,272,347","5,396,874",53.28%,"2,875,473","7,669,111",7.87%,"603,236","5,404,082",53.08%,"2,868,265"
1013,3/15/2020 5:00,150,31,181,17.13,,10/2/2020 5:00,2772,58250,705503,8222917,,10/2/2020 5:00,"8,222,917",705503,,,,"8,222,917","5,376,459",52.94%,"2,846,458","7,635,461",7.69%,"587,456","5,383,648",52.74%,"2,839,269"
