,Backfill Analysis,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,,,,,,,,,,
,Date,"Positive Cases (People, confirmed + probable)",Proposed,Spot check value,Positive Cases (PCR),Proposed,Spot check value,Probable Cases,Proposed,Spot check value,Total Test Encounters (PCR),Proposed,Spot check value,Total PCR Tests (People),Proposed,diff (should = nonresidents),Spot check value,,Sensitivity,0.01,,,,,
,2020-10-26,782013,771989,,751752,742588,,30261,29401,,,"9,638,950",,5992068,5969240,-22828,,,,,,,,,
,2020-10-25,778636,768653,,748915,739764,,29721,28889,,,"9,582,390",,5960050,5937266,-22784,,,,,,,,,
,2020-10-24,776251,766305,,746960,737835,,29291,28470,,,"9,532,175",,5945372,5922634,-22738,,,,,,,,,
,2020-10-23,771780,761924,,743264,734208,,28516,27716,,,"9,411,692",,5873041,5850390,-22651,,,,,,,,,
,2020-10-22,768091,758306,,740467,731460,,27624,26846,,,"9,318,880",,5829220,5806641,-22579,,,,,,,,,
,2020-10-21,760389,752845,,735915,726989,,26619,25856,,,"9,221,524",,5775214,5763829,-11385,,,,,,,,,
,2020-10-20,760389,750739,,734469,725571,,25920,25168,,,"9,189,623",,5775214,5752796,-22418,,,,,,,,,
,2020-10-19,756727,747183,,731461,722626,,25266,24557,,,"9,131,321",,5746529,5724215,-22314,,,,,,,,,
,2020-10-18,755020,745492,,729942,721118,,25078,24374,,,"9,095,257",,5729634,5689110,-40524,,,,,,,,,
,2020-10-17,752481,743018,,727689,718916,,24792,24102,,,"9,042,143",,5711339,5689110,-22229,,,,,,,,,
,2020-10-16,748437,739050,,724208,715492,,24229,23558,,,"8,965,336",,5680917,5658780,-22137,,,,,,,,,
,2020-10-15,744988,735685,,721440,712788,,23548,22897,,,"8,887,690",,5650724,5628675,-22049,,,,,,,,,
,2020-10-14,741632,732399,,718765,710164,,22867,22235,,,"8,824,105",,5622438,5600469,-21969,,,,,,,,,
,2020-10-13,738749,729591,,716559,708010,,22190,21581,,,"8,771,490",,5600616,5578731,-21885,,,,,,,,,
,2020-10-12,736024,726934,,714252,705750,,21772,21184,,,"8,717,711",,5574469,5552679,-21790,,,,,,,,,
,2020-10-11,734491,725415,,712884,704398,,21607,21017,,,"8,680,909",,5557698,5535937,-21761,,,,,,,,,
,2020-10-10,728921,720001,,708095,699734,,21186,20267,,,"8,575,105",,5525411,5503775,-21636,,,,,,,,,
,2020-10-09,728921,720001,,708095,699734,,21186,20267,,,"8,552,582",,5525411,5503775,-21636,,,,,,,,,
,2020-10-08,726013,717148,,705509,697188,,20504,19960,,,"8,482,940",,5496985,5475395,-21590,,,,,,,,,
