Date,DateActualData,Cumulative Cases Reported,"Cumulative Cases Reported 
 (RESIDENTS)","Cumulative Cases Reported 
 (NON-RESIDENTS)","Cumulative Cases Reported and Confirmed by PCR
 (RESIDENTS)","Cumulative Cases Reported and Confirmed by Antigen
 (RESIDENTS)","Cumulative Cases Reported and Confirmed by PCR
 (NON-RESIDENTS)","Cumulative Cases Reported and Confirmed by Antigen
 (NON-RESIDENTS)",Total Tested - FL Residents
10/26/2020,10/25/2020,"782,013","771,989","10,024","742,588","29,401","9,164",860,"5,969,240"
10/25/2020,10/24/2020,"778,636","768,653","9,983","739,764","28,889","9,151",832,"5,937,266"
10/24/2020,10/23/2020,"776,251","766,305","9,946","737,835","28,470","9,125",821,"5,922,634"
10/23/2020,10/22/2020,"771,780","761,924","9,856","734,208","27,716","9,056",800,"5,850,390"
10/22/2020,10/21/2020,"768,091","758,306","9,785","731,460","26,846","9,007",778,"5,806,641"
10/21/2020,10/20/2020,"762,534","752,845","9,689","726,989","25,856","8,926",763,"5,763,829"
10/20/2020,10/19/2020,"760,389","750,739","9,650","725,571","25,168","8,898",752,"5,752,796"
10/19/2020,10/18/2020,"756,727","747,183","9,544","722,626","24,557","8,835",709,"5,724,215"
10/18/2020,10/17/2020,"755,020","745,492","9,528","721,118","24,374","8,824",704,"5,689,110"
10/17/2020,10/16/2020,"752,481","743,018","9,463","718,916","24,102","8,773",690,"5,689,110"
10/16/2020,10/15/2020,"748,437","739,050","9,387","715,492","23,558","8,716",671,"5,658,780"
10/15/2020,10/14/2020,"744,988","735,685","9,303","712,788","22,897","8,652",651,"5,628,675"
10/14/2020,10/13/2020,"741,632","732,399","9,233","710,164","22,235","8,601",632,"5,600,469"
10/13/2020,10/12/2020,"738,749","729,591","9,158","708,010","21,581","8,549",609,"5,578,731"
10/12/2020,10/11/2020,"736,024","726,934","9,090","705,750","21,184","8,502",588,"5,552,679"
10/11/2020,10/10/2020,"734,491","725,415","9,076","704,398","21,017","8,486",590,"5,535,937"
10/10/2020,10/9/2020,"728,921","720,001","8,920","699,734","20,267","8,361",559,"5,503,775"
10/9/2020,10/8/2020,"728,921","720,001","8,920","699,734","20,267","8,361",559,"5,503,775"
10/8/2020,10/7/2020,"726,013","717,148","8,865","697,188","19,960","8,321",544,"5,475,395"
10/7/2020,10/6/2020,"722,707","713,902","8,805","694,361","19,541","8,273",532,"5,445,417"
