Date,OBJECTID,Date_Received_by_PH,Total_Tests,OBJECTID_1,Cumulative_tests,Percent_positive,Percent_positive_7day,,implied positives per day,,people tested,pos based on people tested
2020-10-28,29470,1603843200000,2538,241,398109,,,,0,,,
2020-10-27,29469,1603756800000,4609,240,395571,,,,0,,,
2020-10-26,29468,1603670400000,1725,239,390962,0.3299725,0.48045349,,5.692025625,,,
2020-10-25,29467,1603584000000,771,238,389237,1.59883721,0.4918422,,12.32703489,,,
2020-10-24,29466,1603497600000,6591,237,388466,1.1627907,0.4969574,,76.63953504,,424,4.930232568
2020-10-23,29465,1603411200000,4878,236,381875,0.5423865,0.5128377,,26.45761347,,,
2020-10-22,29464,1603324800000,9007,235,376997,0.58205032,0.48498285,,52.42527232,,,
2020-10-21,29463,1603238400000,5084,234,367990,0.37114733,0.43996397,,18.86913026,,,
2020-10-20,29462,1603152000000,2103,233,362906,0.37506698,0.4082647,,7.887658589,,,
2020-10-19,29461,1603065600000,875,232,360803,0.39966694,0.38996816,,3.497085725,,,
2020-10-18,29460,1602979200000,4271,231,359928,1.65184244,0.35961983,,70.55019061,,,
2020-10-17,29459,1602892800000,5301,230,355657,1.48619958,0.32698949,,78.78343974,,,
2020-10-16,29458,1602806400000,7915,229,350356,0.34904014,0.30422201,,27.62652708,,,
2020-10-15,29457,1602720000000,1866,228,342441,0.33802817,0.28394612,,6.307605652,,,
2020-10-14,29456,1602633600000,5127,227,340575,0.20003637,0.27169975,,10.25586469,,,
2020-10-13,29455,1602547200000,1420,226,335448,0.2787068,0.27343323,,3.95763656,,,
2020-10-12,29454,1602460800000,1460,225,334028,0.24505184,0.25937021,,3.577756864,,,
2020-10-11,29453,1602374400000,6903,224,332568,0.53050398,0.26137706,,36.62068974,,,
2020-10-10,29452,1602288000000,6371,223,325665,1.03244838,0.2813041,,65.77728629,,,
2020-10-09,29451,1602201600000,4436,222,319294,0.22089684,0.3645461,,9.798983822,,1610,3.556439124
2020-10-08,29450,1602115200000,1873,221,314858,0.2747756,0.35875395,,5.146546988,,,
2020-10-07,29449,1602028800000,5575,220,312985,0.20661157,0.35445602,,11.51859503,,,
2020-10-06,29448,1601942400000,1320,219,307410,0.20649521,0.34164799,,2.725736772,,,
2020-10-05,29447,1601856000000,902,218,306090,0.2559727,0.37071709,,2.308873754,,,
2020-10-04,29446,1601769600000,4538,217,305188,1.62748644,0.34477355,,73.85533465,,,
2020-10-03,29445,1601683200000,4139,216,300650,3.33333333,0.32180841,,137.9666665,,,
2020-10-02,29444,1601596800000,5059,215,296511,0.19148936,0.21305137,,9.687446722,,,
2020-10-01,29443,1601510400000,5126,214,291452,0.2422285,0.21721959,,12.41663291,,,
2020-09-30,29442,1601424000000,3591,213,286326,0.12252399,0.17867295,,4.399836481,,,
2020-09-29,29441,1601337600000,2177,212,282735,0.35335689,0.18730404,,7.692579495,,,
2020-09-28,29440,1601251200000,1295,211,280558,0.08548835,0.15561653,,1.107074133,,,
2020-09-27,29439,1601164800000,7878,210,279263,0.58823529,0.16071208,,46.34117615,,,
2020-09-26,29438,1601078400000,1249,209,271385,0.37735849,0.15238252,,4.71320754,,,
2020-09-25,29437,1600992000000,3958,208,270136,0.21394951,0.14037985,,8.468121606,,,
2020-09-24,29436,1600905600000,4445,207,266178,0.02347418,0.11664723,,1.043427301,,,
2020-09-23,29435,1600819200000,3662,206,261733,0.16563147,0.14879755,,6.065424431,,,
2020-09-22,29434,1600732800000,1602,205,258071,0.19267823,0.13305915,,3.086705245,,,
2020-09-21,29433,1600646400000,953,204,256469,0.11044842,0.12285515,,1.052573443,,,
2020-09-20,29432,1600560000000,4416,203,255516,0.19083969,0.12276691,,8.42748071,,,
2020-09-19,29431,1600473600000,4787,202,251100,0,0.13192051,,0,,,
2020-09-18,29430,1600387200000,4643,201,246313,0.08972633,0.16221985,,4.165993502,,,
2020-09-17,29429,1600300800000,4106,200,241670,0.19523624,0.20013923,,8.016400014,,,
2020-09-16,29428,1600214400000,3652,199,237564,0.08394544,0.24727337,,3.065687469,,,
2020-09-15,29427,1600128000000,961,198,233912,0.13989275,0.26182657,,1.344369328,,,
2020-09-14,29426,1600041600000,990,197,232951,0.10723861,0.27562227,,1.061662239,,,
2020-09-13,29425,1599955200000,3677,196,231961,0.74812968,0.30235744,,27.50872833,,,
2020-09-12,29424,1599868800000,4188,195,228284,1.06060606,0.29654036,,44.41818179,,,
2020-09-11,29423,1599782400000,4941,194,224096,0.2987304,0.26674025,,14.76026906,,,
2020-09-10,29422,1599696000000,4902,193,219155,0.41797283,0.23033612,,20.48902813,,,
2020-09-09,29421,1599609600000,1353,192,214253,0.15047291,0.16207455,,2.035898472,,,
2020-09-08,29420,1599523200000,1400,191,212900,0.2248033,0.17433284,,3.1472462,,,
2020-09-07,29419,1599436800000,1013,190,211500,0.2283105,0.16574047,,2.312785365,,,
2020-09-06,29418,1599350400000,5519,189,210487,0.41753653,0.17812147,,23.04384109,,,
2020-09-05,29417,1599264000000,3890,188,204968,0.17256255,0.17335529,,6.712683195,,,
2020-09-04,29416,1599177600000,1729,187,201078,0.13993353,0.17129427,,2.419450734,,,
