Day of displaydateonly,Totals,,,,Day of displaydateonly,Totals,,suggestion,,,,Day of displaydateonly,Totals,Day of displaydateonly,Totals,,,"2020102816,",2020-10-27,3160380
2020-10-19,2910573,,3160380,,2020-10-27,3160380,,2020-10-27,3160380,20201028,,2020-10-26,3138375,2020-10-25,6207364,,,"2020102800,",2020-10-26,3138375
2020-10-18,2895243,,3138375,,2020-10-26,3143394,,2020-10-26,3138375,20201027,,2020-10-25,3115783,2020-10-25,6187632,,,"2020102708,",2020-10-25,3103682
2020-10-17,2875130,,3103682,,2020-10-25,3117420,,2020-10-25,6207364,20201027,,2020-10-24,3090740,2020-10-24,6167900,,,"2020102516,",2020-10-24,3075804
2020-10-16,2848236,,3075804,,2020-10-24,3092283,,2020-10-24,3092283,,,2020-10-23,3059803,2020-10-24,6139220,,,"2020102416,",2020-10-23,3046677
2020-10-15,2815801,,3046677,,2020-10-23,3060674,,2020-10-23,3060674,,,2020-10-22,3027020,2020-10-23,6110540,,,"2020102400,",2020-10-22,3005516
2020-10-14,2780644,,3005516,,2020-10-22,3027273,,2020-10-22,3027273,,,2020-10-21,2993113,2020-10-23,6079401,,,"2020102308,",2020-10-21,2965073
2020-10-13,2746785,,2965073,,2020-10-21,2993250,,2020-10-21,2993250,,,2020-10-20,2959175,2020-10-22,6048262,,,"2020102200,",2020-10-20,2924206
2020-10-12,2719579,,2924206,,2020-10-20,2959288,,2020-10-20,2959288,,,2020-10-19,2924361,2020-10-22,6015891,,,"2020102016,",2020-10-19,2910573
2020-10-11,2689612,,2910573,,2020-10-19,2924474,,2020-10-19,2924474,,,2020-10-18,2899275,2020-10-21,5983520,,,"2020101916,",2020-10-18,2886285
2020-10-10,2664673,,,,2020-10-18,2899404,,2020-10-18,2899404,,,2020-10-17,2878600,2020-10-21,5950305,,,"2020101616,",2020-10-15,2834797
2020-10-09,2636412,,,,2020-10-17,2878733,,2020-10-17,2878733,,,2020-10-16,2851352,2020-10-20,5917090,,,"2020101516,",2020-10-14,2756437
2020-10-08,2603653,,,,2020-10-16,2851487,,2020-10-16,2851487,,,2020-10-15,2818209,2020-10-20,5882372,,,"2020101500,",2020-10-13,2724271
2020-10-07,2568842,,,,2020-10-15,2818336,,2020-10-15,2818336,,,2020-10-14,2782626,2020-10-19,5822590,,,"2020101316,",2020-10-12,2701656
2020-10-06,2538419,,,,2020-10-14,2782751,,2020-10-14,2782751,,,2020-10-13,2748063,2020-10-19,5847654,,,"2020101300,",2020-10-11,2677069
2020-10-05,2511073,,,,2020-10-13,2748163,,2020-10-13,2748163,,,2020-10-12,2720548,2020-10-18,5797526,,,"2020101208,",2020-10-10,2654491
2020-10-04,2487949,,,,2020-10-12,2720662,,2020-10-12,2720662,,,2020-10-11,2690103,2020-10-18,5776864,,,"2020101016,",2020-10-09,2623242
2020-10-03,2466174,,,,2020-10-11,2690207,,2020-10-11,2690207,,,2020-10-10,2665100,2020-10-17,5756202,,,"2020100916,",2020-10-08,2592108
2020-10-02,2440309,,,,2020-10-10,2665225,,2020-10-10,2665225,,,2020-10-09,2636714,2020-10-17,5728936,,,"2020100900,",2020-10-07,2557279
2020-10-01,2411834,,,,2020-10-09,2636822,,2020-10-09,2636822,,,2020-10-08,2603923,2020-10-16,5701670,,,"2020100800,",2020-10-06,2526096
2020-09-30,2379952,,,,2020-10-08,2604017,,2020-10-08,2604017,,,2020-10-07,2569052,2020-10-16,5668534,,,"2020100700,",2020-10-05,2501271
2020-09-29,2346977,,,,2020-10-07,2569134,,2020-10-07,2569134,,,2020-10-06,2538608,2020-10-15,5635398,,,"2020100512,",2020-10-04,2481689
2020-09-28,2323864,,,,2020-10-06,2538689,,2020-10-06,2538689,,,2020-10-05,2511230,2020-10-15,5599933,,,"2020100416,",2020-10-03,2461311
2020-09-27,2302936,,,,2020-10-05,2511326,,2020-10-05,2511326,,,2020-10-04,2488115,2020-10-14,5564468,,,"2020100316,",2020-10-02,2431982
2020-09-26,2279551,,,,2020-10-04,2488200,,2020-10-04,2488200,,,2020-10-03,2466336,2020-10-14,5529992,,,"2020100308,",2020-10-01,2400978
2020-09-25,2251324,,,,2020-10-03,2466394,,2020-10-03,2466394,,,2020-10-02,2440448,2020-10-13,5495516,,,"2020100200,",2020-09-30,2371176
2020-09-24,2220895,,,,2020-10-02,2440511,,2020-10-02,2440511,,,2020-10-01,2411970,2020-10-13,5468012,,,,,
2020-09-23,2192451,,,,2020-10-01,2412054,,2020-10-01,2412054,,,2020-09-30,2380050,2020-10-12,5440508,,,,,
2020-09-22,2161328,,,,2020-09-30,2380138,,2020-09-30,2380138,,,2020-09-29,2347035,2020-10-12,5410083,,,,,
2020-09-21,2139687,,,,2020-09-29,2347118,,2020-09-29,2347118,,,2020-09-28,2323941,2020-10-11,5379658,,,,,
2020-09-20,2121214,,,,2020-09-28,2324018,,2020-09-28,2324018,,,2020-09-27,2302977,2020-10-11,5354692,,,,,
2020-09-19,2104220,,,,2020-09-27,2303068,,2020-09-27,2303068,,,2020-09-26,2279599,2020-10-10,5329726,,,,,
2020-09-18,2084412,,,,2020-09-26,2279665,,2020-09-26,2279665,,,2020-09-25,2251379,2020-10-10,5301409,,,,,
2020-09-17,2057042,,,,2020-09-25,2251440,,2020-09-25,2251440,,,2020-09-24,2220943,2020-10-09,5273092,,,,,
2020-09-16,2029596,,,,2020-09-24,2221012,,2020-09-24,2221012,,,2020-09-23,2192513,2020-10-09,5240298,,,,,
2020-09-15,2001116,,,,2020-09-23,2192567,,2020-09-23,2192567,,,2020-09-22,2161392,2020-10-08,5207504,,,,,
2020-09-14,1982324,,,,2020-09-22,2161444,,2020-09-22,2161444,,,2020-09-21,2139718,2020-10-08,5172655,,,,,
2020-09-13,1966795,,,,2020-09-21,2139756,,2020-09-21,2139756,,,2020-09-20,2121222,2020-10-07,5137806,,,,,
2020-09-12,1954360,,,,2020-09-20,2121249,,2020-09-20,2121249,,,2020-09-19,2104222,2020-10-07,5107362,,,,,
2020-09-11,1935503,,,,2020-09-19,2104264,,2020-09-19,2104264,,,2020-09-18,2084443,2020-10-06,5076918,,,,,
2020-09-10,1917996,,,,2020-09-18,2084473,,2020-09-18,2084473,,,2020-09-17,2057070,2020-10-06,5049559,,,,,
2020-09-09,1898237,,,,2020-09-17,2057097,,2020-09-17,2057097,,,2020-09-16,2029636,2020-10-05,4999065,,,,,
2020-09-08,1874616,,,,2020-09-16,2029661,,2020-09-16,2029661,,,2020-09-15,2001168,2020-10-05,5022200,,,,,
2020-09-07,1864876,,,,2020-09-15,2001188,,2020-09-15,2001188,,,2020-09-14,1982382,2020-10-04,4975930,,,,,
2020-09-06,1853736,,,,2020-09-14,1982387,,2020-09-14,1982387,,,2020-09-13,1966831,2020-10-04,4954153,,,,,
2020-09-05,1841797,,,,2020-09-13,1966841,,2020-09-13,1966841,,,2020-09-12,1954379,2020-10-03,4932376,,,,,
2020-09-04,1827201,,,,2020-09-12,1954389,,2020-09-12,1954389,,,2020-09-11,1935568,2020-10-03,4906492,,,,,
2020-09-03,1807631,,,,2020-09-11,1935588,,2020-09-11,1935588,,,2020-09-10,1918023,2020-10-02,4880608,,,,,
2020-09-02,1786144,,,,2020-09-10,1918029,,2020-09-10,1918029,,,2020-09-09,1898282,2020-10-02,4852151,,,,,
2020-09-01,1770546,,,,2020-09-09,1898293,,2020-09-09,1898293,,,2020-09-08,1874655,2020-10-01,4823694,,,,,
2020-08-31,1753134,,,,2020-09-08,1874660,,2020-09-08,1874660,,,2020-09-07,1864904,2020-10-01,4791745,,,,,
2020-08-30,1739813,,,,2020-09-07,1864914,,2020-09-07,1864914,,,2020-09-06,1853778,2020-09-30,4759796,,,,,
2020-08-29,1728511,,,,2020-09-06,1853780,,2020-09-06,1853780,,,2020-09-05,1841817,2020-09-30,4726796,,,,,
2020-08-28,1715293,,,,2020-09-05,1841809,,2020-09-05,1841809,,,2020-09-04,1827240,2020-09-29,4693796,,,,,
2020-08-27,1699431,,,,2020-09-04,1827242,,2020-09-04,1827242,,,2020-09-03,1807653,2020-09-29,4670701,,,,,
2020-08-26,1675074,,,,2020-09-03,1807663,,2020-09-03,1807663,,,2020-09-02,1786211,2020-09-28,4647606,,,,,
2020-08-25,1657496,,,,2020-09-02,1786193,,2020-09-02,1786193,,,2020-09-01,1770611,2020-09-28,4626650,,,,,
2020-08-24,1639656,,,,2020-09-01,1770594,,2020-09-01,1770594,,,2020-08-31,1753179,2020-09-27,4605694,,,,,
2020-08-23,1629764,,,,2020-08-31,1753188,,2020-08-31,1753188,,,2020-08-30,1739858,2020-09-27,4582293,,,,,
2020-08-22,1616301,,,,2020-08-30,1739842,,2020-08-30,1739842,,,2020-08-29,1728522,2020-09-26,4558892,,,,,
2020-08-21,1605324,,,,2020-08-29,1728552,,2020-08-29,1728552,,,2020-08-28,1715317,2020-09-26,4530672,,,,,
2020-08-20,1589087,,,,2020-08-28,1715337,,2020-08-28,1715337,,,2020-08-27,1699470,2020-09-25,4502452,,,,,
2020-08-19,1571354,,,,2020-08-27,1699478,,2020-08-27,1699478,,,2020-08-26,1675103,2020-09-25,4472021,,,,,
2020-08-18,1550617,,,,2020-08-26,1675131,,2020-08-26,1675131,,,2020-08-25,1657499,2020-09-24,4441590,,,,,
2020-08-17,1533771,,,,2020-08-25,1657519,,2020-08-25,1657519,,,2020-08-24,1639684,2020-09-24,4413175,,,,,
2020-08-16,1523891,,,,2020-08-24,1639694,,2020-08-24,1639694,,,2020-08-23,1629761,2020-09-23,4384760,,,,,
