,Backfill Analysis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,
,Date,Total Test Encounters (PCR),Proposed,Spot check value,Total Tests (PCR),Proposed,Spot check value,Positive Tests (PCR),Proposed,Spot check value,Negative Tests (PCR),Proposed,Spot check value,,Sensitivity,0.01
,2020-10-28,,544780,,544780,,,,26499,,,,,,,
,2020-10-27,,542722,,542722,,,,26432,,,,,,,
,2020-10-26,,539399,,538934,,,,26323,,,,,,,
,2020-10-25,,533212,,532587,,,,26149,,,,,,,
,2020-10-24,,528430,,527840,,,,26003,,,,,,,
,2020-10-23,,523154,,522612,,,,25862,,,,,,,
,2020-10-22,,520241,,519743,,,,25757,,,,,,,
,2020-10-21,,518758,,518486,,,,25687,,,,,,,
,2020-10-20,,515381,,515223,,,,25574,,,,,,,
,2020-10-19,,513029,,512407,,,,25524,,,,,,,
,2020-10-18,,506571,,506109,,,,25347,,,,,,,
,2020-10-17,,501473,,499403,,,,25217,,,,,,,
,2020-10-16,,495415,,494635,,,,25062,,,,,,,
,2020-10-15,,492216,,491430,,,,24954,,,,,,,
,2020-10-14,,490608,,490160,,,,24902,,,,,,,
,2020-10-13,,486901,,489504,,,,24773,,,,,,,
,2020-10-12,,481441,,,,,,24645,,,,,,,
,2020-10-11,,475176,,,,,,24512,,,,,,,
,2020-10-10,,466823,,,,,,24327,,,,,,,
,2020-10-09,,460504,,,,,,24206,,,,,,,
,2020-10-08,,457055,,,,,,24108,,,,,,,
,2020-10-07,,455135,,,,,,24043,,,,,,,
,2020-10-06,,452026,,,,,,23951,,,,,,,
,2020-10-05,,448345,,,,,,23850,,,,,,,
,2020-10-04,,442920,,,,,,23695,,,,,,,
,2020-10-03,,438318,,,,,,23585,,,,,,,
,2020-10-02,,433551,,,,,,23476,,,,,,,
,2020-10-01,,431545,,,,,,23400,,,,,,,
,2020-09-30,,430146,,,,,,23335,,,,,,,
,2020-09-29,,428230,,,,,,23257,,,,,,,
,2020-09-28,,424971,,,,,,23154,,,,,,,
,2020-09-27,,420722,,,,,,23043,,,,,,,
,2020-09-26,,415613,,,,,,22909,,,,,,,
,2020-09-25,,413370,,,,,,22844,,,,,,,
,2020-09-24,,411966,,,,,,22805,,,,,,,
,2020-09-23,,411330,,,,,,22773,,,,,,,
,2020-09-22,,409902,,,,,,22729,,,,,,,
,2020-09-21,,406490,,,,,,22627,,,,,,,
,2020-09-20,,403029,,,,,,22550,,,,,,,
,2020-09-19,,400389,,,,,,22480,,,,,,,
,2020-09-18,,397306,,,,,,22379,,,,,,,
,2020-09-17,,394405,,,,,,22291,,,,,,,
,2020-09-16,,390957,,,,,,22184,,,,,,,
,2020-09-15,,388675,,,,,,22120,,,,,,,
,2020-09-14,,386016,,,,,,22031,,,,,,,
,2020-09-13,,381020,,,,,,21927,,,,,,,
,2020-09-12,,377529,,,,,,21817,,,,,,,
,2020-09-11,,375111,,,,,,21713,,,,,,,
,2020-09-10,,372447,,,,,,21608,,,,,,,
,2020-09-09,,371126,,,,,,21561,,,,,,,
,2020-09-08,,368554,,,,,,21504,,,,,,,
,2020-09-07,,365971,,,,,,21426,,,,,,,
,2020-09-06,,360999,,,,,,21291,,,,,,,
,2020-09-05,,358843,,,,,,21218,,,,,,,
,2020-09-04,,355065,,,,,,21122,,,,,,,
,2020-09-03,,352274,,,,,,21016,,,,,,,
,2020-09-02,,350412,,,,,,20943,,,,,,,
,2020-09-01,,345953,,,,,,20847,,,,,,,
,2020-08-31,,343068,,,,,,20772,,,,,,,
,2020-08-30,,340783,,,,,,20691,,,,,,,
,2020-08-29,,336560,,,,,,20620,,,,,,,
,2020-08-28,,331841,,,,,,20517,,,,,,,
,2020-08-27,,328706,,,,,,20434,,,,,,,
,2020-08-26,,325421,,,,,,20327,,,,,,,
,2020-08-25,,322926,,,,,,20258,,,,,,,
,2020-08-24,,321652,,,,,,20227,,,,,,,
,2020-08-23,,317458,,,,,,20119,,,,,,,
,2020-08-22,,314165,,,,,,20048,,,,,,,
,2020-08-21,,310771,,,,,,19966,,,,,,,
,2020-08-20,,308995,,,,,,19902,,,,,,,
,2020-08-19,,306918,,,,,,19858,,,,,,,
,2020-08-18,,303982,,,,,,19772,,,,,,,
,2020-08-17,,300722,,,,,,19701,,,,,,,
,2020-08-16,,297953,,,,,,19631,,,,,,,
,2020-08-15,,295001,,,,,,19543,,,,,,,
,2020-08-14,,291027,,,,,,19442,,,,,,,
,2020-08-13,,288414,,,,,,19357,,,,,,,
,2020-08-12,,286367,,,,,,19277,,,,,,,
,2020-08-11,,283240,,,,,,19196,,,,,,,
,2020-08-10,,280420,,,,,,19132,,,,,,,
