2020-10-19,,,,,2020-10-28,,
Statistic,Positive Tests,Total Tests,,,Statistic,Positive Tests,Total Tests
Date,,,,,Date,,
2020-10-18,25556,515309,,,2020-10-26,26499,544784
2020-10-17,25516,513859,,,2020-10-25,26499,544780
2020-10-16,25502,512407,,,2020-10-24,26432,542722
2020-10-15,25341,506524,,,2020-10-23,26323,539399
2020-10-14,25212,501432,,,2020-10-22,26149,533212
2020-10-13,25057,495377,,,2020-10-21,26003,528430
2020-10-12,24949,492178,,,2020-10-20,25862,523154
2020-10-11,24897,490570,,,2020-10-19,25757,520241
2020-10-10,24768,486863,,,2020-10-18,25687,518758
2020-10-09,24642,481405,,,2020-10-17,25574,515381
2020-10-08,24510,475141,,,2020-10-16,25524,513029
2020-10-07,24325,466788,,,2020-10-15,25347,506571
2020-10-06,24204,460470,,,2020-10-14,25217,501473
2020-10-05,24106,457022,,,2020-10-13,25062,495415
2020-10-04,24042,455103,,,2020-10-12,24954,492216
2020-10-03,23950,451994,,,2020-10-11,24902,490608
2020-10-02,23849,448313,,,2020-10-10,24773,486901
2020-10-01,23694,442888,,,2020-10-09,24645,481441
2020-09-30,23584,438286,,,2020-10-08,24512,475176
2020-09-29,23476,433520,,,2020-10-07,24327,466823
2020-09-28,23400,431515,,,2020-10-06,24206,460504
2020-09-27,23335,430116,,,2020-10-05,24108,457055
2020-09-26,23257,428200,,,2020-10-04,24043,455135
2020-09-25,23154,424941,,,2020-10-03,23951,452026
2020-09-24,23043,420692,,,2020-10-02,23850,448345
2020-09-23,22909,415583,,,2020-10-01,23695,442920
2020-09-22,22844,413341,,,2020-09-30,23585,438318
2020-09-21,22805,411937,,,2020-09-29,23476,433551
2020-09-20,22773,411301,,,2020-09-28,23400,431545
2020-09-19,22729,409873,,,2020-09-27,23335,430146
2020-09-18,22627,406464,,,2020-09-26,23257,428230
2020-09-17,22550,403004,,,2020-09-25,23154,424971
2020-09-16,22480,400365,,,2020-09-24,23043,420722
2020-09-15,22379,397282,,,2020-09-23,22909,415613
2020-09-14,22291,394381,,,2020-09-22,22844,413370
2020-09-13,22184,390933,,,2020-09-21,22805,411966
2020-09-12,22120,388651,,,2020-09-20,22773,411330
2020-09-11,22031,385992,,,2020-09-19,22729,409902
2020-09-10,21927,380996,,,2020-09-18,22627,406490
2020-09-09,21817,377505,,,2020-09-17,22550,403029
2020-09-08,21713,375087,,,2020-09-16,22480,400389
2020-09-07,21608,372423,,,2020-09-15,22379,397306
2020-09-06,21561,371102,,,2020-09-14,22291,394405
2020-09-05,21504,368530,,,2020-09-13,22184,390957
2020-09-04,21426,365947,,,2020-09-12,22120,388675
2020-09-03,21291,360975,,,2020-09-11,22031,386016
2020-09-02,21218,358819,,,2020-09-10,21927,381020
2020-09-01,21122,355043,,,2020-09-09,21817,377529
2020-08-31,21016,352253,,,2020-09-08,21713,375111
2020-08-30,20943,350391,,,2020-09-07,21608,372447
2020-08-29,20847,345932,,,2020-09-06,21561,371126
2020-08-28,20772,343047,,,2020-09-05,21504,368554
2020-08-27,20691,340762,,,2020-09-04,21426,365971
2020-08-26,20620,336539,,,2020-09-03,21291,360999
2020-08-25,20517,331820,,,2020-09-02,21218,358843
2020-08-24,20434,328685,,,2020-09-01,21122,355065
2020-08-23,20327,325400,,,2020-08-31,21016,352274
2020-08-22,20258,322905,,,2020-08-30,20943,350412
2020-08-21,20227,321631,,,2020-08-29,20847,345953
2020-08-20,20119,317437,,,2020-08-28,20772,343068
2020-08-19,20048,314144,,,2020-08-27,20691,340783
2020-08-18,19966,310750,,,2020-08-26,20620,336560
2020-08-17,19902,308974,,,2020-08-25,20517,331841
2020-08-16,19858,306897,,,2020-08-24,20434,328706
2020-08-15,19772,303961,,,2020-08-23,20327,325421
2020-08-14,19701,300701,,,2020-08-22,20258,322926
2020-08-13,19631,297932,,,2020-08-21,20227,321652
2020-08-12,19543,294980,,,2020-08-20,20119,317458
2020-08-11,19442,291006,,,2020-08-19,20048,314165
2020-08-10,19357,288393,,,2020-08-18,19966,310771
2020-08-09,19277,286346,,,2020-08-17,19902,308995
2020-08-08,19196,283219,,,2020-08-16,19858,306918
2020-08-07,19132,280405,,,2020-08-15,19772,303982
2020-08-06,19049,276613,,,2020-08-14,19701,300722
2020-08-05,19009,274247,,,2020-08-13,19631,297953
2020-08-04,18915,270312,,,2020-08-12,19543,295001
2020-08-03,18853,267512,,,2020-08-11,19442,291027
2020-08-02,18796,266010,,,2020-08-10,19357,288414
2020-08-01,18690,262562,,,2020-08-09,19277,286367
2020-07-31,18611,259947,,,2020-08-08,19196,283240
2020-07-30,18519,256257,,,2020-08-07,19132,280420
2020-07-29,18385,253094,,,2020-08-06,19049,276627
2020-07-28,18220,247885,,,2020-08-05,19009,274258
2020-07-27,18159,246051,,,2020-08-04,18915,270321
2020-07-26,18067,244356,,,2020-08-03,18853,267521
2020-07-25,17964,241260,,,2020-08-02,18796,266019
2020-07-24,17882,237573,,,2020-08-01,18690,262571
2020-07-23,17788,234606,,,2020-07-31,18611,259956
2020-07-22,17693,232027,,,2020-07-30,18519,256265
2020-07-21,17570,228913,,,2020-07-29,18385,253102
2020-07-20,17479,226059,,,2020-07-28,18220,247893
2020-07-19,17391,224090,,,2020-07-27,18159,246059
2020-07-18,17267,220671,,,2020-07-26,18067,244364
2020-07-17,17165,216658,,,2020-07-25,17964,241268
2020-07-16,17030,211949,,,2020-07-24,17882,237580
2020-07-15,16901,208024,,,2020-07-23,17788,234613
2020-07-14,16743,202764,,,2020-07-22,17693,232034
2020-07-13,16601,199251,,,2020-07-21,17570,228919
2020-07-12,16473,197094,,,2020-07-20,17479,226065
2020-07-11,16356,193320,,,2020-07-19,17391,224096
2020-07-10,16278,191081,,,2020-07-18,17267,220677
2020-07-09,16175,188566,,,2020-07-17,17165,216664
2020-07-08,15987,184693,,,2020-07-16,17030,211955
2020-07-07,15804,180056,,,2020-07-15,16901,208030
2020-07-06,15698,177310,,,2020-07-14,16743,202770
2020-07-05,15598,175259,,,2020-07-13,16601,199257
2020-07-04,15433,173983,,,2020-07-12,16473,197100
2020-07-03,15257,168352,,,2020-07-11,16356,193326
2020-07-02,15176,164610,,,2020-07-10,16278,191087
2020-07-01,14981,160114,,,2020-07-09,16175,188572
2020-06-30,14669,152061,,,2020-07-08,15987,184699
2020-06-29,14556,149448,,,2020-07-07,15804,180062
2020-06-28,14450,147830,,,2020-07-06,15698,177316
2020-06-27,14278,143656,,,2020-07-05,15598,175265
2020-06-26,14070,140221,,,2020-07-04,15433,173989
2020-06-25,13893,135382,,,2020-07-03,15257,168358
2020-06-24,13798,132263,,,2020-07-02,15176,164616
2020-06-23,13640,127283,,,2020-07-01,14981,160120
2020-06-22,13553,125049,,,2020-06-30,14669,152066
2020-06-21,13501,123865,,,2020-06-29,14556,149453
2020-06-20,13420,121562,,,2020-06-28,14450,147835
