,Backfill Analysis,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,,
,Date,,Proposed,Spot check value,Total Tests (PCR),Proposed,Spot check value,Positive Tests (PCR),Proposed,Spot check value,,Negative Tests (PCR),Proposed,Spot check value,,Sensitivity,0.01
,2020-10-29,,,,905290,905290,10905,,78673,1267,,,825406,,,,
,2020-10-28,,,,894385,894385,11765,,77406,981,,,815775,,,,
,2020-10-27,,,,882620,882620,9055,,76425,782,,,804996,,,,
,2020-10-26,,,,873565,873565,4402,,75643,643,,,796729,,,,
,2020-10-25,,,,869163,869163,6283,,75000,787,,,792969,,,,
,2020-10-24,,,,862880,862880,15611,,74213,1398,,,787484,,,,
,2020-10-23,,,,847269,847269,10467,,72815,1096,,,773277,,,,
,2020-10-22,,,,836802,836802,13898,,71719,1053,,,763923,,,,
,2020-10-21,,,,822904,822904,12406,,70666,711,,,751071,,,,
,2020-10-20,,,,810498,810498,10919,,69955,900,,,739379,,,,
,2020-10-19,,,,799579,799579,7949,,69055,820,,,729099,,,,
,2020-10-18,,,,791630,791630,7195,,68235,692,,,721983,,,,
,2020-10-17,,,,784435,784435,13928,,67543,1443,,,715487,,,,
,2020-10-16,,,,770507,770507,14047,,66100,1078,,,703017,,,,
,2020-10-15,,,,756460,756460,12277,,65022,1093,,,690063,,,,
,2020-10-14,,,,744183,744183,9491,,63929,808,,,678890,,,,
,2020-10-13,,,,734692,734692,6270,,63121,493,,,670224,,,,
,2020-10-12,,,,728422,728422,5172,,62628,562,,,664473,,,,
,2020-10-11,,,,723250,723250,7558,,62066,812,,,659869,,,,
,2020-10-10,,,,715692,715692,19440,,61254,252,,,653140,,,,
,2020-10-09,,,,696252,696252,8563,,61002,-552,,,633976,,,,
,2020-10-08,,,,687689,687689,12674,,61554,3036,,,624880,,,,
,2020-10-07,,,,675015,675015,11417,,58518,580,,,615248,,,,
,2020-10-06,,,,663598,663598,8067,,57938,501,,,604432,,,,
,2020-10-05,,,,655531,655531,5663,,57437,456,,,596884,,,,
,2020-10-04,,,,649868,649868,5236,,56981,507,,,591688,,,,
,2020-10-03,,,,644632,644632,9945,,56474,906,,,586964,,,,
,2020-10-02,,,,634687,634687,9733,,55568,781,,,577942,,,,
,2020-10-01,,,,624954,624954,6602,,54787,618,,,569018,,,,
,2020-09-30,,,,618352,618352,7272,,54169,777,,,563045,,,,
,2020-09-29,,,,611080,611080,4238,,53392,361,,,556572,,,,
,2020-09-28,,,,606842,606842,5306,,53031,526,,,552696,,,,
,2020-09-27,,,,601536,601536,6249,,52505,491,,,547931,,,,
,2020-09-26,,,,595287,595287,5078,,52014,489,,,542196,,,,
,2020-09-25,,,,590209,590209,5113,,51525,546,,,537626,,,,
,2020-09-24,,,,585096,585096,4956,,50979,568,,,533064,,,,
,2020-09-23,,,,580140,580140,3696,,50411,425,,,528685,,,,
,2020-09-22,,,,575663,576444,4420,,49986,377,,,525419,,,,
,2020-09-21,,,,562886,572024,3667,,49609,309,,,521381,,,,
,2020-09-20,,,,,568357,5017,,49300,480,,,518025,,,,
,2020-09-19,,,,,563340,5583,,48820,542,,,513488,,,,
,2020-09-18,,,,,557757,5967,,48278,607,,,508454,,,,
,2020-09-17,,,,,551790,5721,,47671,494,,,503094,,,,
,2020-09-16,,,,,546069,3790,,47177,399,,,497868,,,,
,2020-09-15,,,,,542279,3979,,46778,347,,,494481,,,,
,2020-09-14,,,,,538300,4640,,46431,252,,,490851,,,,
,2020-09-13,,,,,533660,4909,,46179,311,,,486466,,,,
,2020-09-12,,,,,528751,5737,,45868,548,,,481871,,,,
,2020-09-11,,,,,523014,5765,,45320,510,,,476686,,,,
,2020-09-10,,,,,517249,5528,,44810,417,,,471433,,,,
,2020-09-09,,,,,511721,11552,,44393,650,,,466326,,,,
,2020-09-08,,,,,500169,1033,,43743,82,,,455426,,,,
,2020-09-07,,,,,499136,1298,,43661,131,,,454475,,,,
,2020-09-06,,,,,497838,1840,,43530,155,,,453309,,,,
,2020-09-05,,,,,495998,2922,,43375,228,,,451629,,,,
,2020-09-04,,,,,493076,5257,,43147,443,,,448935,,,,
,2020-09-03,,,,,487819,5158,,42704,489,,,444127,,,,
,2020-09-02,,,,,482661,3606,,42215,332,,,439461,,,,
,2020-09-01,,,,,479055,2782,,41883,291,,,436188,,,,
,2020-08-31,,,,,476273,4775,,41592,328,,,433700,,,,
,2020-08-30,,,,,471498,4242,,41264,385,,,429254,,,,
,2020-08-29,,,,,467256,4332,,40879,396,,,425399,,,,
,2020-08-28,,,,,462924,5973,,40483,464,,,421468,,,,
,2020-08-27,,,,,456951,5718,,40019,460,,,415962,,,,
