Date,AllTestsAsOfThisDate,TotalNotDetectedAsOfThisDate,TotalPositiveAsOfThisDate
2020-10-28,894385,815775,77406
2020-10-27,882620,804996,76425
2020-10-26,873565,796729,75643
2020-10-25,869163,792969,75000
2020-10-24,862880,787484,74213
2020-10-23,847269,773277,72815
2020-10-22,836802,763923,71719
2020-10-21,822904,751071,70666
2020-10-20,810498,739379,69955
2020-10-19,799579,729099,69055
2020-10-18,791630,721983,68235
2020-10-17,784435,715487,67543
2020-10-16,770507,703017,66100
2020-10-15,756460,690063,65022
2020-10-14,744183,678890,63929
2020-10-13,734692,670224,63121
2020-10-12,728422,664473,62628
2020-10-11,723250,659869,62066
2020-10-10,715692,653140,61254
2020-10-09,696252,633976,61002
2020-10-08,687689,624880,61554
2020-10-07,675015,615248,58518
2020-10-06,663598,604432,57938
2020-10-05,655531,596884,57437
2020-10-04,649868,591688,56981
2020-10-03,644632,586964,56474
2020-10-02,634687,577942,55568
2020-10-01,624954,569018,54787
2020-09-30,618352,563045,54169
2020-09-29,611080,556572,53392
2020-09-28,606842,552696,53031
2020-09-27,601536,547931,52505
2020-09-26,595287,542196,52014
2020-09-25,590209,537626,51525
2020-09-24,585096,533064,50979
2020-09-23,580140,528685,50411
2020-09-22,576444,525419,49986
2020-09-21,572024,521381,49609
2020-09-20,568357,518025,49300
2020-09-19,563340,513488,48820
2020-09-18,557757,508454,48278
2020-09-17,551790,503094,47671
2020-09-16,546069,497868,47177
2020-09-15,542279,494481,46778
2020-09-14,538300,490851,46431
2020-09-13,533660,486466,46179
2020-09-12,528751,481871,45868
2020-09-11,523014,476686,45320
2020-09-10,517249,471433,44810
2020-09-09,511721,466326,44393
2020-09-08,500169,455426,43743
2020-09-07,499136,454475,43661
2020-09-06,497838,453309,43530
2020-09-05,495998,451629,43375
2020-09-04,493076,448935,43147
2020-09-03,487819,444127,42704
2020-09-02,482661,439461,42215
2020-09-01,479055,436188,41883
2020-08-31,476273,433700,41592
2020-08-30,471498,429254,41264
2020-08-29,467256,425399,40879
2020-08-28,462924,421468,40483
2020-08-27,456951,415962,40019
2020-08-26,451233,410704,39559
2020-08-25,449299,408963,39369
2020-08-24,443525,403533,39027
2020-08-23,441586,401732,38889
2020-08-22,438898,399222,38712
2020-08-21,434967,395632,38378
2020-08-20,430546,391534,38056
2020-08-19,426389,387702,37738
2020-08-18,422230,383848,37435
2020-08-17,420046,381854,37249
2020-08-16,415610,377649,37018
2020-08-15,411000,373363,36701
2020-08-14,406588,369348,36307
2020-08-13,401540,364709,35905
2020-08-12,398463,361907,35635
2020-08-11,394321,358186,35220
2020-08-10,389822,354027,34886
2020-08-09,385560,350003,34649
2020-08-08,382701,347323,34472
2020-08-07,378945,343825,34224
2020-08-06,373143,338496,33756
2020-08-05,367751,333519,33354
2020-08-04,364592,330640,33090
2020-08-03,361468,327822,32786
2020-08-02,356565,323249,32460
2020-08-01,351821,318824,32142
2020-07-31,347418,314873,31707
2020-07-30,341533,309489,31216
2020-07-29,338010,306284,30910
2020-07-28,332449,301136,30501
2020-07-27,329420,298461,30148
2020-07-26,325579,294864,29911
2020-07-25,321996,291539,29657
2020-07-24,316152,286153,29208
2020-07-23,311679,282068,28823
2020-07-22,307468,278266,28419
2020-07-21,300777,272028,27991
2020-07-20,296371,267985,27632
2020-07-19,293481,265190,27538
2020-07-18,290645,262493,27399
2020-07-17,285813,257927,27134
2020-07-16,282012,254354,26917
2020-07-15,277296,249941,26617
2020-07-14,272138,245118,26291
2020-07-13,267700,240972,26005
2020-07-12,262284,235794,25780
2020-07-11,256833,230616,25520
2020-07-10,252902,226909,25301
2020-07-09,248882,223148,25047
2020-07-08,244586,219153,24763
2020-07-07,241218,216032,24522
2020-07-06,239498,214455,24379
2020-07-05,238228,213281,24283
2020-07-04,234689,209947,24086
2020-07-03,229237,204801,23794
2020-07-02,226650,202428,23582
2020-07-01,224300,200223,23439
2020-06-30,221183,197285,23261
2020-06-29,217232,193600,23011
2020-06-28,214296,190801,22877
2020-06-27,207925,184781,22547
2020-06-26,201697,178893,22221
2020-06-25,199287,176638,22070
2020-06-24,196390,173929,21887
2020-06-23,193505,171196,21740
2020-06-22,189997,167929,21512
2020-06-21,187172,165239,21382
2020-06-20,184230,162454,21226
2020-06-19,180796,159240,21009
2020-06-18,177205,155905,20774
2020-06-17,173553,152535,20503
2020-06-16,170229,149423,20296
2020-06-15,166881,146309,20073
2020-06-14,164146,143727,19929
2020-06-13,161666,141410,19772
2020-06-12,157824,137852,19491
2020-06-11,153687,134062,19153
2020-06-10,150265,130898,18900
2020-06-09,146827,127607,18758
2020-06-08,144308,125328,18528
2020-06-07,142120,123269,18406
2020-06-06,139332,120749,18143
2020-06-05,136640,118324,17898
2020-06-04,133514,115498,17605
2020-06-03,129608,112019,17184
2020-06-02,126594,109298,16895
2020-06-01,122396,105439,16564
2020-05-31,120146,103403,16353
2020-05-30,116649,100232,16029
2020-05-29,111224,95358,15483
2020-05-28,109141,93625,15135
2020-05-27,105776,90718,14709
2020-05-26,103800,88998,14457
2020-05-25,101086,86555,14191
2020-05-24,97216,82917,13962
2020-05-23,95557,81517,13705
2020-05-22,90943,77369,13245
2020-05-21,88023,74773,12927
2020-05-20,84055,71185,12553
