Date,New Tests,,,,Date,New Tests,
2020-10-28,1231112,,Bold = incomplete,,2020-10-19,1156029,
2020-10-27,1231076,,,,2020-10-18,1156001,
2020-10-26,1228772,,,,2020-10-17,1154653,
2020-10-25,1222804,,,,2020-10-16,1150423,
2020-10-24,1219010,,,,2020-10-15,1142263,
2020-10-23,1214172,,,,2020-10-14,1133788,
2020-10-22,1205922,,,,2020-10-13,1124508,
2020-10-21,1196070,,,,2020-10-12,1114916,incomplete
2020-10-20,1184996,,,,2020-10-11,1107492,
2020-10-19,1174417,,,,2020-10-10,1105227,
2020-10-18,1164937,,,,2020-10-09,1100315,
2020-10-17,1160596,,,,2020-10-08,1092036,
2020-10-16,1155491,,,,2020-10-07,1082722,
2020-10-15,1145245,,,,2020-10-06,1074720,
2020-10-14,1134718,,,,2020-10-05,1063694,
2020-10-13,1124408,,,,2020-10-04,1056059,
2020-10-12,1113400,,,,2020-10-03,1053674,
2020-10-11,1105344,,,,2020-10-02,1048907,
2020-10-10,1103076,,,,2020-10-01,1041566,
2020-10-09,1098141,,,,2020-09-30,1032653,
2020-10-08,1089778,,,,2020-09-29,1026287,
2020-10-07,1080428,,,,2020-09-28,1017298,
2020-10-06,1072313,,,,2020-09-27,1010266,
2020-10-05,1061270,,,,2020-09-26,1007988,
2020-10-04,1053510,,,,2020-09-25,1004513,
2020-10-03,1051103,,,,2020-09-24,997075,
2020-10-02,1046310,,,,2020-09-23,990172,
2020-10-01,1038969,,,,2020-09-22,981810,
2020-09-30,1030023,,,,2020-09-21,971181,
2020-09-29,1023570,,,,2020-09-20,963475,
2020-09-28,1014564,,,,2020-09-19,961371,
2020-09-27,1007485,,,,2020-09-18,958201,
2020-09-26,1005200,,,,2020-09-17,950955,
2020-09-25,1001715,,,,2020-09-16,943167,
2020-09-24,994300,,,,2020-09-15,935072,
2020-09-23,987411,,,,2020-09-14,926326,
2020-09-22,978986,,,,2020-09-13,917748,
2020-09-21,968375,,,,2020-09-12,916029,
2020-09-20,960642,,,,2020-09-11,912914,
2020-09-19,958530,,,,2020-09-10,905905,
2020-09-18,955364,,,,2020-09-09,898862,
2020-09-17,948151,,,,2020-09-08,891310,
2020-09-16,940404,,,,2020-09-07,880393,
2020-09-15,932286,,,,2020-09-06,877813,
2020-09-14,923585,,,,2020-09-05,876355,
2020-09-13,914937,,,,2020-09-04,871821,
2020-09-12,913211,,,,2020-09-03,864696,
2020-09-11,910093,,,,2020-09-02,856086,
2020-09-10,903122,,,,2020-09-01,847175,
2020-09-09,896110,,,,2020-08-31,838627,
2020-09-08,888514,,,,2020-08-30,830862,
2020-09-07,877609,,,,2020-08-29,829352,
2020-09-06,875034,,,,2020-08-28,825850,
2020-09-05,873568,,,,2020-08-27,820159,
2020-09-04,869041,,,,2020-08-26,813890,
2020-09-03,861924,,,,2020-08-25,807391,
2020-09-02,853328,,,,2020-08-24,799765,
2020-09-01,844362,,,,2020-08-23,794147,
2020-08-31,835865,,,,2020-08-22,792578,
2020-08-30,828072,,,,2020-08-21,788799,
2020-08-29,826555,,,,2020-08-20,782167,
2020-08-28,823043,,,,2020-08-19,775720,
2020-08-27,817383,,,,2020-08-18,767996,
2020-08-26,811139,,,,2020-08-17,758251,
2020-08-25,804559,,,,2020-08-16,749971,
2020-08-24,796863,,,,2020-08-15,747378,
2020-08-23,791196,,,,2020-08-14,742932,
2020-08-22,789613,,,,2020-08-13,734982,
2020-08-21,785833,,,,2020-08-12,726658,
2020-08-20,779258,,,,2020-08-11,717575,
2020-08-19,772853,,,,2020-08-10,708805,
2020-08-18,765075,,,,2020-08-09,701885,
2020-08-17,755333,,,,2020-08-08,699900,
2020-08-16,747046,,,,2020-08-07,695752,
2020-08-15,744447,,,,2020-08-06,687621,
2020-08-14,740001,,,,2020-08-05,680168,
2020-08-13,732093,,,,2020-08-04,671522,
