,Backfill Analysis,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Checker instructions: 
- Look at graphs for each of the metrics, and confirm that any differences between the lines are small, or well understood 
- for each value in the ""spot check value"" columns, confirm that the value matches the same day's value on the state's page (see note on column header) 
- If all looks good, copy/paste each of the proposed columns into states daily.",,,,,,,,,,,,,,
,Date,Total Test Encounters (PCR),"Propsoed, from file from 2020-10-21",,,Proposed,Spot check value,Total Test Encounters (PCR),Proposed,Spot check value,,Proposed,Spot check value,,Sensitivity,0.01
,2020-10-29,1231112,,,,,,,,,,,,,,
,2020-10-28,1227689,,,,,,,,,,,,,,
,2020-10-27,1220443,,,,,,,,,,,,,,
,2020-10-26,1212437,,,,,,,,,,,,,,
,2020-10-25,1204746,,,,,,,,,,,,,,
,2020-10-24,1196111,,,,,,,,,,,,,,
,2020-10-23,1185069,,,,,,,,,,,,,,
,2020-10-22,1175414,,,,,,,,,,,,,,
,2020-10-21,1165414,,,,,,,,,,,,,,
,2020-10-20,1156029,1156029,,,,,,,,,,,,,
,2020-10-19,1149260,1156001,,,,,,,,,,,,,
,2020-10-18,1141393,1154653,,,,,,,,,,,,,
,2020-10-17,1130608,1150423,,,,,,,,,,,,,
,2020-10-16,1115805,1142263,,,,,,,,,,,,,
,2020-10-15,1111192,1133788,,,,,,,,,,,,,
,2020-10-14,,1124508,,,,,,,,,,,,,
,2020-10-13,,1114916,,,,,,,,,,,,,
,2020-10-12,,1107492,,,,,,,,,,,,,
,2020-10-11,,1105227,,,,,,,,,,,,,
,2020-10-10,,1100315,,,,,,,,,,,,,
,2020-10-09,,1092036,,,,,,,,,,,,,
,2020-10-08,,1082722,,,,,,,,,,,,,
,2020-10-07,,1074720,,,,,,,,,,,,,
,2020-10-06,,1063694,,,,,,,,,,,,,
,2020-10-05,,1056059,,,,,,,,,,,,,
,2020-10-04,,1053674,,,,,,,,,,,,,
,2020-10-03,,1048907,,,,,,,,,,,,,
,2020-10-02,,1041566,,,,,,,,,,,,,
,2020-10-01,,1032653,,,,,,,,,,,,,
,2020-09-30,,1026287,,,,,,,,,,,,,
,2020-09-29,,1017298,,,,,,,,,,,,,
,2020-09-28,,1010266,,,,,,,,,,,,,
,2020-09-27,,1007988,,,,,,,,,,,,,
,2020-09-26,,1004513,,,,,,,,,,,,,
,2020-09-25,,997075,,,,,,,,,,,,,
,2020-09-24,,990172,,,,,,,,,,,,,
,2020-09-23,,981810,,,,,,,,,,,,,
,2020-09-22,,971181,,,,,,,,,,,,,
,2020-09-21,,963475,,,,,,,,,,,,,
,2020-09-20,,961371,,,,,,,,,,,,,
,2020-09-19,,958201,,,,,,,,,,,,,
,2020-09-18,,950955,,,,,,,,,,,,,
,2020-09-17,,943167,,,,,,,,,,,,,
,2020-09-16,,935072,,,,,,,,,,,,,
,2020-09-15,,926326,,,,,,,,,,,,,
,2020-09-14,,917748,,,,,,,,,,,,,
,2020-09-13,,916029,,,,,,,,,,,,,
,2020-09-12,,912914,,,,,,,,,,,,,
,2020-09-11,,905905,,,,,,,,,,,,,
,2020-09-10,,898862,,,,,,,,,,,,,
,2020-09-09,,891310,,,,,,,,,,,,,
,2020-09-08,,880393,,,,,,,,,,,,,
,2020-09-07,,877813,,,,,,,,,,,,,
,2020-09-06,,876355,,,,,,,,,,,,,
,2020-09-05,,871821,,,,,,,,,,,,,
,2020-09-04,,864696,,,,,,,,,,,,,
,2020-09-03,,856086,,,,,,,,,,,,,
,2020-09-02,,847175,,,,,,,,,,,,,
,2020-09-01,,838627,,,,,,,,,,,,,
,2020-08-31,,830862,,,,,,,,,,,,,
,2020-08-30,,829352,,,,,,,,,,,,,
,2020-08-29,,825850,,,,,,,,,,,,,
,2020-08-28,,820159,,,,,,,,,,,,,
,2020-08-27,,813890,,,,,,,,,,,,,
,2020-08-26,,807391,,,,,,,,,,,,,
,2020-08-25,,799765,,,,,,,,,,,,,
,2020-08-24,,794147,,,,,,,,,,,,,
,2020-08-23,,792578,,,,,,,,,,,,,
,2020-08-22,,788799,,,,,,,,,,,,,
,2020-08-21,,782167,,,,,,,,,,,,,
,2020-08-20,,775720,,,,,,,,,,,,,
,2020-08-19,,767996,,,,,,,,,,,,,
,2020-08-18,,758251,,,,,,,,,,,,,
,2020-08-17,,749971,,,,,,,,,,,,,
,2020-08-16,,747378,,,,,,,,,,,,,
,2020-08-15,,742932,,,,,,,,,,,,,
,2020-08-14,,734982,,,,,,,,,,,,,
,2020-08-13,,726658,,,,,,,,,,,,,
,2020-08-12,,717575,,,,,,,,,,,,,
,2020-08-11,,708805,,,,,,,,,,,,,
,2020-08-10,,701885,,,,,,,,,,,,,
,2020-08-09,,699900,,,,,,,,,,,,,
,2020-08-08,,695752,,,,,,,,,,,,,
,2020-08-07,,687621,,,,,,,,,,,,,
,2020-08-06,,680168,,,,,,,,,,,,,
,2020-08-05,,671522,,,,,,,,,,,,,
