date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-11-17,CO,,,,,,,,,,193602,14896,178706,2599581,,,,163076,8968,1491381,172044,1328305,,1543,11608,,,,,10004,2299,,,11/17 1:59,11/18 16:23,GET,MM,Backfill.,
2020-11-16,CO,,,,,,,,,,193236,14841,178395,2560096,,,,158864,8849,1472457,167713,1313593,,1424,11203,,,,,9828,2276,,,11/16 1:59,11/17 16:23,GET,KVP,,A
2020-11-15,CO,,,,,,,,,,192715,14772,177943,2523752,,,,155258,8159,1454824,163417,1299566,,1417,11124,,,,,9657,2234,,,11/15 1:59,11/16 16:06,CKW,HMH,,A
2020-11-14,CO,,,,,,,,,,192069,14666,177403,2485451,,,,151115,8119,1436205,159234,1285090,,1325,11056,,,,,9528,2234,,,11/14 1:59,11/15 16:27,YXC,RSG,,A
2020-11-13,CO,,,,,,,,,,191205,14549,176656,2443599,,,,146023,8015,1415886,154038,1269863,,1315,10861,,,,,9352,2234,,,11/13 1:59,11/14 16:26,BAG,LSW,,A
2020-11-12,CO,,,,,,,,,,189920,14341,175579,2391802,,,,139741,7858,1389134,147599,1252650,,1322,10597,,,,,9148,2234,,,11/12 1:59,11/13 16:47,MBM,DZL,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-11,CO,,,,,,,,,,189920,14341,175579,2347268,,,,134618,7784,1387268,142402,1252650,,1304,10538,,,,,8980,2201,,,11/11 1:59,11/12 16:11,ALM,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-10,CO,,,,,,,,,,189523,14272,175251,2306782,,,,130668,7759,1367027,138427,1236359,,1270,10263,,,,,8846,2201,,,11/10 1:59,11/11 16:14,HGC,PK,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-09,CO,,,,,,,,,,189111,14228,174883,2274428,,,,126837,7700,1351495,134537,1224658,,1174,10050,,,,,8738,2179,,,11/09 1:59,11/10 16:44,MSO,JNG,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-08,CO,,,,,,,,,,188921,14201,174720,2245385,,,,123351,7633,1334323,130984,1210972,,1134,10017,,,,,8667,2168,,,11/08 1:59,11/09 17:08,BAG,JNG,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-07,CO,,,,,,,,,,188415,14110,174305,2214788,,,,120382,7585,1320389,127967,1200007,,1087,9997,,,,,8562,2168,,,11/07 1:59,11/08 15:57,LNH,KP,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-06,CO,,,,,,,,,,187631,14007,173624,2177091,,,,116968,7501,1303345,124469,1186377,,1041,9911,,,,,8478,2168,,,11/06 1:59,11/07 15:57,BAG,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-05,CO,,,,,,,,,,187001,13913,173088,2141933,,,,113607,7399,1287081,121006,1173474,,1016,9714,,,,,8366,2158,,,11/05 1:59,11/06 16:00,HAH,JNG,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-04,CO,,,,,,,,,,186264,13795,172469,2109114,,,,110284,7353,1272494,117637,1162210,,970,9618,,,,,8268,2147,,,11/04 1:59,11/05 16:06,BAG,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-03,CO,,,,,,,,,,185805,13725,172080,2082151,,,,107417,7292,1259853,114709,1152436,,925,9180,,,,,8179,2134,,,11/03 1:59,11/04 15:51,JAL,LSW,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-02,CO,,,,,,,,,,185418,13684,171734,2060642,,,,104947,7200,1249128,112147,1144181,,858,9114,,,,,8106,2126,,,11/02 1:59,11/03 17:29,KSB,LDH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-11-01,CO,,,,,,,,,,184957,13636,171321,2034795,,,,102766,7144,1236323,109910,1133557,,788,9089,,,,,8038,2105,,,11/01 1:59,11/02 16:07,JPL,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-31,CO,,,,,,,,,,184509,13571,170938,2004722,,,,100220,7130,1222276,107350,1122056,,788,9064,,,,,7963,2105,,,10/31 1:59,11/01 17:55,HH,KP,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-30,CO,,,,,,,,,,183775,13493,170282,1963585,,,,97397,7029,1207438,104426,1110041,,781,9031,,,,,7854,2105,,,10/30 1:59,10/31 16:04,AYC,NEZ,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-29,CO,,,,,,,,,,183055,13404,169651,1936408,,,,95107,6907,1196302,102014,1101195,,742,8943,,,,,7798,2095,,,10/29 1:59,10/30 15:58,JAL,DZL,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-28,CO,,,,,,,,,,182411,13307,169104,1910983,,,,93393,6815,1185043,100208,1091650,,721,8854,,,,,7724,2094,,,10/28 1:59,10/29 15:55,JAL,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-27,CO,,,,,,,,,,181987,13243,168744,1892949,,,,92023,6710,1177044,98733,1085021,,648,8778,,,,,7668,2082,,,10/27 1:59,10/28 15:59,LJH,LSW,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-26,CO,,,,,,,,,,181750,13218,168532,1874101,,,,90675,6625,1168725,97300,1078050,,591,8658,,,,,7628,2082,,,10/26 1:59,10/27 16:05,JAL,NEZ,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-25,CO,,,,,,,,,,180465,12921,167544,1842254,,,,88484,6605,1149629,95089,1061145,,586,8622,,,,,7578,2076,,,10/25 1:59,10/26 16:52,CKW,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-24,CO,,,,,,,,,,180052,12853,167199,1818196,,,,86815,6585,1137570,93400,1050755,,599,8598,,,,,7513,2076,,,10/24 1:59,10/25 16:11,GET,RS,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-23,CO,,,,,,,,,,179232,12741,166491,1790404,,,,85080,6492,1124409,91572,1039329,,550,8557,,,,,7463,2076,,,10/23 1:59,10/24 15:56,RK,LSW,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-22,CO,,,,,,,,,,178626,12684,165942,1764648,,,,83821,6401,1113799,90222,1029978,,547,8478,,,,,7394,2070,,,10/22 1:59,10/23 15:40,RK,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-21,CO,,,,,,,,,,178006,12616,165390,1742583,,,,82558,6291,1103952,88849,1021394,,532,8380,,,,,7352,2066,,,10/21 1:59,10/22 16:06,RK,JNG,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-20,CO,,,,,,,,,,177664,12594,165070,1724038,,,,81528,6054,1095721,87582,1014193,,516,8332,,,,,7286,2060,,,10/20 1:59,10/21 17:25,RK,JNG/KWS,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-19,CO,,,,,,,,,,177375,12564,164811,1708450,,,,80536,5838,1089442,86374,1008906,,465,8248,,,,,7225,2051,,,10/19 1:59,10/20 15:48,RK,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-18,CO,,,,,,,,,,176987,12531,164456,1689313,,,,79492,5810,1080158,85302,1000666,,445,8227,,,,,7176,2042,,,10/18 1:59,10/19 16:28,AJC,JAC,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-17,CO,,,,,,,,,,176495,12492,164003,1668053,,,,78569,5800,1069977,84369,991408,,428,8217,,,,,7127,2042,,,10/17 1:59,10/18 16:39,KSB,KP ,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-16,CO,,,,,,,,,,175900,12432,163468,1646557,,,,77577,5673,1059831,83230,982254,,434,8169,,,,,7087,2042,,,10/16 1:59,10/17 16:10,LSW,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-15,CO,,,,,,,,,,175428,12385,163043,1625527,,,,76377,5541,1050566,81918,974189,,420,8127,,,,,7034,2029,,,10/15 1:59,10/16 16:18,AYC,NEZ,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
2020-10-14,CO,,,,,,,,,,174918,12345,162573,1602956,,,,75285,5492,1039775,80777,964490,,405,8068,,,,,6968,2025,,,10/14 1:59,10/15 16:05,JAL,HMH,"(9/24 LSW) Starting today, Cumulative Antibody Test chart displaying lower #s (164,766 vs 167,110 for 9/21, for example) than previously. Used new lower number and someone is reaching out to CO to find out reason.",A
