,Name,Desc_,Cases,Tested,Test_Encounters,Deaths,DthCOVID19,Population,Rate,Hosp,Counties,Outbreaks,ObjectId
2020-11-17,Colorado,State Data,172044,1491381,2599581,2608,2299,5763976,2984.81,11608,64,1718,146
2020-11-16,Colorado,State Data,167713,1472457,2560096,2578,2276,5763976,2909.68,11203,64,1666,145
2020-11-15,Colorado,State Data,163417,1454824,2523752,2546,2234,5763976,2835.14,11124,64,1650,144
2020-11-14,Colorado,State Data,159234,1436205,2485451,2525,2234,5763976,2762.57,11056,64,1637,143
2020-11-13,Colorado,State Data,154038,1415886,2443599,2504,2234,5763976,2672.43,10861,64,1597,142
2020-11-12,Colorado,State Data,147599,1389134,2391802,2468,2234,5763976,2560.72,10597,64,1572,141
2020-11-11,Colorado,State Data,142402,1387268,2347268,2443,2201,5763976,2470.55,10538,64,1551,140
2020-11-10,Colorado,State Data,138427,1367027,2306782,2427,2201,5763976,2401.59,10263,64,1472,139
2020-11-09,Colorado,State Data,134537,1351495,2274428,2408,2179,5763976,2334.1,10050,64,1426,138
2020-11-08,Colorado,State Data,130984,1334323,2245385,2394,2168,5763976,2272.46,10017,64,1408,137
2020-11-07,Colorado,State Data,127967,1320389,2214788,2389,2168,5763976,2220.12,9997,64,1403,136
2020-11-06,Colorado,State Data,124469,1303345,2177091,2376,2168,5763976,2159.43,9911,64,1378,135
2020-11-05,Colorado,State Data,121006,1287081,2141933,2353,2158,5763976,2099.35,9714,64,1350,134
2020-11-04,Colorado,State Data,117637,1272494,2109114,2333,2147,5763976,2040.9,9618,64,1337,133
2020-11-03,Colorado,State Data,114709,1259853,2082151,2311,2134,5763976,1990.1,9180,64,1268,132
2020-11-02,Colorado,State Data,112147,1249128,2060642,2292,2126,5763976,1945.65,9114,64,1221,131
2020-11-01,Colorado,State Data,109910,1236323,2034795,2288,2105,5763976,1906.84,9089,64,1216,130
2020-10-31,Colorado,State Data,107350,1222276,2004722,2285,2105,5763976,1862.43,9064,64,1216,129
2020-10-30,Colorado,State Data,104426,1207438,1963585,2278,2105,5763976,1811.7,9031,64,1197,128
2020-10-29,Colorado,State Data,102014,1196302,1936408,2268,2095,5763976,1769.85,8943,64,1166,127
2020-10-28,Colorado,State Data,100208,1185043,1910983,2249,2094,5763976,1738.52,8854,64,1142,126
2020-10-27,Colorado,State Data,98733,1177044,1892949,2236,2082,5763976,1712.93,8778,64,1099,125
2020-10-26,Colorado,State Data,97300,1168725,1874101,2226,2082,5763976,1688.07,8658,64,1064,124
2020-10-25,Colorado,State Data,95089,1149629,1842254,2223,2076,5763976,1649.71,8622,64,1057,123
2020-10-24,Colorado,State Data,93400,1137570,1818196,2218,2076,5763976,1620.41,8598,64,1056,122
2020-10-23,Colorado,State Data,91572,1124409,1790404,2211,2076,5763976,1588.7,8557,64,1043,121
2020-10-22,Colorado,State Data,90222,1113799,1764648,2198,2070,5763976,1565.27,8478,64,1028,120
2020-10-21,Colorado,State Data,88849,1103952,1742583,2194,2066,5763976,1541.45,8380,64,1011,119
2020-10-20,Colorado,State Data,87582,1095721,1724038,2182,2060,5763976,1519.47,8332,64,971,118
2020-10-19,Colorado,State Data,86374,1089442,1708450,2180,2051,5763976,1498.51,8248,64,955,117
2020-10-18,Colorado,State Data,85302,1080158,1689313,2176,2042,5763976,1479.92,8227,64,946,116
2020-10-17,Colorado,State Data,84369,1069977,1668053,2176,2042,5763976,1463.73,8217,64,943,115
2020-10-16,Colorado,State Data,83230,1059831,1646557,2172,2042,5763976,1443.97,8169,64,929,114
2020-10-15,Colorado,State Data,81918,1050566,1625527,2162,2029,5763976,1421.21,8127,64,916,113
2020-10-14,Colorado,State Data,80777,1039775,1602956,2160,2025,5763976,1401.41,8068,64,897,112
2020-10-13,Colorado,State Data,80085,1032545,1588632,2153,2009,5763976,1389.41,8003,64,886,111
2020-10-12,Colorado,State Data,79037,1023316,1571329,2116,1998,5763976,1371.22,7915,64,867,110
2020-10-11,Colorado,State Data,78461,1017219,1560179,2113,1998,5763976,1361.23,7893,64,864,109
2020-10-10,Colorado,State Data,77642,1006847,1541162,2112,1998,5763976,1347.02,7879,64,862,108
2020-10-09,Colorado,State Data,76619,995817,1518454,2103,1998,5763976,1329.27,7855,64,859,107
2020-10-08,Colorado,State Data,75785,984996,1496198,2095,1997,5763976,1314.8,7834,64,846,106
2020-10-07,Colorado,State Data,74922,974863,1477301,2085,1990,5763976,1299.83,7771,64,833,105
2020-10-06,Colorado,State Data,74191,965449,1459332,2081,1983,5763976,1287.15,7721,64,817,202
2020-10-05,Colorado,State Data,73537,957533,1444262,2069,1983,5763976,1275.8,7693,64,802,201
2020-10-04,Colorado,State Data,73076,950759,1430540,2068,1968,5763976,1267.81,7673,64,798,200
2020-10-03,Colorado,State Data,72555,942339,1414336,2060,1968,5763976,1258.77,7666,64,797,199
2020-10-02,Colorado,State Data,71898,932914,1396346,2057,1968,5763976,1247.37,7653,64,790,198
2020-10-01,Colorado,State Data,71218,922232,1376920,2054,1962,5763976,1235.57,7579,64,778,197
2020-09-30,Colorado,State Data,70536,911426,1357159,2051,1960,5763976,1223.74,7568,64,770,196
2020-09-29,Colorado,State Data,70025,902242,1341180,2046,1952,5763976,1214.87,7558,64,748,195
2020-09-28,Colorado,State Data,69490,894996,1326642,2044,1945,5763976,1205.59,7530,64,738,194
2020-09-27,Colorado,State Data,69079,888539,1313403,2041,1940,5763976,1198.46,7523,64,736,193
2020-09-26,Colorado,State Data,68510,878021,1295655,2040,1940,5763976,1188.59,7520,64,736,192
2020-09-25,Colorado,State Data,67926,867943,1277613,2037,1940,5763976,1178.46,7479,64,728,191
2020-09-24,Colorado,State Data,67217,858108,1260861,2033,1935,5763976,1166.16,7454,64,724,190
2020-09-23,Colorado,State Data,66669,848906,1245745,2030,1926,5763976,1156.65,7444,63,717,189
2020-09-22,Colorado,State Data,66053,840452,1232288,2025,1926,5763976,1145.96,7416,63,709,188
2020-09-21,Colorado,State Data,65399,834277,1219137,2018,1914,5763976,1134.62,7373,63,701,187
2020-09-20,Colorado,State Data,64857,828108,1208425,2014,1913,5763976,1125.21,7363,63,697,186
2020-09-19,Colorado,State Data,64356,821128,1195379,2013,1913,5763976,1116.52,7357,63,698,185
2020-09-18,Colorado,State Data,63750,813355,1181829,2009,1913,5763976,1106.01,7347,63,691,184
2020-09-17,Colorado,State Data,63145,804767,1166910,2006,1911,5763976,1095.51,7327,63,684,183
2020-09-16,Colorado,State Data,62686,797493,1153853,2002,1905,5763976,1087.55,7288,63,681,182
2020-09-15,Colorado,State Data,62099,791439,1143941,1996,1905,5763976,1077.36,7262,63,670,181
2020-09-14,Colorado,State Data,61699,786511,1134666,1990,1894,5763976,1070.42,7240,63,662,180
2020-09-13,Colorado,State Data,61324,780305,1124181,1988,1889,5763976,1063.92,7227,63,660,179
