date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-11-17,NM,,,,,,,,,,,,,,1398339,,,67559,,,67559,1330780,,754,5786,,,,,26338,1264,,,11/17 17:51,11/18 16:34,JCF,ALF,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",
2020-11-16,NM,,,,,,,,,,,,,,1386121,,,65454,,,65454,1320667,,738,5684,,,,,25411,1236,,,11/16 17:51,11/17 15:46,JB,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-15,NM,,,,,,,,,,,,,,1372867,,,64201,,,64201,1308666,,506,5570,,,,,25089,1215,,,11/15 17:30,11/16 15:51,CKW,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-14,NM,,,,,,,,,,,,,,1360452,,,63171,,,63171,1297281,,480,5523,,,,,24788,1208,,,11/14 17:30,11/15 15:50,BAG,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-13,NM,,,,,,,,,,,,,,1348194,,,62006,,,62006,1286188,,455,5472,,,,,24449,1198,,,11/13 17:50,11/14 15:51,HAH,PK,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-12,NM,,,,,,,,,,,,,,1330403,,,60776,,,60776,1269627,,471,5408,,,,,24291,1176,,,11/12 17:51,11/13 15:42,MBM,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-11,NM,,,,,,,,,,,,,,1317248,,,59034,,,59034,1258214,,481,5356,,,,,23981,1158,,,11/11 17:51,11/12 15:46,KFA,LSW,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-10,NM,,,,,,,,,,,,,,1281951,,,57547,,,57547,1224404,,425,5265,,,,,23736,1144,,,11/10 17:51,11/11 15:45,KJZ,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",A
2020-11-09,NM,,,,,,,,,,,,,,1269523,,,56289,,,56289,1213234,,423,5204,,,,,23457,1130,,,11/09 17:50,11/10 15:49,JCF,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-08,NM,,,,,,,,,,,,,,1262482,,,54881,,,54881,1207601,,437,5122,,,,,23205,1118,,,11/08 17:50,11/09 15:44,BAG,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-07,NM,,,,,,,,,,,,,,1250724,,,53671,,,53671,1197053,,441,5091,,,,,23088,1104,,,11/07 17:50,11/08 15:48,AXA,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-06,NM,,,,,,,,,,,,,,1238575,,,52394,,,52394,1186181,,402,5020,,,,,22811,1088,,,11/06 17:50,11/07 15:42,MBM,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-05,NM,,,,,,,,,,,,,,1230205,,,51110,,,51110,1179095,,400,4969,,,,,22459,1082,,,11/05 17:56,11/06 15:39,HAH,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-04,NM,,,,,,,,,,,,,,1218805,,,50251,,,50251,1168554,,393,4896,,,,,22274,1059,,,11/04 17:51,11/05 15:56,BNB,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-03,NM,,,,,,,,,,,,,,1202347,,,49240,,,49240,1153107,,401,4837,,,,,21942,1045,,,11/03 17:51,11/04 16:09,KSB,JNG,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-02,NM,,,,,,,,,,,,,,1191327,,,48104,,,48104,1143223,,382,4737,,,,,21758,1036,,,11/02 17:51,10/03 16:19,ALM,JNG,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-11-01,NM,,,,,,,,,,,,,,1182514,,,47232,,,47232,1135282,,365,4673,,,,,21623,1026,,,11/01 19:30,11/02 16:11,CKW,BSL,"PROCESS: If they update a second time during shift, DO NOT UPDATE

(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift",B
2020-10-31,NM,,,,,,,,,,,,,,1172720,,,46490,,,46490,1126230,,354,4617,,,,,21570,1018,,,10/31 17:30,11/01 18:19,SMBS,NEZ,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-30,NM,,,,,,,,,,,,,,1161887,,,45909,,,45909,1115978,,334,4553,,,,,21491,1007,,,10/30 17:30,10/31 15:51,KVP,BHP,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-29,NM,,,,,,,,,,,,,,1153185,,,44904,,,44904,1108281,,323,4492,,,,,21389,994,,,10/29 18:01,10/30 15:53,SNW,BSL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-28,NM,,,,,,,,,,,,,,1141186,,,43826,,,43826,1097360,,313,4429,,,,,21224,991,,,10/28 18:11,10/29 15:54,KFA,JNG,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-27,NM,,,,,,,,,,,,,,1129419,,,43169,,,43169,1086250,,307,4377,,,,,21063,980,,,10/27 17:50,10/28 16:06,MEH,JNG,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-26,NM,,,,,,,,,,,,,,1124922,,,42586,,,42586,1082336,,289,4321,,,,,20910,976,,,10/26 17:50,10/27 15:46,KVP,BSL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-25,NM,,,,,,,,,,,,,,1118844,,,41863,,,41863,1076981,,287,4277,,,,,20837,967,,,10/25 16:30,10/26 17:09,BL,LSW,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-24,NM,,,,,,,,,,,,,,1109095,,,41040,,,41040,1068055,,264,4239,,,,,20765,965,,,10/24 17:30,10/25 15:42,RS,ALF,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-23,NM,,,,,,,,,,,,,,1099484,,,40168,,,40168,1059316,,229,4169,,,,,20655,960,,,10/23 17:50,10/24 16:01,SPA,RS,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-22,NM,,,,,,,,,,,,,,1089150,,,39377,,,39377,1049773,,213,4128,,,,,20562,953,,,10/22 17:50,10/23 18:04,KVP,BSL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-21,NM,,,,,,,,,,,,,,1078087,,,38715,,,38715,1039372,,202,4079,,,,,20332,950,,,10/21 17:50,10/22 16:24,MEB,JNG,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-20,NM,,,,,,,,,,,,,,1070481,,,37896,,,37896,1032585,,205,4030,,,,,20165,942,,,10/20 16:50,10/21 16:13,KAS,CML,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-19,NM,,,,,,,,,,,,,,1061268,,,37302,,,37302,1023966,,183,3977,,,,,20001,935,,,10/19 17:51,10/20 15:48,KVP,NEZ,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-18,NM,,,,,,,,,,,,,,1054891,,,36788,,,36788,1018103,,171,3940,,,,,19894,934,,,10/18 17:30,10/19 17:11,AAZ,JAC,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-17,NM,,,,,,,,,,,,,,1046727,,,36343,,,36343,1010384,,173,3911,,,,,19853,929,,,10/17 17:20,10/18 17:57,SMBS,SB,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-16,NM,,,,,,,,,,,,,,1035851,,,35770,,,35770,1000081,,168,3861,,,,,19613,928,,,10/16 17:50,10/17 16:00,SAJ,RSG,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-15,NM,,,,,,,,,,,,,,1027392,,,34958,,,34958,992434,,150,3819,,,,,19457,922,,,10/15 17:15,10/16 15:56,KFA,BSL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-14,NM,,,,,,,,,,,,,,1019029,,,34290,,,34290,984739,,145,3789,,,,,19127,921,,,10/14 18:38,10/15 16:48,ALM,DZL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-13,NM,,,,,,,,,,,,,,1011320,,,33713,,,33713,977607,,125,3758,,,,,18960,918,,,10/13 17:51,10/14 15:57,KFA,PK,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
2020-10-12,NM,,,,,,,,,,,,,,1002906,,,33362,,,33362,969544,,127,3735,,,,,18791,915,,,10/12 17:31,10/13 16:00,LSW,BSL,(10/11 ALF) Doublechecked from screenshots since NM updated with tomorrow's data during shift,B
