date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-05-31,NY,,,,,,,,,,,,,2063825,,,,370770,,,370770,1693055,,3436,89590,1050,,791,,65934,23905,,,05/31 0:00,05/31 15:00,KP,RS,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-30,NY,,,,,,,,,,,,,2005381,,,,369660,,,369660,1635721,,3619,89400,1124,,857,,65609,23848,,,05/30 0:00,05/30 16:54,RS,CML,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-29,NY,,,,,,,,,,,,,1944130,,,,368284,,,368284,1575846,,3781,89194,1164,,889,,65289,23780,,,05/29 0:00,05/29 17:18,QN,KP,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-28,NY,,,,,,,,,,,,,1876789,,,,366733,,,366733,1510056,,4010,89042,1219,,931,,64954,23722,,,05/28 0:00,05/28 16:02,RS,MM,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-27,NY,,,,,,,,,,,,,1811544,,,,364965,,,364965,1446579,,4208,88866,1261,,988,,64632,23643,,,05/27 0:00,05/27 16:12,RS,QN,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-26,NY,,,,,,,,,,,,,1774128,,,,363836,,,363836,1410292,,4265,88686,1273,,1002,,64443,23564,,,05/26 0:00,05/26 15:54,RS,KP,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-25,NY,,,,,,,,,,,,,1739449,,,,362764,,,362764,1376685,,4348,88554,1366,,1058,,64280,23488,,,05/25 0:00,05/25 16:51,RS,ESK,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-24,NY,,,,,,,,,,,,,1699826,,,,361515,,,361515,1338311,,4393,88324,1406,,1067,,64080,23391,,,05/24 0:00,05/24 15:56,RS,QN,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
2020-05-23,NY,,,,,,,,,,,,,1652061,,,,359926,,,359926,1292135,,4642,88083,1502,,1254,,63292,23282,,,05/22 0:00,05/23 17:21,QN,ESK,"PROCESS: 
1. Get Testing info and deaths from dashboard. (Deaths is on the Fatality Tab).
2. Then, using NY tab on this sheet, enter Reported daily hospitalization numbers from daily presser into cells to get calculated Cumulative Hosp. 
3. Get daily update for Currently Hosp. Discharge, ICU, Vent #s from either Daily email posted in Slack (or if not that then https://twitter.com/ZachReports). 

(5/23 QN) Total Hosp # was illegible on screenshot -- no email 
(5/12 RS) New Hosp # was illegible on screenshot, so we're not able to get an updated value for Cum Hosp.
(5/5 RS) Found new source for Discharge, ICU, Vent #s: https://twitter.com/ZachReports",A
