date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-11-25,WY,,,,,,,,,,,,,,385040,27640,357394,26677,4084,155135,30761,131788,,226,720,,,,,20113,215,,,11/25 0:00,11/25 17:33,HMH,ALF,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 



(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-24,WY,,,,,,,,,,,,,,385011,27637,357374,25975,3984,155135,29959,131788,,228,701,,,,,17896,202,,,11/24 0:00,11/24 17:35,JAC,KVP,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 



(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-23,WY,,,,,,,,,,,,,,384725,27600,357125,25560,3871,155135,29431,131788,,224,690,,,,,17452,202,,,11/23 16:56,11/23 18:26,KVP,JNG,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 



(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-22,WY,,,,,,,,,,,,,,382210,27274,354936,24309,3860,155135,28169,131788,,235,659,,,,,16807,176,,,11/22 11:41,11/22 17:37,KP,SMBS,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-21,WY,,,,,,,,,,,,,,381465,27135,354330,23567,3843,155135,27410,131788,,219,659,,,,,16530,176,,,11/21 12:39,11/21 15:48,BML,PK,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-20,WY,,,,,,,,,,,,,,380669,26936,353733,23347,3782,155135,27129,131788,,219,653,,,,,16316,176,,,11/20 0:00,11/20 17:59,LSW,JNG,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(11/19 & 11/20 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-19,WY,,,,,,,,,,,,,,376123,26321,349802,22489,3680,152619,26169,130130,,209,629,,,,,14904,176,,,11/19 0:00,11/19 17:21,LSW,JNG,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(11/19 LSW) Update Date only showed date and not also time today. Entered 11/19 00:00.",B
2020-11-18,WY,,,,,,,,,,,,,,369292,25562,343730,21750,3525,148734,25275,127687,,210,609,,,,,13752,155,,,11/18 16:55,11/18 18:23,ALF,KJZ,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(10/24 BHP) Cumulative hosp was carried over because calculating would result in a drop.
",B
2020-11-17,WY,,,,,,,,,,,,,,363992,24821,339171,21047,3406,148734,24453,127687,,204,589,,,,,13407,155,,,11/17 17:32,11/17 18:54,AN,LDH,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(10/24 BHP) Cumulative hosp was carried over because calculating would result in a drop.
",B
2020-11-16,WY,,,,,,,,,,,,,,357020,23903,333117,19885,3308,148451,23193,130208,,191,576,,,,,12902,144,,,11/16 16:46,11/16 17:34,BHP,KJZ,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(10/24 BHP) Cumulative hosp was carried over because calculating would result in a drop.
",B
2020-11-15,WY,,,,,,,,,,,,,,347830,22704,325126,19298,3196,148451,22494,130208,,189,580,,,,,12453,144,,,11/15 12:03,11/15 17:21,KP,SMBS,"PROCESS: WY main page and dashboard can be out of sync. Use dashboard. 

Weekends: The testing page does not usually update on weekends. 

(10/24 BHP) Cumulative hosp was carried over because calculating would result in a drop.
",B
