date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-03,VT,,,,,,,,,,,,,,567067,,,4239,,227464,4642,222822,,36,,3,,,,2726,75,75,,12/02 23:59,12/03 15:58,HGC,KVP,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-12-02,VT,,,,,,,,,,,,,,559575,,,4239,,225958,4461,221497,,33,,4,,,,2655,74,74,,12/01 23:59,12/02 16:16,PXS,BSL/ALF,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-12-01,VT,,,,,,,,,,,,,,555633,,,4239,,225958,4461,220989,,32,,2,,,,2564,72,72,,11/30 23:59,12/01 16:19,MSO,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-30,VT,,,,,,,,,,,,,,552954,,,4172,,225181,4360,220112,,25,,5,,,,2523,69,69,,11/29 23:59,11/30 15:59,HAH,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-29,VT,,,,,,,,,,,,,,550991,,,4100,,223919,4293,219223,,21,,4,,,,2494,67,67,,11/28 23:59,11/29 16:28,CHH,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-28,VT,,,,,,,,,,,,,,547492,,,4033,,222948,4223,217906,,19,,2,,,,2474,67,67,,11/27 23:59,11/28 16:02,LMB,LSW,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-27,VT,,,,,,,,,,,,,,546179,,,4005,,221534,4154,217404,,21,,2,,,,2439,67,67,,11/26 23:59,11/27 16:00,BNB,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-26,VT,,,,,,,,,,,,,,533135,,,3827,,221005,4114,214780,,24,,5,,,,2374,64,64,,11/24 23:59,11/26 16:21,SAC,SB,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-25,VT,,,,,,,,,,,,,,533135,,,3827,,219938,4017,214780,,24,,5,,,,2374,64,64,,11/24 23:59,11/25 15:41,SAO,RS,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-24,VT,,,,,,,,,,,,,,527945,,,3762,,218240,3938,212939,,22,,5,,,,2339,64,64,,11/23 23:59,11/24 16:39,MSO,DZL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-23,VT,,,,,,,,,,,,,,523227,,,3714,,216336,3845,211719,,19,,3,,,,2300,63,63,,11/22 23:59,11/23 16:23,BNB,JAL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-22,VT,,,,,,,,,,,,,,516661,,,3629,,215040,3795,210100,,22,,3,,,,2279,63,63,,11/21 23:59,11/22 15:40,DJW,RS,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
