date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-03,VT,,,,,,,,,,,,,,567067,,,4346,124,227424,4690,223078,,36,,3,,,,2726,75,75,,12/02 23:59,12/03 15:58,HGC,KVP,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-12-02,VT,,,,,,,,,,,,,,559575,,,4346,120,225810,4466,221464,,33,,4,,,,2655,74,74,,12/01 23:59,12/02 16:16,PXS,BSL/ALF,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-12-01,VT,,,,,,,,,,,,,,555633,,,4248,117,225033,4365,220785,,32,,2,,,,2564,72,72,,11/30 23:59,12/01 16:19,MSO,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-30,VT,,,,,,,,,,,,,,552954,,,4185,111,223774,4296,219589,,25,,5,,,,2523,69,69,,11/29 23:59,11/30 15:59,HAH,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-29,VT,,,,,,,,,,,,,,550991,,,4114,111,222803,4225,218689,,21,,4,,,,2494,67,67,,11/28 23:59,11/29 16:28,CHH,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-28,VT,,,,,,,,,,,,,,547492,,,4048,107,221389,4155,217341,,19,,2,,,,2474,67,67,,11/27 23:59,11/28 16:02,LMB,LSW,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-27,VT,,,,,,,,,,,,,,546179,,,4012,103,220861,4115,216849,,21,,2,,,,2439,67,67,,11/26 23:59,11/27 16:00,BNB,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-26,VT,,,,,,,,,,,,,,533135,,,3914,103,219794,4017,215880,,24,,5,,,,2374,64,64,,11/24 23:59,11/26 16:21,SAC,SB,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-25,VT,,,,,,,,,,,,,,533135,,,3841,97,218098,3938,214257,,24,,5,,,,2374,64,64,,11/24 23:59,11/25 15:41,SAO,RS,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-24,VT,,,,,,,,,,,,,,527945,,,3752,93,216199,3845,212447,,22,,5,,,,2339,64,64,,11/23 23:59,11/24 16:39,MSO,DZL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-23,VT,,,,,,,,,,,,,,523227,,,3702,93,214903,3795,211201,,19,,3,,,,2300,63,63,,11/22 23:59,11/23 16:23,BNB,JAL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-22,VT,,,,,,,,,,,,,,516661,,,3634,93,213144,3727,209510,,22,,3,,,,2279,63,63,,11/21 23:59,11/22 15:40,DJW,RS,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-21,VT,,,,,,,,,,,,,,506543,,,3547,92,209638,3639,206091,,18,,2,,,,2246,63,63,,11/20 23:59,11/21 16:02,NMW,KVP,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-20,VT,,,,,,,,,,,,,,497906,,,3463,88,206362,3551,202899,,22,,1,,,,2205,62,62,,11/19 23:59,11/20 15:53,HAH,BAG,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-19,VT,,,,,,,,,,,,,,492865,,,3324,83,205043,3407,201719,,18,,1,,,,2157,61,61,,11/18 23:59,11/19 16:13,HAH,CB-M,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-18,VT,,,,,,,,,,,,,,482325,,,3174,81,202019,3255,198845,,18,,2,,,,2135,60,60,,11/17 23:59,11/18 16:02,JCF,JAL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-17,VT,,,,,,,,,,,,,,479705,,,3123,78,201409,3201,198286,,17,,1,,,,2107,59,59,,11/16 23:59,11/17 16:03,HMH,DZL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-16,VT,,,,,,,,,,,,,,477590,,,3021,74,200398,3095,197377,,20,,1,,,,2050,59,59,,11/15 23:59,11/16 16:44,RJA,BHP,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-15,VT,,,,,,,,,,,,,,474928,,,2899,72,199462,2971,196563,,20,,1,,,,2023,59,59,,11/14 23:59,11/15 15:48,BAG,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-14,VT,,,,,,,,,,,,,,468034,,,2858,69,198755,2927,195897,,21,,2,,,,2000,59,59,,11/13 23:59,11/14 15:47,KVP,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-13,VT,,,,,,,,,,,,,,461509,,,2761,68,197706,2829,194945,,24,,3,,,,1977,59,59,,11/12 23:59,11/13 15:56,SBH,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-12,VT,,,,,,,,,,,,,,456048,,,2668,59,196689,2727,194021,,22,,5,,,,1958,59,59,,11/11 23:59,11/12 15:45,BAG,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-11,VT,,,,,,,,,,,,,,449806,,,2549,53,195339,2602,192790,,18,,6,,,,1947,59,59,,11/10 23:59,11/11 15:57,JPL,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-10,VT,,,,,,,,,,,,,,447581,,,2467,46,194485,2513,192018,,15,,4,,,,1936,59,59,,11/08 23:59,11/10 15:44,KVP,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-09,VT,,,,,,,,,,,,,,446327,,,2420,41,193797,2461,191377,,11,,4,,,,1931,59,59,,11/08 23:59,11/09 15:49,JPL,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-08,VT,,,,,,,,,,,,,,438828,,,2397,39,193365,2436,190968,,6,,0,,,,1923,59,59,,11/07 23:59,11/08 15:54,BAG,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-07,VT,,,,,,,,,,,,,,434341,,,2351,31,192491,2382,190140,,4,,0,,,,1913,59,59,,11/06 23:59,11/07 15:36,KVP,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-06,VT,,,,,,,,,,,,,,428851,,,2327,27,191701,2354,189374,,4,,2,,,,1904,58,58,,11/05 23:59,11/06 15:47,KVP,BSL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-05,VT,,,,,,,,,,,,,,424422,,,2301,25,191008,2326,188707,,7,,4,,,,1888,58,58,,11/04 23:59,11/05 16:09,HAH,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-04,VT,,,,,,,,,,,,,,418799,,,2266,22,190073,2288,187807,,8,,4,,,,1870,58,58,,11/03 23:59,11/04 16:32,MBM,DZL,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-03,VT,,,,,,,,,,,,,,416146,,,2239,18,189119,2257,186880,,3,,3,,,,1833,58,58,,11/02 23:59,11/03 16:04,EFD,HMH,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
2020-11-02,VT,,,,,,,,,,,,,,415518,,,2219,16,188836,2235,186617,,4,,3,,,,1826,58,58,,11/01 23:59,11/02 15:59,JPL,JAC,"PROCESS: If the dashboard is not loading, go to http://notbroken.dev/covid19 and click on VT 

(10/06 KVP) Total tests dropped from 167506 to 167441.",B
