date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-09,OR,,,,,,,,,,,,,,2193822,125430,2068392,74629,3531,1043744,87082,2088078,,608,5240,136,,59,,5870,1110,,,12/09 3:01,12/09 19:18,HAH,LSW,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
(12/5 KWS) The negatives for OR have changed to a calculation based off totals. I'm not sure what the press releases for the weekends will look like now, if they'll release negative tests or something. Keep eyes peeled.",A+
2020-12-08,OR,,,,,,,,,,,,,,2175160,124122,2051038,74629,3531,1043744,87082,2088078,,608,5064,136,,59,,5870,1080,,,12/08 3:01,12/08 18:56,CB-M,HAH,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
(12/5 KWS) The negatives for OR have changed to a calculation based off totals. I'm not sure what the press releases for the weekends will look like now, if they'll release negative tests or something. Keep eyes peeled.",A+
2020-12-07,OR,,,,,,,,,,,,,,2153661,122431,2031230,74629,3531,1043744,85788,2067873,,622,5012,128,,65,,5870,1045,,,12/07 3:01,12/07 18:28,HAH,JAC,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
(12/5 KWS) The negatives for OR have changed to a calculation based off totals. I'm not sure what the press releases for the weekends will look like now, if they'll release negative tests or something. Keep eyes peeled.",A+
2020-12-06,OR,,,,,,,,,,,,,,2138331,121227,2017104,74629,3531,1043744,84496,2005617,,596,4859,127,,59,,5870,1033,,,12/06 3:01,12/06 17:10,DMO,JCF,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
(12/5 KWS) The negatives for OR have changed to a calculation based off totals. I'm not sure what the press releases for the weekends will look like now, if they'll release negative tests or something. Keep eyes peeled.",A+
2020-12-05,OR,,,,,,,,,,,,,,2119510,119616,1999894,74629,3531,1043744,83243,2005617,,596,4859,127,,59,,5870,1027,,,12/05 3:01,12/05 18:06,DMO,PK,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
(12/5 KWS) The negatives for OR have changed to a calculation based off totals. I'm not sure what the press releases for the weekends will look like now, if they'll release negative tests or something. Keep eyes peeled.",A+
2020-12-04,OR,,,,,,,,,,,,,,2087054,117021,1970033,74629,3531,1043744,81437,2005617,,596,4859,127,,59,,5870,1003,,,12/04 3:01,,,,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-12-03,OR,,,,,,,,,,,,,,2043047,113929,1929118,74629,3531,1043744,79263,1964061,,629,4803,122,,52,,5870,973,,,12/03 3:01,12/03 18:42,KJZ,WAIT++,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-12-02,OR,,,,,,,,,,,,,,2021665,112130,1909535,74629,3531,1043744,78160,1943782,,620,4745,113,,56,,5870,953,,,12/02 3:01,12/02 18:34,LSW,KJZ,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-12-01,OR,,,,,,,,,,,,,,2002315,110296,1892019,73168,3486,1038596,76654,1925676,,625,4649,120,,56,,5870,936,,,12/01 3:01,12/01 17:37,JAC,MM,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-30,OR,,,,,,,,,,,,,,1979780,108570,1871210,67515,3317,1028119,75431,968686,,584,4343,117,,50,,5870,912,,,11/29 3:01,11/30 19:04,BHP,DZL,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-29,OR,,,,,,,,,,,,,,1967397,107341,1860056,67515,3317,1028119,74120,968686,,569,4343,123,,50,,5870,905,,,11/29 3:01,11/29 16:50,MMT,JAC,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-28,OR,,,,,,,,,,,,,,1954429,106079,1848350,67515,3317,1028119,72506,960644,,569,4343,123,,50,,5870,896,,,11/28 3:01,11/28 16:44,LLB,BML,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-27,OR,,,,,,,,,,,,,,1935773,104439,1831334,67515,3317,1028119,70832,960604,,569,4343,123,,50,,5870,885,,,11/27 3:01,11/27 16:59,EFD,JAL,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-26,OR,,,,,,,,,,,,,,1915466,102598,1812868,65252,3251,1025721,70006,960657,,532,4262,118,,48,,5870,882,,,11/26 3:01,11/26 16:58,ARD,SB,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-25,OR,,,,,,,,,,,,,,1891785,100403,1791382,65252,3251,1025721,68503,960469,,532,4262,118,,48,,5870,867,,,11/25 3:01,11/25 17:10,HGC,JNG,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-24,OR,,,,,,,,,,,,,,1869208,98637,1770571,64124,3209,1021373,67333,957249,,534,4176,116,,45,,5870,847,,,11/24 3:01,11/24 17:18,JAB,DZL,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-23,OR,,,,,,,,,,,,,,1842179,96518,1745661,63172,3161,1013121,66333,949949,,492,4120,119,,41,,5870,826,,,11/23 3:01,11/23 16:56,CKW,LDH,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-22,OR,,,,,,,,,,,,,,1826052,95240,1730812,59166,3009,990744,65170,944444,,458,3970,99,,38,,5870,820,,,11/22 3:01,11/22 16:57,EFD,BAG,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-21,OR,,,,,,,,,,,,,,1812656,94160,1718496,59166,3009,990744,63668,937579,,458,3970,99,,38,,5870,819,,,11/21 3:01,11/21 16:52,HAH,BML,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-20,OR,,,,,,,,,,,,,,1788488,92147,1696341,59166,3009,990744,62175,931578,,458,3970,99,,38,,5870,812,,,11/20 3:01,11/20 17:02,MBM,LSW,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-19,OR,,,,,,,,,,,,,,1764476,90509,1673967,57915,2958,982334,60873,924419,,497,3935,107,,41,,5870,808,,,11/19 3:01,11/19 17:54,JCF,HMH,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-18,OR,,,,,,,,,,,,,,1743437,89263,1654174,56743,2926,973924,59669,917181,,484,3888,103,,42,,5870,788,,,11/18 3:01,11/18 18:16,JWD,QN,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-17,OR,,,,,,,,,,,,,,1724634,87912,1636722,55686,2884,966938,58570,911252,,445,3805,102,,40,,5870,778,,,11/17 3:01,11/17 16:44,JCF,LSW,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-16,OR,,,,,,,,,,,,,,1709357,86789,1622568,54795,2851,960131,57646,905336,,413,3754,93,,40,,5870,765,,,11/16 3:01,11/16 17:10,JCF,KJZ,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-15,OR,,,,,,,,,,,,,,1696488,85850,1610638,52193,2744,940403,56880,901099,,356,3628,70,,30,,5870,761,,,11/15 3:01,11/15 16:49,BAG,KP,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-14,OR,,,,,,,,,,,,,,1682612,84908,1597704,52193,2744,940403,56018,895547,,356,3628,70,,30,,5870,759,,,11/14 3:01,11/14 16:44,LLB,PK,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-13,OR,,,,,,,,,,,,,,1662462,83443,1579019,52193,2744,940403,54937,888210,,356,3628,70,,30,,5870,753,,,11/13 3:01,11/13 16:43,LNH,RSG,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-12,OR,,,,,,,,,,,,,,1641992,82113,1559879,51176,2703,933174,53879,881998,,342,3584,71,,27,,5870,746,,,11/12 3:01,11/12 16:57,BAG,PK,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-11,OR,,,,,,,,,,,,,,1625667,80836,1544831,50125,2645,925698,52770,875573,,345,3553,77,,27,,5870,742,,,11/11 3:01,11/11 16:22,MHN,RS,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-10,OR,,,,,,,,,,,,,,1608006,79855,1528151,49294,2615,918601,51909,869307,,337,3511,78,,25,,5870,737,,,11/10 3:01,11/10 17:06,NEZ,LDH,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-09,OR,,,,,,,,,,,,,,1594543,79061,1515482,48564,2591,912086,51155,863522,,318,3463,64,,26,,5870,734,,,11/09 3:01,11/09 16:34,JCF,RSG,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-08,OR,,,,,,,,,,,,,,1583228,78285,1504943,46120,2488,895114,50448,858853,,266,3378,62,,27,,5870,730,,,11/08 3:01,11/08 16:51,BAG,NEZ,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-07,OR,,,,,,,,,,,,,,1567802,77193,1490609,46120,2488,895114,49587,853512,,266,3378,62,,27,,5870,729,,,11/07 3:01,11/07 16:41,KSB,BML,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-06,OR,,,,,,,,,,,,,,1552390,76205,1476185,46120,2488,895114,48608,848994,,266,3378,62,,27,,5870,716,,,11/06 3:01,11/06 17:48,RSG,CB-M,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
2020-11-05,OR,,,,,,,,,,,,,,1533487,75030,1458457,45380,2459,886568,47839,841188,,322,3334,62,,27,,5870,710,,,11/05 3:01,11/05 18:17,QN,LSW,"PROCESS: Weekend processes differ! Check the Press Conference link for an updated press release. OCCASIONALLY the URL for the Press Release will give a 404 error, if that happens try deleting ONE comma from the URL (trick discovered by ALF 10/11).
",A+
