date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-09,ND,,,,,,,,,,12347,1105,11242,1140695,1199933,,,84227,1922,359437,86149,275209,,284,2984,41,460,,,80515,1086,,,12/09 1:59,12/09 17:06,RSG,HAH,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-08,ND,,,,,,,,,,12347,1105,11242,1136485,1196950,,,83342,,358279,83342,274937,,304,2896,45,452,,,77562,1028,,,12/08 1:59,12/08 17:42,CB-M,KJZ,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-07,ND,,,,,,,,,,12347,1105,11242,1136485,1196950,,,83342,,358279,83342,274937,,304,2896,45,452,,,77562,1028,,,12/07 1:59,12/07 15:48,JAC,JCF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-06,ND,,,,,,,,,,12347,1105,11242,1132025,1192122,,,82981,,357471,82981,274492,,305,2880,48,450,,,76999,1019,,,12/06 1:59,12/06 16:05,KP,NEZ,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-05,ND,,,,,,,,,,12347,1105,11242,1125121,1184610,,,82504,,356518,82504,274014,,298,2868,47,448,,,76476,1013,,,12/05 1:59,12/05 16:10,BML,JCF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-04,ND,,,,,,,,,,12347,1105,11242,1116803,1175440,,,81949,,355196,81949,273247,,324,2842,48,444,,,75653,995,,,12/04 1:59,,,,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-03,ND,,,,,,,,,,12347,1105,11242,1106508,1164267,,,81105,,353683,81105,272578,,306,2813,45,440,,,74667,983,,,12/03 1:59,12/03 16:47,RSG,JCF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-02,ND,,,,,,,,,,12055,1007,11048,1096339,1153230,,,80135,,351652,80135,271517,,316,2791,38,435,,,73933,972,,,12/02 1:59,12/02 16:56,KVP,PK,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-01,ND,,,,,,,,,,12055,1007,11048,1091144,1147587,,,79655,,350834,79655,271183,,320,2751,35,430,,,73015,960,,,12/01 1:59,12/01 16:35,KWS,RSG,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-30,ND,,,,,,,,,,12055,1007,11048,1088089,1144256,,,79252,,350217,79252,270965,,333,2708,38,425,,,71848,933,,,11/30 1:59,11/30 16:18,KVP,DZL,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-29,ND,,,,,,,,,,12055,1007,11048,1081000,1136484,,,78658,,348939,78658,270281,,337,2667,39,417,,,70901,921,,,11/29 1:59,11/29 16:28,KP,QN,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-28,ND,,,,,,,,,,12055,1007,11048,1072080,1126762,,,77935,,347377,77935,269446,,345,2649,43,416,,,69669,921,,,11/28 1:59,11/28 15:54,KVP,PK,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-27,ND,,,,,,,,,,11949,970,10979,1065157,1119225,,,77232,,346071,77232,268839,,347,2620,39,408,,,68105,908,,,11/27 1:59,11/27 16:45,RSG,JCF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-26,ND,,,,,,,,,,11523,852,10671,1058014,1111437,,,76442,,344754,76442,268312,,321,2608,33,407,,,67200,903,,,11/26 1:59,11/26 15:44,KVP,HMH,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-25,ND,,,,,,,,,,11523,852,10671,1049728,1102420,,,75478,,342835,75478,267359,,321,2587,33,406,,,65976,893,,,11/25 1:59,11/25 15:52,KVP,RS,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-24,ND,,,,,,,,,,11523,852,10671,1040798,1092803,,,74401,,341033,74401,266632,,377,2528,36,394,,,64611,889,,,11/24 1:59,11/24 16:17,KVP,SB,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-23,ND,,,,,,,,,,11523,852,10671,1033394,1084813,,,73397,,339483,73397,266086,,377,2481,42,392,,,62697,852,,,11/23 1:59,11/23 15:57,RSG,KVP,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-22,ND,,,,,,,,,,11378,818,10560,1026922,1077719,,,72683,,337885,72683,265204,,379,2459,39,389,,,61599,846,,,11/22 1:59,11/22 15:57,KP,SMBS,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-21,ND,,,,,,,,,,11378,818,10560,1017029,1067090,,,71540,,335688,71540,264148,,376,2424,42,387,,,60640,840,,,11/21 1:59,11/21 15:52,JCF,PK,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-20,ND,,,,,,,,,,11378,818,10560,1005269,1054136,,,70016,,333327,70016,263312,,395,2390,45,385,,,59283,840,,,11/20 1:59,11/20 17:24,CB-M,LDH,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-19,ND,,,,,,,,,,11378,818,10560,995870,1043959,,,68612,,331169,68612,262565,,387,2338,46,381,,,57686,801,,,11/19 1:59,11/19 15:43,RSG,CB-M,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-11-18,ND,,,,,,,,,,11331,802,10529,986340,1033592,,,67230,,328910,67230,261680,,384,2307,44,378,,,56468,791,,,11/18 1:59,11/18 18:27,QN,ALF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
