date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-13,TX,,,,888741,73141,,,,,613854,68353,,,12029012,1440979,,1328213,144498,,1472711,10700799,,9230,,2644,,,,1176377,23911,,,12/13 17:45,12/13 18:09,HMH,ALF,  ,A
2020-12-12,TX,,,,863974,71381,,,,,611326,67899,,,11946323,1430692,,1321578,142784,,1464362,10624743,,9192,,2642,,,,1167975,23800,,,12/12 16:00,12/12 17:11,HMH,P*K,  ,A
2020-12-11,TX,,,,863863,71365,,,,,606668,66200,,,11945998,1430675,,1307878,140124,,1448002,10525262,,9109,,2604,,,,1157334,23551,,,12/11 18:00,12/11 18:12,JAC,BSL,  ,A
2020-12-10,TX,,,,862971,71236,,,,,601686,66200,,,11939315,1430071,,1296132,137419,,1433551,10425679,,9045,,2644,,,,1074579,23325,,,12/10 17:05,12/10 17:15,QN,JNG,  ,A
2020-12-09,TX,,,,857323,70766,,,,,598405,65542,,,11903307,1426497,,1283674,134578,,1418252,10337507,,9053,,2647,,,,1062398,23081,,,12/09 17:45,12/09 17:59,HAH,LSW,  ,A
2020-12-08,TX,,,,843177,69554,,,,,595246,65063,,,11821902,1416631,,1272496,132150,,1404646,10256091,,9028,,2646,,,,1050416,22808,,,12/08 18:50,12/08 19:02,KJZ,CB-M,  ,A
2020-12-07,TX,,,,818716,67828,,,,,593787,64835,,,11704609,1401774,,1258214,126590,,1384804,10197132,,8790,,2631,,,,1038806,22627,,,12/07 17:05,12/07 17:51,JAG,HAH,  ,A
2020-12-06,TX,,,,813338,67018,,,,,590964,64340,,,11664799,1395225,,1249323,125990,,1375313,10111653,,8681,,2592,,,,1030716,22594,,,12/06 16:10,12/06 16:29,PJS,HMH,"PROCESS: Numbers from main dashboard, ""Testing Data"" dashboard (In the Other link column), ICU from Excel spreadsheet.",A
2020-12-05,TX,,,,807829,66269,,,,,587512,63669,,,11607013,1386252,,1240750,124183,,1364933,10002003,,8916,,2663,,,,1022297,22502,,,12/05 16:35,12/05 16:49,RSG,CB-M,"PROCESS: Numbers from main dashboard, ""Testing Data"" dashboard (In the Other link column), ICU from Excel spreadsheet.",A
