date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2020-12-17,WA,,,,,,,,,,,,,3432892,,,,206594,,,206594,3226298,,1233,13074,279,,141,,,3042,3042,,12/16 2:59,12/17 17:21,SAC,LSW,,B
2020-12-16,WA,,,,,,,,,,,,,3411676,,,,205069,,,205069,3206607,,1181,12773,260,,138,,,2953,2953,,12/15 2:59,12/16 16:52,EEM,CB-M,,B
2020-12-15,WA,,,,,,,,,,,,,3380344,,,,203797,,,203797,3176547,,1144,12649,250,,128,,,2918,2918,,12/14 2:59,12/15 16:41,EFD,CB-M,,B
2020-12-14,WA,,,,,,,,,,,,,3347903,,,,202063,,,202063,3145840,,1140,12525,248,,147,,,2879,2879,,12/13 2:59,12/14 16:31,CKW,RSG,,B
2020-12-13,WA,,,,,,,,,,,,,3320070,,,,199735,,,199735,3120335,,1140,12368,248,,131,,,2879,2879,,12/12 2:59,12/13 16:37,MBM,NEZ,,B
2020-12-12,WA,,,,,,,,,,,,,3285936,,,,195554,,,195554,3090382,,1140,12237,248,,133,,,2879,2879,,12/11 2:59,12/12 16:12,BML,HMH ,,B
2020-12-11,WA,,,,,,,,,,,,,3256838,,,,192413,,,192413,3064425,,1166,12084,262,,133,,,2850,2850,,12/10 2:59,12/11 16:43,JCH,CB-M,,B
2020-12-10,WA,,,,,,,,,,,,,3225428,,,,189863,,,189863,3035565,,1177,11996,294,,144,,,3016,3016,,12/09 2:59,12/10 16:51,SKP,DZL,,B
2020-12-09,WA,,,,,,,,,,,,,3197050,,,,187327,,,187327,3009723,,1114,11841,294,,141,,,2967,2967,,12/08 2:59,12/09 17:07,JAG,P*K,,B
2020-12-08,WA,,,,,,,,,,,,,3164714,,,,184404,,,184404,2980310,,1094,11696,281,,135,,,2941,2941,,12/07 2:59,12/08 16:44,MJ,JNG,,B
2020-12-07,WA,,,,,,,,,,,,,3143000,,,,177447,,,177447,2965553,,1099,11544,274,,135,,,2925,2925,,12/06 2:59,12/07 17:29,HMH,MM,,B
2020-12-06,WA,,,,,,,,,,,,,3133845,,,,175793,,,175793,2958052,,1099,11475,274,,136,,,2925,2925,,12/04 2:59,12/06 17:07,YXC,KP,,B
2020-12-05,WA,,,,,,,,,,,,,3120146,,,,174290,,,174290,2945856,,1099,11273,274,,132,,,2925,2925,,12/04 2:59,12/05 16:39,DMO,LSW,,B
2020-12-04,WA,,,,,,,,,,,,,2894367,,,,172437,,,172437,2753107,,1097,11195,278,,137,,,2900,2900,,12/03 2:59,12/04 16:37,EEM,QN,,B
2020-12-03,WA,,,,,,,,,,,,,2894367,,,,170342,,,170342,2753107,,1083,10954,274,,135,,,2850,2850,,12/02 2:59,12/03 16:15,HAH,KVP,,B
