date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-01-04,ND,,,,43735,,,,,,13395,1442,11953,1256505,1327048,,,90096,3144,378913,93240,285673,,98,3576,15,528,,,90013,1319,,,01/04 1:59,01/04 15:56,KVP,MBM,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2021-01-03,ND,,,,42834,,,,,,13395,1442,11953,1254421,1324735,,,89955,3086,378534,93041,285494,,98,3570,16,527,,,89879,1317,,,01/03 1:59,01/03 16:00,RSG,SB,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2021-01-02,ND,,,,41922,,,,,,13395,1442,11953,1253895,1324176,,,89829,3062,378317,92891,285426,,92,3561,16,527,,,89582,1317,,,01/02 1:59,01/02 17:01,KVP,RSG,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2021-01-01,ND,,,,41599,,,,,,13395,1442,11953,1249797,1319669,,,89525,2970,376910,92495,285028,,94,3552,16,524,,,89314,1289,,,01/01 1:59,01/01 16:05,NEZ,KWS,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-31,ND,,,,38942,,,,,,13395,1442,11953,1244308,1313560,,,89525,2970,376910,92495,283253,,94,3552,16,524,,,89314,1289,,,12/31 1:59,12/31 16:35,RSG,ALF,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-30,ND,,,,36604,,,,,,13395,1442,11953,1233181,1301140,,,89299,2903,376035,92202,283834,,96,3542,15,521,,,89099,1289,,,12/30 1:59,12/30 16:50,RSG,CB-M,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-29,ND,,,,33487,,,,,,13395,1442,11953,1233204,1301140,,,89043,2788,375085,91831,286044,,115,3533,18,522,,,88854,1283,,,12/29 1:59,12/29 16:10,RSG,LSW,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-28,ND,,,,31170,,,,,,13395,1442,11953,1231724,1299585,,,88883,2676,374321,91559,285439,,108,3500,18,518,,,88411,1271,,,12/28 1:59,12/28 16:26,JAC,CB-M,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-27,ND,,,,30714,,,,,,13395,1442,11953,1229770,1297390,,,88804,2662,374048,91466,285245,,106,3495,17,516,,,88177,1271,,,12/27 1:59,12/27 16:02,JCF,SMBS,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
2020-12-26,ND,,,,29959,,,,,,13395,1442,11953,1228197,1295611,,,88719,2636,373854,91355,285135,,111,3485,21,516,,,87762,1271,,,12/26 1:59,12/26 15:58,RSG,KVP,PROCESS: Be super sure to follow the tooltips about calculating deaths values!,B
