date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-01-04,NJ,,,,,,,,,,,,,,7792714,,,494317,50831,,545148,7309853,,3633,48770,664,,476,,57168,19244,17223,2021,01/04 0:00,01/04 15:55,JCF,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2021-01-03,NJ,,,,,,,,,,,,,,7792714,,,492042,50748,,542790,7309853,,3521,48743,669,,462,,56873,19208,17187,2021,01/03 0:00,01/03 15:49,NEZ,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2021-01-02,NJ,,,,,,,,,,,,,,7792714,,,488372,50330,,538702,7309853,,3497,48636,678,,465,,56575,19187,17166,2021,01/02 0:00,01/02 15:56,HMH,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2021-01-01,NJ,,,,,,,,,,,,,,7792714,,,482861,50042,,532903,7309853,,3625,48572,693,,471,,56109,19160,17139,2021,01/01 0:00,01/01 16:10,NEZ,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2020-12-31,NJ,,,,,,,,,,,,,,7735775,,,477360,49625,,526985,7258415,,3716,47326,693,,462,,55670,19042,17021,2021,12/31 0:00,12/31 15:49,NEZ,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2020-12-30,NJ,,,,,,,,,,,,,,7693486,,,472264,49009,,521273,7225864,,3727,47090,701,,467,,55176,18952,16931,2021,12/30 0:00,12/30 15:57,CB-M,HMH,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2020-12-29,NJ,,,,,,,,,,,,,,7693486,,,467622,48421,,516043,7225864,,3765,46784,723,,473,,54739,18777,16832,1945,12/29 0:00,12/29 16:05,JCF,BSL,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2020-12-28,NJ,,,,,,,,,,,,,,7657518,,,463965,47671,,511636,7193553,,3619,46483,704,,499,,54437,18651,16706,1945,12/28 0:00,12/28 16:27,CB-M,JCF,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
2020-12-27,NJ,,,,,,,,,,,,,,7460365,,,461221,47102,,508323,7005463,,3469,46373,686,,487,,54149,18630,16685,1945,12/27 0:00,12/27 16:10,HMH,SMBS,"(RS 10/24) Tests not updated, carrying negs over
(RSG 10/17) case and mortalities tab is broken (tableau login issue) again. carried over cum hosp.
(ALF 10/11) Big numbers in dashboard cells for Curr Hosp, ICU, & Vent numbers did not match latest value from 10/10 on bar graph. I ruled we use the big numbers anyway and filed To Do. Could be we need to use bar graph instead.
(ALF 10/7) Kept the Probable Deaths number at 1787 as per Source Note but used the value 1788 from the Dashboard in the Total Deaths calculation.",A
