date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-01-11,VA,,,,778957,73676,,,,,194816,18887,,4621140,,416129,,332730,70656,,403386,4288410,403,3117,19182,571,,352,,33142,5393,4758,635,01/10 17:00,01/11 16:00,SAC,JAL,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-10,VA,,,,772466,70387,,,,,193731,18644,,4588152,,411465,,329185,69671,,398856,4258967,374,3060,19095,553,,348,,32998,5383,4749,634,01/09 17:00,01/10 16:12,SAC,KP,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-09,VA,,,,763167,70186,,,,,193186,18516,,4537960,,404268,,325517,68198,,393715,4212443,321,3032,19025,565,,348,,32833,5381,4748,633,01/08 17:00,01/09 16:04,LMB,BSL,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-08,VA,,,,761716,68458,,,,,191817,18259,,4500002,,398661,,321172,66745,,387917,4178830,298,2991,18918,547,,351,,32595,5312,4681,631,01/07 17:00,01/08 16:22,MAA,BAG,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-07,VA,,,,746104,66883,,,,,191056,18068,,4463768,,392694,,317123,65556,,382679,4146645,337,3000,18790,568,,366,,32368,5275,4646,629,01/06 17:00,01/07 16:23,NLK,BSL,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-06,VA,,,,734696,65180,,,,,190313,17863,,4428211,,386635,,313349,63951,,377300,4114862,307,2925,18636,537,,357,,32101,5226,4604,622,01/05 17:00,01/06 15:57,SAO,BSL,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-05,VA,,,,721628,63223,,,,,189835,17753,,4404641,,382344,,309659,62254,,371913,4094982,310,2918,18526,558,,337,,31735,5191,4572,619,01/04 17:00,01/05 16:17,SAO,JCF,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-04,VA,,,,700852,60888,,,,,189476,17687,,4383477,,378485,,306617,60919,,367536,4076860,332,2765,18387,563,,339,,31561,5132,4522,610,01/03 17:00,01/04 16:00,SAO,HMH,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
2021-01-03,VA,,,,695855,59684,,,,,189200,17625,,4365480,,375690,,303881,59884,,363765,4061599,306,2708,18310,557,,344,,31368,5124,4516,608,01/02 17:00,01/03 16:33,ELC,SB,"PROCESS: Hosp/ICU/Vent data from Hospital Dashboard under ""Other"" link

(10/10 KVP) Found note on dashboard saying that 689 cases reported on Thur 10/08 shb reported on Wed 10/07.",A+
