date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-01,PA,,,,,,,,,,,,,,9264604,,,736236,109842,4382884,846078,3646648,,3280,,,650,,420,,,693783,21687,,,02/01 12:00,02/01 16:17,JJH,MBM,PA's Other link may not update on weekends,A+
2021-01-31,PA,,,,,,,,,,,,,,9170731,,,733743,109481,4370894,843224,3637151,,3370,,,695,,428,,,688175,21661,,,01/31 12:00,01/31 16:30,LMB,HAH,PA's Other link may not update on weekends,A+
2021-01-30,PA,,,,,,,,,,,,,,9170731,,,730182,109057,4354310,839239,3624128,,3551,,,724,,451,,,688175,21602,,,01/30 12:00,01/30 16:30,KSB,RRS,PA's Other link may not update on weekends,A+
2021-01-29,PA,,,,,,,,,,,,,,9111939,,,726031,108017,4337397,834048,3611366,,3586,,,699,,425,,,675578,21462,,,01/29 12:00,01/29 15:59,GBS,BAG,PA's Other link may not update on weekends,A+
2021-01-28,PA,,,,,,,,,,,,,,9047771,,,722047,102358,4323012,824405,3600965,,3691,,,753,,435,,,667768,21303,,,01/28 12:00,01/28 16:38,GBS,JCF,PA's Other link may not update on weekends,A+
2021-01-27,PA,,,,,,,,,,,,,,8994398,,,718386,99983,4308570,818369,3590184,,3768,,,759,,447,,,654695,21105,,,01/26 12:00,01/27 16:35,LMR,LSW,PA's Other link may not update on weekends,A+
2021-01-26,PA,,,,,,,,,,,,,,8952343,,,714243,98252,4294094,812495,3579851,,3790,,,760,,436,,,641871,20883,,,01/26 12:00,01/26 15:51,GBS,BSL,PA's Other link may not update on weekends,A+
2021-01-25,PA,,,,,,,,,,,,,,8908714,,,710456,97411,4279896,807867,3569440,,3887,,,770,,461,,,638214,20664,,,01/25 12:00,01/25 16:07,GBS,JCF,PA's Other link may not update on weekends,A+
2021-01-24,PA,,,,,,,,,,,,,,8813497,,,707355,96578,4266019,803933,3558664,,3910,,,790,,492,,,631966,20609,,,01/24 12:00,01/24 16:37,MAA,ALF,PA's Other link may not update on weekends,A+
2021-01-23,PA,,,,,,,,,,,,,,8813497,,,703908,96049,4250818,799957,3546910,,3997,,,803,,479,,,631966,20526,,,01/23 12:00,01/23 16:02,GBS,BAG,PA's Other link may not update on weekends,A+
2021-01-22,PA,,,,,,,,,,,,,,8750938,,,699171,95001,4232932,794172,3533761,,4169,,,822,,507,,,627395,20321,,,01/22 12:00,01/22 16:10,DMO,HMH,PA's Other link may not update on weekends,A+
