date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-03,CT,,,,247035,,,,,,,,,,5866793,,,241353,15651,,257004,5625440,,874,12257,,,,,,,9800,7157,5839,1318,02/02 23:59,02/03 16:20,GBS,BSL,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-02,CT,,,,247035,,,,,,,,,,5854011,,,240938,15584,,256522,5613073,,900,12257,,,,,,,9800,7133,5822,1311,02/01 20:30,02/02 16:42,EFD,JAG,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-01,CT,,,,247035,,,,,,,,,,5795054,,,238535,15419,,253954,5556519,,912,12257,,,,,,,9800,7119,5806,1313,01/31 23:59,02/01 16:40,SKP,MBM,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-31,CT,,,,247035,,,,,,,,,,5693083,,,234814,15209,,250023,5458269,,985,12257,,,,,,,9800,7046,5741,1305,01/28 23:59,01/31 16:26,CEM,ALM,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-30,CT,,,,247035,,,,,,,,,,5693083,,,234814,15209,,250023,5458269,,985,12257,,,,,,,9800,7046,5741,1305,01/28 23:59,01/30 17:02,CEM,LSW,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-29,CT,,,,247035,,,,,,,,,,5693083,,,234814,15209,,250023,5458269,,985,12257,,,,,,,9800,7046,5741,1305,01/28 23:59,01/29 16:51,EFD,LSW,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-28,CT,,,,216653,,,,,,,,,,5658506,,,233661,15104,,248765,5424845,,995,12257,,,,,,,9800,7020,5718,1302,01/27 20:30,01/28 16:48,EPC,JAG,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-27,CT,,,,216653,,,,,,,,,,5618321,,,232354,14985,,247339,5385967,,1016,12257,,,,,,,9800,6976,5679,1297,01/26 20:30,01/27 16:39,ALM,LSW,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-26,CT,,,,216653,,,,,,,,,,5562847,,,230145,14754,,244899,5332432,,1068,12257,,,,,,,9800,6934,5638,1296,01/25 20:30,01/26 16:44,GBS,JAG,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-25,CT,,,,216653,,,,,,,,,,5528329,,,228977,14655,,243632,5299352,,1068,12257,,,,,,,9800,6911,5621,1290,01/24 20:30,01/25 16:43,LLB,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-01-24,CT,,,,216653,,,,,,,,,,5439307,,,223508,14307,,237815,5215799,,1058,12257,,,,,,,9800,6819,5545,1274,01/21 20:30,01/24 16:59,SKP,HAH,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-23,CT,,,,216653,,,,,,,,,,5439307,,,223508,14307,,237815,5215799,,1058,12257,,,,,,,9800,6819,5545,1274,01/21 20:30,01/23 16:20,GBS,BML,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-22,CT,,,,216653,,,,,,,,,,5439307,,,223508,14307,,237815,5215799,,1058,12257,,,,,,,9800,6819,5545,1274,01/21 20:30,01/22 16:59,CEM,BAG,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-21,CT,,,,216653,,,,,,,,,,5398349,,,221645,14151,,235796,5176704,,1069,12257,,,,,,,9800,6774,5511,1263,01/20 20:30,01/21 16:41,EEM,LSW,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-20,CT,,,,186893,,,,,,,,,,5359389,,,220121,14013,,234134,5139268,,1124,12257,,,,,,,9800,6726,5470,1256,01/19 20:30,01/20 16:21,JAC,BSL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-19,CT,,,,186893,,,,,,,,,,5328928,,,218760,13459,,232219,5110168,,1141,12257,,,,,,,9800,6682,5433,1249,01/18 20:30,01/19 16:50,KSB,JCF,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-18,CT,,,,186893,,,,,,,,,,5291895,,,216692,13433,,230125,5075203,,1114,12257,,,,,,,9800,6670,5355,1239,01/17 20:30,1/18 17:29,JXR,JAL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-17,CT,,,,186893,,,,,,,,,,4867707,,,210193,13229,,223422,4657514,,1098,12257,,,,,,,9800,6594,5355,1239,01/14 20:30,1/17 15:48,HMT,BSL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-16,CT,,,,186893,,,,,,,,,,4867707,,,210193,13229,,223422,4657514,,1098,12257,,,,,,,9800,6594,5355,1239,01/14 20:30,1/16 16:37,HAR,BSL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-15,CT,,,,186893,,,,,,,,,,4867707,,,210193,13229,,223422,4657514,,1098,12257,,,,,,,9800,6594,5355,1239,01/14 20:30,1/15 16:38,HRZ,JAL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-14,CT,,,,186893,,,,,,,,,,4837404,,,208489,13055,,221544,4628915,,1118,12257,,,,,,,9800,6553,5319,1234,01/13 20:30,1/14 16:26,EFD,NEZ,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-13,CT,,,,160761,,,,,,,,,,4815233,,,207740,12836,,220576,4607493,,1148,12257,,,,,,,9800,6536,5305,1231,01/12 20:30,1/13 17:03,GBS,LSW,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-12,CT,,,,160761,,,,,,,,,,4758633,,,204505,12542,,217047,4554128,,1154,12257,,,,,,,9800,6449,5236,1213,01/11 20:30,1/12 16:29,ANM,JAG,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-11,CT,,,,160761,,,,,,,,,,4724211,,,201124,12234,,213358,4523087,,1142,12257,,,,,,,9800,6416,5210,1206,01/10 20:30,01/11 16:38,KFA,JAL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-10,CT,,,,160761,,,,,,,,,,4607967,,,193991,12003,,205994,4413976,,1109,12257,,,,,,,9800,6324,5127,1197,01/07 20:30,01/10 16:04,SAC,KJZ,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-09,CT,,,,160761,,,,,,,,,,4607967,,,193991,12003,,205994,4413976,,1109,12257,,,,,,,9800,6324,5127,1197,01/07 20:30,01/09 0:00,MVO,BSL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-08,CT,,,,160761,,,,,,,,,,4607967,,,193991,12003,,205994,4413976,,1109,12257,,,,,,,9800,6324,5127,1197,01/07 20:30,01/08 16:44,SKP,JCF,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-07,CT,,,,160761,,,,,,,,,,4569705,,,190767,11991,,202758,4378938,,1087,12257,,,,,,,9800,6287,5096,1191,01/06 20:30,01/07 16:51,JCF,HAH,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-06,CT,,,,132291,,,,,,,,,,4517072,,,187749,11705,,199454,4329323,,1139,12257,,,,,,,9800,6230,5048,1182,01/05 20:30,01/06 16:45,JCF,JAG,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-05,CT,,,,132291,,,,,,,,,,4487992,,,185445,11523,,196968,4302547,,1149,12257,,,,,,,9800,6192,5017,1175,01/04 20:30,01/05 16:30,EFD,HMH,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-04,CT,,,,132291,,,,,,,,,,4457534,,,183310,11326,,194636,4274224,,1111,12257,,,,,,,9800,6168,4997,1171,01/03 20:30,01/04 16:45,LMB,MBM,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-03,CT,,,,132291,,,,,,,,,,4372190,,,178949,11171,,190120,4193241,,1056,12257,,,,,,,9800,6099,4937,1162,01/01 20:30,01/03 16:38,MBM,RSG,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-02,CT,,,,132291,,,,,,,,,,4372190,,,178949,11171,,190120,4193241,,1056,12257,,,,,,,9800,6099,4937,1162,01/01 20:30,01/02 16:36,NLK,JCF,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
2021-01-01,CT,,,,132291,,,,,,,,,,4309664,,,174679,11029,,185708,4134985,,1136,12257,,,,,,,9800,5995,4854,1141,12/30 20:30,01/01 15:43,EFD,BSL,"PROCESS: CT does not update on Saturdays or Sundays. To get to the daily data report, click on the CT link, and then click on “daily data report

(11/20 JAC) CT changed from a PDF to a webpage and did not post a breakdown of confirmed and probable deaths. We took that breakdown from the state's ""COVID-19 Tests, Cases, Hospitalizations, and Deaths (Statewide)"" dataset.",B
