date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-20,KS,,,,558292,,,,,,,,,,2403075,,,,,1238423,290832,947591,,290,9071,,82,2457,34,411,6206,6206,4614,,,02/19 10:00,02/20 15:58,SKP,KWS,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-19,KS,,,,558292,,,,,,,,,,2403075,,,,,1238423,290832,947591,,290,9071,,82,2457,34,411,6206,6206,4614,,,02/19 10:00,02/19 16:02,SKP,KVP,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-18,KS,,,,543223,,,,,,,,,,2382523,,,,,1229298,288717,940581,,300,9002,,68,2432,34,411,6137,6137,4521,,,02/17 10:00,02/18 16:00,MVO,JAG,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-17,KS,,,,543223,,,,,,,,,,2382523,,,,,1229298,288717,940581,,300,9002,,68,2432,34,411,6137,6137,4521,,,02/17 10:00,02/17 16:05,VVW,JCF,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-16,KS,,,,534602,,,,,,,,,,2364665,,,,,1224232,287450,936782,,279,8923,,77,2421,38,411,6087,6087,4406,,,02/15 10:00,02/16 15:53,SKP,HMH,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-15,KS,,,,534602,,,,,,,,,,2364665,,,,,1224232,287450,936782,,279,8923,,77,2421,38,411,6087,6087,4406,,,02/15 10:00,02/15 16:09,JXR,NEZ,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-14,KS,,,,527485,,,,,,,,,,2346453,,,,,1217589,286102,931487,,348,8887,,87,2413,42,411,6057,6057,4364,,,02/12 10:00,02/14 17:09,LXG,SMBS,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-13,KS,,,,527485,,,,,,,,,,2346453,,,,,1217589,286102,931487,,348,8887,,87,2413,42,411,6057,6057,4364,,,02/12 10:00,02/13 16:05,LXG,KWS,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-12,KS,,,,527485,,,,,,,,,,2346453,,,,,1217589,286102,931487,,348,8887,,87,2413,42,411,6057,6057,4364,,,02/12 10:00,02/12 16:10,GBS,BAG,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-11,KS,,,,,,,,,,,,,,2325356,,,,,1211493,284894,926599,,377,8840,,98,2401,41,411,6018,6018,4303,,,02/10 10:00,02/11 16:09,ANM,BSL,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-10,KS,,,,,,,,,,,,,,2325356,,,,,1211493,284894,926599,,377,8840,,98,2401,41,411,6018,6018,4303,,,02/10 10:00,02/10 16:08,JLS,KVP,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-09,KS,,,,,,,,,,,,,,2301447,,,,,1203759,282960,920799,,319,8749,,93,2373,39,411,5954,5954,4197,,,02/08 10:00,02/09 15:56,ANM,BSL,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-08,KS,,,,,,,,,,,,,,2301447,,,,,1203759,282960,920799,,319,8749,,93,2373,39,411,5954,5954,4197,,,02/08 10:00,02/08 15:59,HRZ,NEZ,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
2021-02-07,KS,,,,,,,,,,,,,,2282959,,,,,1197053,281562,915491,,526,8680,,129,2361,52,411,5912,5912,4101,,,02/05 10:00,02/07 16:14,GBS,PR,"PROCESS: 
1. KS only updates on M/W/F. It does not update on weekends.  
2. Cases include both confirmed and probable. No data for Positive Cases (PCR).",A+
