date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-20,IN,,,,,,,,,,,,,,7721658,745419,,,,3076245,654660,2421585,,923,42378,,172,7391,78,,,427682,12336,11912,424,02/19 23:59,02/20 16:07,SPA,BML,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-19,IN,,,,,,,,,,,,,,7683034,743777,,,,3069866,653245,2416621,,948,42333,,179,7383,88,,,427275,12325,11898,427,02/18 23:59,02/19 15:56,EFD,HMH,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-18,IN,,,,,,,,,,,,,,7650673,742550,,,,3065342,652210,2413132,,966,42246,,178,7372,90,,,426507,12281,11854,427,02/17 23:59,02/18 16:01,HAH,QN,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-17,IN,,,,,,,,,,,,,,7624956,741642,,,,3062008,651453,2410555,,955,42086,,193,7336,98,,,425451,12250,11825,425,02/16 23:59,02/17 15:57,HAH,ALF,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-16,IN,,,,,,,,,,,,,,7593841,740557,,,,3057498,650530,2406968,,1018,41840,,201,7312,107,,,424155,12231,11805,426,02/15 23:59,02/16 15:56,ANM,HMH,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-15,IN,,,,,,,,,,,,,,7573633,739554,,,,3053929,649652,2404277,,1066,41646,,200,7285,104,,,423216,12191,11765,426,02/14 23:59,02/15 16:08,SBH,BSL,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-14,IN,,,,,,,,,,,,,,7557530,738594,,,,3049828,648875,2400953,,1031,41604,,214,7283,108,,,422051,12173,11746,427,02/13 23:59,02/14 16:05,LDH,RRS,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-13,IN,,,,,,,,,,,,,,7516729,737120,,,,3043854,647657,2396197,,1079,41530,,211,7267,109,,,421850,12149,11722,427,02/12 23:59,02/13 16:22,SPA,HAH,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
2021-02-12,IN,,,,,,,,,,,,,,7470213,735665,,,,3036554,646425,2390129,,1178,41459,,227,7253,119,,,421304,12117,11690,427,02/11 23:59,02/12 15:55,SKP,HMH,"PROCESS: If the page is broken, IN posts pictures of the data every day on twitter(state media link). ",A+
