date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-20,CT,,,,324744,18150,306590,,,,,,,,6423343,,,256139,16962,,273101,6167204,,535,12257,,,,,,9800,9800,7523,6166,1357,02/18 23:59,02/20 16:17,SPA,BAG,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-19,CT,,,,324744,18150,306590,,,,,,,,6423343,,,256139,16962,,273101,6167204,,535,12257,,,,,,9800,9800,7523,6166,1357,02/18 23:59,02/19 16:29,EFD,LSW,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-18,CT,,,,321303,18068,303232,,,,,,,,6376947,,,254980,16923,,271903,6121967,,568,12257,,,,,,9800,9800,7496,6145,1351,02/17 23:59,02/18 16:29,HAH,ALM,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-17,CT,,,,319256,17961,301292,,,,,,,,6349932,,,254520,16836,,271356,6095412,,584,12257,,,,,,9800,9800,7476,6129,1347,02/16 23:59,02/17 16:30,SKP,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-16,CT,,,,309117,17701,291413,,,,,,,,6316124,,,254194,16628,,270822,6061930,,606,12257,,,,,,9800,9800,7449,6106,1343,02/15 23:59,02/16 16:33,KSB,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-15,CT,,,,306944,17641,289300,,,,,,,,6295639,,,253656,16586,,270242,6041983,,618,12257,,,,,,9800,9800,7447,6105,1342,02/14 23:59,02/15 16:27,JJH,HAH,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-14,CT,,,,299011,17354,281654,,,,,,,,6198123,,,250915,16422,,267337,5947208,,674,12257,,,,,,9800,9800,7381,6049,1332,02/11 23:59,02/14 16:32,RRS,HAH,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-13,CT,,,,299011,17354,281654,,,,,,,,6198123,,,250915,16422,,267337,5947208,,674,12257,,,,,,9800,9800,7381,6049,1332,02/11 23:59,02/13 16:10,GBS,HAH,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-12,CT,,,,299011,17354,281654,,,,,,,,6198123,,,250915,16422,,267337,5947208,,674,12257,,,,,,9800,9800,7381,6049,1332,02/11 23:59,02/12 16:30,SKP,HAH,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
