date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-20,CO,,,,,,,,,,389014,54082,332508,5987245,,,,397269,22543,2528072,419812,2130803,,437,23156,,,,,,,22270,5887,5159,728,02/20 1:59,02/20 17:52,KVP,BAG,,A
2021-02-19,CO,,,,,,,,,,386590,53491,330617,5960772,,,,396291,22404,2522901,418695,2126610,,451,23101,,,,,,,22202,5878,5148,730,02/19 1:59,02/19 17:59,BAG,KVP,,A
2021-02-18,CO,,,,,,,,,,384108,53202,329403,5926792,,,,395134,22281,2516358,417415,2121224,,462,23047,,,,,,,22163,5864,5135,729,02/18 1:59,02/18 18:02,JCF,KJZ,,A
2021-02-17,CO,,,,,,,,,,382605,52791,327849,5896201,,,,394032,22142,2510639,416174,2116607,,482,22922,,,,,,,22071,5838,5114,724,02/17 1:59,02/17 18:10,JCF,CB-M,,A
2021-02-16,CO,,,,,,,,,,380640,52311,326436,5869369,,,,393088,21949,2505587,415037,2112499,,441,22837,,,,,,,22017,5828,5108,720,02/16 1:59,02/16 18:08,JCF,KJZ,,A
2021-02-15,CO,,,,,,,,,,378747,52077,325347,5861313,,,,392591,21778,2503262,414369,2110671,,462,22812,,,,,,,21970,5826,5106,720,02/15 1:59,02/15 17:56,HAH,JCF,,A
2021-02-14,CO,,,,,,,,,,377424,51825,324201,5851957,,,,392092,21744,2499994,413836,2107902,,485,22797,,,,,,,21929,5824,5104,720,02/14 1:59,02/14 18:18,HAH,KP,,A
2021-02-13,CO,,,,,,,,,,376026,51235,322549,5829955,,,,391257,21726,2494870,412983,2103613,,481,22778,,,,,,,21895,5814,5094,720,02/13 1:59,02/13 18:16,KVP,BAG,,A
2021-02-12,CO,,,,,,,,,,373784,50461,320525,5799358,,,,390153,21261,2488609,411774,2098456,,470,22703,,,,,,,21816,5790,5071,719,02/12 1:59,02/12 18:03,KVP,BAG,,A
2021-02-11,CO,,,,,,,,,,370986,49359,317419,5756150,,,,388291,21392,2478316,409683,2090025,,507,22655,,,,,,,21766,5781,5063,718,02/11 1:59,02/11 18:11,JCF,QN,,A
2021-02-10,CO,,,,,,,,,,366778,49359,317419,5684631,,,,386723,21238,2462310,407961,2076197,,534,22616,,,,,,,21689,5770,5055,715,02/10 1:59,02/10 18:14,LSW,NEZ,,A
2021-02-09,CO,,,,,,,,,,366778,48994,315946,5684631,,,,386113,21097,2462310,407210,2076197,,538,22561,,,,,,,21611,5746,5031,715,02/09 1:59,02/09 18:17,P*K,MM,,A
2021-02-08,CO,,,,,,,,,,364940,48488,314239,5672214,,,,385384,20892,2458468,406276,2073084,,535,22329,,,,,,,21521,5733,5020,713,02/08 1:59,02/08 18:04,JCF,HAH,,A
2021-02-07,CO,,,,,,,,,,362727,46993,308913,5653529,,,,384545,20744,2452636,405289,2068091,,527,22306,,,,,,,21445,5731,5020,711,02/07 1:59,02/07 18:10,HAH,KP,,A
2021-02-06,CO,,,,,,,,,,360904,46993,308913,5628286,,,,383602,20653,2445999,404255,2062397,,538,22277,,,,,,,21426,5721,5010,711,02/06 1:59,02/05 17:58,KVP,BAG,,A
2021-02-05,CO,,,,,,,,,,358310,46993,308913,5594425,,,,382286,20428,2437626,402714,2055340,,564,22258,,,,,,,21345,5704,4994,710,02/05 1:59,02/05 18:06,KVP,BAG,,A
2021-02-04,CO,,,,,,,,,,355906,46365,306480,5551135,,,,380624,20227,2427143,400851,2046519,,595,22176,,,,,,,21260,5677,4970,707,02/04 1:59,2/04 18:08,JCF,JAG,,A
2021-02-03,CO,,,,,,,,,,352845,46020,305403,5514198,,,,379175,20092,2417653,399267,2038478,,572,22117,,,,,,,21207,5664,4957,707,02/03 1:59,2/03 17:59,JCF,LSW,,A
2021-02-02,CO,,,,,,,,,,351423,45740,304125,5482105,,,,378120,19878,2410027,397998,2031907,,599,21996,,,,,,,21127,5650,4942,708,02/02 1:59,2/02 18:08,JCF,HMH,,A
2021-02-01,CO,,,,,,,,,,349865,45552,303256,5467870,,,,377401,19662,2405879,397063,2028478,,611,21844,,,,,,,21043,5641,4932,709,02/01 1:59,2/01 18:02,JCF,HAH,,A
2021-01-31,CO,,,,,,,,,,348808,45018,301448,5452050,,,,374087,19334,2400563,396179,2011742,,652,21833,,,,,,,20970,5637,4882,712,01/31 1:59,1/31 18:35,HMH,CB-M,,A
2021-01-30,CO,,,,,,,,,,346466,44482,299753,5426059,,,,374087,19334,2393750,395016,2011742,,652,21812,,,,,,,20970,5616,4882,712,01/30 1:59,1/30 18:23,KVP,BAG,,A
2021-01-29,CO,,,,,,,,,,344235,43995,297809,5393734,,,,374087,19334,2385829,393421,2011742,,652,21744,,,,,,,20970,5594,4882,712,01/29 1:59,1/29 18:16,KVP,JAL,,A
2021-01-28,CO,,,,,,,,,,341804,43663,296319,5342864,,,,372504,19195,2375776,391699,2003272,,702,21713,,,,,,,20864,5569,4858,711,01/27 1:59,01/28 18:32,KJZ,QN,,A
2021-01-27,CO,,,,,,,,,,339982,42930,293625,5310316,,,,371210,19048,2368241,390258,1997031,,724,21610,,,,,,,20771,5552,4843,709,01/27 1:59,01/27 18:03,KVP,JCF,,A
2021-01-26,CO,,,,,,,,,,336555,42590,292231,5279863,,,,369780,18840,2361191,388620,1991411,,740,21562,,,,,,,20673,5517,4809,708,01/26 1:59,01/26 18:41,JCF,HMH,,A
