date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-20,AZ,,,,,,,,,,432949,,,,7396328,,,751951,54212,3683111,806163,2931160,,1650,56872,,517,,294,,114119,114119,15480,13674,1806,02/20 0:00,02/20 15:49,SKP,BAG,,A+
2021-02-19,AZ,,,,,,,,,,432012,,,,7351175,,,750069,54047,3668974,804116,2918905,,1738,56732,,563,,334,,113697,113697,15421,13628,1793,02/19 0:00,02/19 15:44,SKP,LSW,,A+
2021-02-18,AZ,,,,,,,,,,430690,,,,7306669,,,748327,53871,3655029,802198,2906702,,1823,56090,,566,,330,,113271,113271,15276,13510,1766,02/18 0:00,02/18 15:48,SKP,KJZ,,A+
2021-02-17,AZ,,,,,,,,,,430371,,,,7281277,,,747370,53685,3648606,801055,2901236,,1941,55983,,593,,354,,112868,112868,15063,13328,1735,02/17 0:00,02/17 15:43,SKP,LSW,,A+
2021-02-16,AZ,,,,,,,,,,429909,,,,7261560,,,746150,53590,3642794,799740,2896644,,2047,55865,,601,,383,,112430,112430,14981,13253,1728,02/16 0:00,02/16 15:43,SKP,JAG,,A+
2021-02-15,AZ,,,,,,,,,,429882,,,,7243068,,,745049,53559,3636676,798608,2891627,,2119,55777,,644,,397,,112062,112062,14978,13250,1728,02/15 0:00,02/15 15:53,KFA,JAL,,A+
2021-02-14,AZ,,,,,,,,,,429001,,,,7218703,,,743776,53494,3628163,797270,2884387,,2213,55667,,661,,399,,111649,111649,14978,13250,1728,02/14 0:00,02/14 17:02,JWD,SMBS,,A+
2021-02-13,AZ,,,,,,,,,,428010,,,,7179670,,,741966,53357,3616726,795323,2874760,,2300,55559,,701,,412,,111173,111173,14948,13229,1719,02/13 0:00,02/13 15:52,SKP,HAH,,A+
2021-02-12,AZ,,,,,,,,,,427041,,,,7140917,,,740314,53218,3605169,793532,2864855,,2396,55413,,705,,466,,110642,110642,14834,13128,1706,02/12 0:00,02/12 15:52,SKP,KVP,,A+
2021-02-11,AZ,,,,,,,,,,426189,,,,7105696,,,738128,52978,3593393,791106,2855265,,2507,55272,,719,,481,,110104,110104,14662,12983,1679,02/11 0:00,02/11 16:18,EEM,KJZ,,A+
2021-02-10,AZ,,,,,,,,,,425012,,,,7061776,,,736720,52525,3578215,789245,2841495,,2589,55088,,763,,508,,109543,109543,14462,12837,1625,02/10 0:00,02/10 15:44,SKP,LSW,,A+
2021-02-09,AZ,,,,,,,,,,424813,,,,7037126,,,735236,52032,3569766,787268,2834530,,2744,54967,,797,,524,,108965,108965,14286,12702,1584,02/09 0:00,02/09 15:48,EFD,JAG,,A+
2021-02-08,AZ,,,,,,,,,,423799,,,,6993662,,,731787,51100,3552101,782887,2820314,,2853,54713,,828,,536,,108495,108495,14055,12487,1568,02/08 0:00,02/08 15:47,SKP,JAL,,A+
2021-02-07,AZ,,,,,,,,,,423601,,,,6982148,,,730128,50509,3548393,780637,2818265,,2910,54657,,838,,561,,107979,107979,14048,12480,1568,02/07 0:00,02/07 15:48,SKP,HAH,,A+
2021-02-06,AZ,,,,,,,,,,421751,,,,6922180,,,728608,50485,3530097,779093,2801489,,3060,54507,,849,,561,,107304,107304,14011,12451,1560,02/06 0:00,02/06 15:52,SKP,KVP,,A+
2021-02-05,AZ,,,,,,,,,,421679,,,,6889120,,,725659,49963,3519585,775622,2793926,,3167,54309,,909,,573,,106698,106698,13948,12399,1549,02/05 0:00,02/05 15:46,SKP,JCF,,A+
2021-02-04,AZ,,,,,,,,,,420413,,,,6841912,,,722252,49544,3503880,771796,2781628,,3303,54091,,946,,618,,106058,106058,13752,12224,1528,02/04 0:00,2/04 15:42,SKP,HMH,,A+
2021-02-03,AZ,,,,,,,,,,419516,,,,6795188,,,718486,48893,3489351,767379,2770865,,3456,53432,,955,,646,,105379,105379,13576,12059,1517,02/03 0:00,2/03 15:39,SKP,HMH,,A+
2021-02-02,AZ,,,,,,,,,,418964,,,,6754669,,,716509,48574,3476921,765083,2760412,,3513,53149,,944,,671,,104681,104681,13362,11912,1450,02/02 0:00,2/02 15:58,EFD,MBM,,A+
2021-02-01,AZ,,,,,,,,,,418734,,,,6726250,,,713801,48344,3467337,762145,2753536,,3654,52986,,984,,662,,104102,104102,13124,11707,1417,02/01 0:00,2/01 15:46,AJN,HMH,,A+
2021-01-31,AZ,,,,,,,,,,418037,,,,6698752,,,710273,48131,3457316,758404,2747043,,3664,52764,,979,,663,,103439,103439,13120,11702,1418,01/31 0:00,1/31 15:55,PJS,NEZ,,A+
2021-01-30,AZ,,,,,,,,,,416806,,,,6643932,,,705664,47715,3440127,753379,2734463,,3828,52006,,984,,645,,102678,102678,13098,11682,1416,01/30 0:00,1/30 15:55,SPA,BAG,,A+
2021-01-29,AZ,,,,,,,,,,416081,,,,6589141,,,701026,47234,3423319,748260,2722293,,3970,51571,,1002,,678,,101891,101891,13022,11612,1410,01/29 0:00,1/29 16:01,EFD,LSW,,A+
2021-01-28,AZ,,,,,,,,,,415234,,,,6549568,,,696548,46684,3409395,743232,2712847,,4087,51349,,1023,,692,,101104,101104,12819,11440,1379,01/28 0:00,01/28 15:56,SKP,QN,,A+
2021-01-27,AZ,,,,,,,,,,414456,,,,6504407,,,692499,46062,3394642,738561,2702143,,4250,51037,,1024,,686,,100281,100281,12643,11292,1351,01/27 0:00,01/27 15:46,SKP,LSW,,A+
2021-01-26,AZ,,,,,,,,,,413431,,,,6462314,,,687756,44887,3379047,732643,2691291,,4221,50657,,1028,,687,,99529,99529,12448,11117,1331,01/26 0:00,01/26 15:56,SKP,JAG,,A+
2021-01-25,AZ,,,,,,,,,,413052,,,,6429799,,,683316,44579,3366193,727895,2682877,,4229,50483,,1027,,702,,98779,98779,12239,10942,1297,01/25 0:00,01/25 15:44,SKP,HAH,,A+
2021-01-24,AZ,,,,,,,,,,412340,,,,6385219,,,678475,44099,3350246,722574,2671771,,4320,50264,,1054,,720,,97960,97960,12238,10941,1297,01/24 0:00,01/24 15:50,SKP,HAH,,A+
2021-01-23,AZ,,,,,,,,,,409919,,,,6324445,,,672029,43328,3329195,715357,2657166,,4442,49963,,1049,,728,,97062,97062,12170,10879,1291,01/23 0:00,01/23 16:06,SPA,LSW,,A+
2021-01-22,AZ,,,,,,,,,,408936,,,,6269091,,,665506,42535,3308691,708041,2643185,,4495,49602,,1054,,739,,96193,96193,12001,10734,1267,01/22 0:00,01/22 15:46,SKP,LSW,,A+
2021-01-21,AZ,,,,,,,,,,407811,,,,6215572,,,658954,40988,3287300,699942,2628346,,4580,48604,,1058,,731,,95230,95230,11772,10543,1229,01/21 0:00,01/21 15:53,LLB,HMH,,A+
2021-01-20,AZ,,,,,,,,,,406778,,,,6145769,,,652191,38353,3255275,690544,2603084,,4663,48207,,1050,,778,,94237,94237,11528,10341,1187,01/20 0:00,01/20 15:48,SKP,KJZ,,A+
2021-01-19,AZ,,,,,,,,,,406440,,,,6101540,,,647703,37996,3237576,685699,2589873,,4780,47721,,1105,,797,,93289,93289,11266,10128,1138,01/19 0:00,01/19 15:40,SKP,HMH,,A+
2021-01-18,AZ,,,,,,,,,,405387,,,,6069199,,,641519,37763,3225405,679282,2583886,,4752,47195,,1097,,797,,92463,92463,11265,10125,1140,01/18 0:00,01/18 15:55,SKP,KJZ,,A+
2021-01-17,AZ,,,,,,,,,,404864,,,,6029520,,,636464,37418,3210821,673882,2574357,,4773,47081,,1118,,800,,91604,91604,11266,10124,1142,01/17 0:00,01/17 15:49,NMW,HAH,,A+
2021-01-16,AZ,,,,,,,,,,403762,,,,5969026,,,629995,36906,3193177,666901,2563182,,4849,46648,,1144,,821,,90640,90640,11248,10115,1133,01/16 0:00,01/16 15:51,PJS,LSW,,A+
2021-01-15,AZ,,,,,,,,,,402939,,,,5912271,,,621777,36409,3173905,658186,2552128,,4866,45665,,1138,,753,,89665,89665,11040,9931,1109,01/15 0:00,01/15 15:52,SKP,JAL,,A+
