date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-02-23,CT,,,,343598,19450,324141,,,,,,,,6198707,315104,5875715,258845,17846,,276691,5939862,,511,12257,,,,,,,,7572,6211,1361,02/22 23:59,02/23 16:41,KSB,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-22,CT,,,,330182,18301,311874,,,,,,,,6177475,314431,5855183,258293,17041,,275334,5919182,,500,12257,,,,,,,,7562,6202,1360,02/21 23:59,02/22 16:46,SKP,BSL,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-21,CT,,,,324744,18150,306590,,,,,,,,6096514,311736,5777127,256139,16962,,273101,5840375,,535,12257,,,,,,,,7523,6166,1357,02/18 23:59,02/21 16:03,LXG,RRS,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-20,CT,,,,324744,18150,306590,,,,,,,,6096514,311736,5777127,256139,16962,,273101,5840375,,535,12257,,,,,,,,7523,6166,1357,02/18 23:59,02/20 16:17,SPA,BAG,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-19,CT,,,,324744,18150,306590,,,,,,,,6096514,311736,5777127,256139,16962,,273101,5840375,,535,12257,,,,,,,,7523,6166,1357,02/18 23:59,02/19 16:29,EFD,LSW,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-18,CT,,,,321303,18068,303232,,,,,,,,6053550,310391,5735579,254980,16923,,271903,5798570,,568,12257,,,,,,,,7496,6145,1351,02/17 23:59,02/18 16:29,HAH,ALM,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-17,CT,,,,319256,17961,301292,,,,,,,,6028597,309814,5711235,254520,16836,,271356,5774077,,584,12257,,,,,,,,7476,6129,1347,02/16 23:59,02/17 16:30,SKP,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-16,CT,,,,309117,17701,291413,,,,,,,,6004931,309330,5688069,254194,16628,,270822,5750737,,606,12257,,,,,,,,7449,6106,1343,02/15 23:59,02/16 16:33,KSB,JCF,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
2021-02-15,CT,,,,306944,17641,289300,,,,,,,,5986619,308684,5670458,253656,16586,,270242,5732963,,618,12257,,,,,,,,7447,6105,1342,02/14 23:59,02/15 16:27,JJH,HAH,"PROCESS: CT does not update on Saturdays or Sundays. 

",B
