date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-03-01,NC,,,,766208,,,,,,,,,,9525274,,,752406,109764,,862170,9539076,,1319,,,333,,,,819839,,11254,9959,1295,03/01 13:10,03/01 15:42,NMW,JCF,,A
2021-02-28,NC,,,,759541,,,,,,,,,,9499985,,,749388,109160,,858548,9464473,,1414,,,348,,,,795521,,11212,9922,1290,02/27 12:00,02/28 16:01,SLS,CB-M,,A
2021-02-27,NC,,,,759541,,,,,,,,,,9463409,,,749388,109160,,858548,9464473,,1414,,,348,,,,795521,,11212,9922,1290,02/27 12:00,02/27 16:02,LLB,BAG,,A
2021-02-26,NC,,,,749095,,,,,,,,,,9422466,,,747385,108520,,855905,9403262,,1465,,,367,,,,795521,,11186,9897,1289,02/26 11:40,02/26 15:52,NLK,BAG,,A
2021-02-25,NC,,,,741362,,,,,,,,,,9361775,,,745214,107767,,852981,9346374,,1498,,,373,,,,795521,,11137,9856,1281,02/25 12:30,02/25 15:49,HGC,JCF,,A
2021-02-24,NC,,,,729784,,,,,,,,,,9310743,,,742766,106864,,849630,9287411,,1530,,,380,,,,795521,,11074,9804,1270,02/24 11:45,02/24 15:53,KFA,JAL,,A
2021-02-23,NC,,,,718636,,,,,,,,,,9283137,,,740772,105512,,846284,9249147,,1563,,,384,,,,795521,,10965,9718,1247,02/23 13:05,02/23 15:55,MMT,JCF,,A
2021-02-22,NC,,,,714035,,,,,,,,,,9262399,,,739768,105002,,844770,9224587,,1567,,,383,,,,795521,,10934,9691,1243,02/22 12:25,02/22 15:55,JXR,KVP,,A+
2021-02-21,NC,,,,710973,,,,,,,,,,9226700,,,737992,104645,,842637,9188586,,1647,,,402,,,,765456,,10926,9683,1243,02/21 11:10,02/21 16:17,HAR,HAH,,A+
