date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-03-03,ME,,,,217621,10764,206586,,,,15053,855,14186,,1653743,41962,1608641,35411,9680,,45091,1618332,,67,1545,,24,,8,,,12820,705,682,23,03/02 23:59,03/03 16:46,LNH,KVP,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-03-02,ME,,,,216084,10807,205008,,,,15026,844,14170,,1640500,41827,1595584,35311,9633,,44944,1605189,,69,1536,,25,,8,,,12811,703,680,23,03/01 23:59,03/02 16:59,JWD,LSW,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-03-01,ME,,,,212478,10699,201513,,,,15014,845,14157,,1631257,41755,1586808,35230,9532,,44762,1596027,,62,1529,,20,,8,,,12805,703,680,23,02/28 23:59,03/01 16:29,JJH,JCF,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-28,ME,,,,207154,10473,196418,,,,14947,815,14120,,1610419,41413,1566389,35158,9476,,44634,1575467,,72,1527,,24,,8,,,12800,703,681,22,02/27 23:59,02/28 16:50,PJS,CB-M,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-27,ME,,,,207154,10473,196418,,,,14947,815,14120,,1610419,41413,1566389,35058,9434,,44492,1575467,,74,1525,,24,,8,,,12798,702,680,22,02/26 23:59,02/27 16:47,SIM,BML,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-26,ME,,,,207154,10473,196418,,,,14947,815,14120,,1610419,41413,1566389,34952,9343,,44295,1575467,,68,1519,,23,,9,,,12794,701,679,22,02/25 23:59,02/26 16:13,SKP,BAG,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-25,ME,,,,205381,10342,194777,,,,14918,806,14100,,1597707,41245,1553912,34820,9297,,44117,1562887,,67,1521,,22,,8,,,12786,701,679,22,02/24 23:59,02/25 16:15,LMB,JAG,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-24,ME,,,,200818,10203,190362,,,,14905,805,14088,,1586230,41094,1542669,34723,9177,,43900,1551507,,74,1515,,25,,7,,,12779,677,658,19,02/23 23:59,02/24 16:16,SKP,KVP,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
2021-02-23,ME,,,,198522,10132,188137,,,,14884,796,14076,,1573457,40984,1530091,34634,9102,,43736,1538823,,67,1511,,25,,7,,,12772,660,645,15,02/22 23:59,02/23 16:35,MAA,JAG,"PROCESS: 
Maine will not be updating testing data on the weekends starting 10/1. Please carry over all testing values when they are not updated. Case data is reported on weekends and can be updated. Do not update calculated Negative Cases or People data when Total Tests have not updated.                                               ",A+
