date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-03-03,SD,,,,,,,,,,,,,,979828,,,100146,12687,424345,112833,311512,,97,6654,,16,,8,,,108947,1893,,,03/02 14:00,03/03 16:46,LSW,JCF,,A+
2021-03-02,SD,,,,,,,,,,,,,,974943,,,100014,12638,423463,112652,310811,,92,6640,,13,,10,,,108789,1888,,,03/01 14:00,03/02 16:16,LMB,NEZ,,A+
2021-03-01,SD,,,,,,,,,,,,,,972040,,,99873,12597,422817,112470,310347,,92,6632,,15,,7,,,108664,1888,,,02/28 14:00,03/01 15:56,JJH,HMH,,A+
2021-02-28,SD,,,,,,,,,,,,,,971321,,,99836,12591,422549,112427,310122,,89,6626,,15,,9,,,108606,1888,,,02/27 14:00,02/28 16:30,AXA,NEZ,,A+
2021-02-27,SD,,,,,,,,,,,,,,969950,,,99744,12549,422027,112293,309734,,91,6610,,22,,10,,,108497,1886,,,02/26 14:00,02/27 16:13,SPA,KVP,,A+
2021-02-26,SD,,,,,,,,,,,,,,966553,,,99603,12504,421288,112107,309181,,96,6591,,21,,8,,,108284,1879,,,02/25 14:00,02/26 15:50,SAO,KVP,,A+
2021-02-25,SD,,,,,,,,,,,,,,962939,,,99499,12465,420565,111964,308601,,100,6589,,20,,12,,,108144,1872,,,02/24 14:00,02/25 16:04,JJH,NEZ,,A+
2021-02-24,SD,,,,,,,,,,,,,,959404,,,99358,12450,419827,111808,308019,,102,6570,,17,,9,,,108053,1864,,,02/23 14:00,02/24 16:36,JJH,JCF,,A+
2021-02-23,SD,,,,,,,,,,,,,,954705,,,99175,12371,418787,111546,307241,,91,6548,,17,,10,,,107745,1863,,,02/22 14:00,02/23 16:03,MMT,CB-M,,A+
2021-02-22,SD,,,,,,,,,,,,,,950115,,,99006,12328,417904,111334,306570,,91,6537,,10,,7,,,107538,1863,,,02/21 14:00,02/22 16:48,JJH,NEZ,,A+
2021-02-21,SD,,,,,,,,,,,,,,949715,,,98986,12318,417775,111304,306471,,90,6524,,17,,9,,,107475,1863,,,02/20 14:00,02/21 16:27,SKP,HAH,,A+
2021-02-20,SD,,,,,,,,,,,,,,948761,,,98880,12285,417335,111165,306170,,95,6509,,17,,9,,,107309,1859,,,02/19 14:00,02/20 16:24,LXG,KWS,,A+
2021-02-19,SD,,,,,,,,,,,,,,945658,,,98775,12243,416542,111018,305524,,91,6492,,12,,9,,,107137,1853,,,02/18 14:00,02/19 16:18,SAO,HAH,,A+
2021-02-18,SD,,,,,,,,,,,,,,941657,,,98648,12223,415822,110871,304951,,92,6475,,10,,10,,,106956,1847,,,02/17 14:00,02/18 16:29,MVO,NEZ,,A+
2021-02-17,SD,,,,,,,,,,,,,,937860,,,98499,12186,414889,110685,304204,,94,6466,,11,,4,,,106769,1844,,,02/16 14:00,02/17 16:33,ALF,KVP,,A+
2021-02-16,SD,,,,,,,,,,,,,,935164,,,98407,12186,414511,110593,303918,,97,6461,,10,,16,,,106545,1844,,,02/15 14:00,02/16 16:16,JXR,JCF,,A+
2021-02-15,SD,,,,,,,,,,,,,,932429,,,98253,12123,413784,110376,303408,,86,6446,,12,,16,,,106440,1844,,,02/14 14:00,2/15 15:56,JJH,HAH,,A+
2021-02-14,SD,,,,,,,,,,,,,,931503,,,98208,12107,413448,110315,303133,,87,6438,,12,,16,,,106398,1844,,,02/13 14:00,2/14 16:27,LXG,SMBS,,A+
2021-02-13,SD,,,,,,,,,,,,,,929659,,,98106,12099,412848,110205,302643,,82,6431,,12,,13,,,106248,1838,,,02/12 14:00,2/13 15:52,CML,BML,,A+
2021-02-12,SD,,,,,,,,,,,,,,925541,,,98010,12058,412176,110068,302108,,84,6425,,13,,11,,,106057,1831,,,02/11 14:00,2/12 16:19,SKP,HAH,,A+
2021-02-11,SD,,,,,,,,,,,,,,922368,,,97852,12007,411305,109859,301446,,104,6411,,17,,6,,,105821,1829,,,02/10 14:00,2/11 16:39,HAH,NEZ,,A+
2021-02-10,SD,,,,,,,,,,,,,,903230,,,97672,11908,409641,109580,300061,,109,6397,,20,,12,,,105614,1815,,,02/09 14:00,2/10 16:17,KFA,NEZ,,A+
2021-02-09,SD,,,,,,,,,,,,,,897016,,,97556,11849,408377,109405,298972,,109,6387,,18,,13,,,105352,1809,,,02/08 14:00,2/09 16:04,SKP,JCF,,A+
2021-02-08,SD,,,,,,,,,,,,,,894240,,,97449,11834,407796,109283,298513,,112,6377,,19,,12,,,105166,1809,,,02/07 14:00,02/08 15:52,JJH,HAH,,A+
2021-02-07,SD,,,,,,,,,,,,,,893352,,,97406,11823,407463,109229,298234,,113,6370,,25,,15,,,105104,1809,,,02/06 14:00,02/07 16:12,PJS,RRS,,A+
2021-02-06,SD,,,,,,,,,,,,,,891682,,,97342,11790,406954,109132,297822,,115,6359,,25,,15,,,104956,1804,,,02/05 14:00,02/06 16:13,CML,KVP,,A+
2021-02-05,SD,,,,,,,,,,,,,,889018,,,97221,11723,406118,108944,297174,,121,6346,,27,,17,,,104716,1798,,,02/04 14:00,02/05 16:07,GBS,NEZ,,A+
2021-02-04,SD,,,,,,,,,,,,,,886079,,,97115,11698,405404,108813,296591,,126,6334,,23,,17,,,104508,1788,,,02/03 14:00,02/04 15:59,HGC,QN,,A+
2021-02-03,SD,,,,,,,,,,,,,,882942,,,96989,11650,404367,108639,295728,,133,6321,,25,,13,,,104305,1782,,,02/02 14:00,02/03 16:09,GBS,JCF,,A+
2021-02-02,SD,,,,,,,,,,,,,,879609,,,96847,11584,403407,108431,294976,,131,6304,,21,,17,,,104052,1779,,,02/01 14:00,02/02 16:28,LMB,MM,,A+
2021-02-01,SD,,,,,,,,,,,,,,877016,,,96735,11580,402883,108315,294568,,126,6294,,27,,20,,,103709,1778,,,01/31 14:00,02/01 16:41,JJH,JCF,,A+
2021-01-31,SD,,,,,,,,,,,,,,876143,,,96683,11567,402613,108250,294363,,125,6290,,25,,19,,,103639,1778,,,01/30 14:00,01/31 16:41,LMB,NEZ,,A+
2021-01-30,SD,,,,,,,,,,,,,,873776,,,96549,11521,401617,108070,293547,,145,6286,,35,,27,,,103401,1775,,,01/29 14:00,01/30 16:40,HRZ,BML,,A+
2021-01-29,SD,,,,,,,,,,,,,,871458,,,96460,11495,400824,107955,292869,,152,6272,,41,,28,,,103127,1768,,,01/28 14:00,01/29 16:33,SKP,LSW,,A+
2021-01-28,SD,,,,,,,,,,,,,,867916,,,96327,11468,400070,107795,292275,,161,6264,,38,,28,,,102895,1763,,,01/27 14:00,01/28 16:13,SKP,JCF,,A+
2021-01-27,SD,,,,,,,,,,,,,,864848,,,96190,11418,399210,107608,291602,,161,6242,,36,,25,,,102631,1739,,,01/26 14:00,01/27 16:34,MVO,KVP,,A+
2021-01-26,SD,,,,,,,,,,,,,,861134,,,96021,11359,398190,107380,290810,,152,6216,,40,,24,,,102247,1705,,,01/25 14:00,01/26 16:21,ANM,NEZ,,A+
2021-01-25,SD,,,,,,,,,,,,,,858297,,,95865,11315,397521,107180,290341,,161,6201,,37,,26,,,101797,1705,,,01/24 14:00,01/25 16:30,KSB,JCF,,A+
2021-01-24,SD,,,,,,,,,,,,,,857465,,,95841,11307,397239,107148,290091,,162,6193,,36,,27,,,101438,1705,,,01/23 14:00,01/24 16:34,HMT,HMH,,A+
2021-01-23,SD,,,,,,,,,,,,,,855949,,,95683,11280,396420,106963,289457,,172,6177,,42,,27,,,101246,1696,,,01/22 14:00,01/23 16:29,GBS,KVP,,A+
2021-01-22,SD,,,,,,,,,,,,,,852471,,,95473,11243,395477,106716,288761,,177,6159,,37,,25,,,100942,1684,,,01/21 14:00,01/22 16:31,DMO,HMH,,A+
2021-01-21,SD,,,,,,,,,,,,,,848541,,,95221,11179,394515,106400,288115,,185,6133,,38,,26,,,100638,1673,,,01/20 14:00,01/21 15:58,GBS,QN,,A+
2021-01-20,SD,,,,,,,,,,,,,,842111,,,94967,11096,393343,106063,287280,,195,6109,,41,,28,,,100293,1667,,,01/19 14:00,01/20 16:19,DMO,KVP,,A+
2021-01-19,SD,,,,,,,,,,,,,,838122,,,94764,11022,392325,105786,286539,,200,6092,,35,,27,,,99887,1667,,,01/18 14:00,01/19 16:21,LMB,NEZ,,A+
2021-01-18,SD,,,,,,,,,,,,,,836217,,,94652,11007,391864,105659,286205,,203,6082,,37,,30,,,99379,1667,,,01/17 14:00,01/18 16:44,GBS,JAL,,A+
2021-01-17,SD,,,,,,,,,,,,,,834487,,,94557,10987,391422,105544,285878,,213,6063,,45,,39,,,99226,1656,,,01/16 14:00,01/17 16:18,NMW,ALM,,A+
2021-01-16,SD,,,,,,,,,,,,,,831348,,,94366,10912,390520,105278,285242,,209,6039,,44,,33,,,98808,1633,,,01/15 14:00,01/16 16:34,GBS,HMH,,A+
2021-01-15,SD,,,,,,,,,,,,,,826852,,,94113,10824,389508,104937,284571,,227,6023,,53,,40,,,98576,1629,,,01/14 14:00,01/15 16:21,NMW,NEZ,,A+
2021-01-14,SD,,,,,,,,,,,,,,821580,,,93814,10698,388172,104512,283660,,247,5998,,56,,31,,,98170,1614,,,01/13 14:00,01/14 15:51,SAO,JAG,,A+
2021-01-13,SD,,,,,,,,,,,,,,816328,,,93580,10615,387299,104195,283104,,253,5978,,62,,33,,,97829,1604,,,01/12 14:00,01/13 16:33,KFA,KVP,,A+
2021-01-12,SD,,,,,,,,,,,,,,810847,,,93276,10467,385382,103743,281639,,240,5943,,57,,32,,,97407,1585,,,01/11 14:00,01/12 16:34,SAC,NEZ,,A+
2021-01-11,SD,,,,,,,,,,,,,,807349,,,93098,10401,384712,103499,281213,,242,5917,,49,,30,,,96812,1585,,,01/10 14:00,01/11 16:25,GBS,KVP,,A+
2021-01-10,SD,,,,,,,,,,,,,,805259,,,92967,10351,384161,103318,280843,,237,5904,,54,,31,,,96693,1585,,,01/09 14:00,01/10 16:03,NMW,KP,,A+
2021-01-09,SD,,,,,,,,,,,,,,801691,,,92726,10175,383093,102901,280192,,234,5871,,55,,30,,,96291,1570,,,01/08 14:00,01/09 16:36,GBS,KVP,,A+
2021-01-08,SD,,,,,,,,,,,,,,797245,,,92489,10091,381792,102580,279212,,247,5851,,59,,37,,,95783,1556,,,01/07 14:00,01/08 16:14,SAO,JAG,,A+
2021-01-07,SD,,,,,,,,,,,,,,787589,,,92166,9966,380234,102132,278102,,264,5829,,56,,36,,,94513,1544,,,01/06 14:00,01/07 17:07,MVO,HAH,,A+
2021-01-06,SD,,,,,,,,,,,,,,783608,,,91875,9809,379041,101684,277357,,264,5805,,56,,33,,,93778,1519,,,01/05 14:00,01/06 15:50,SAO,BSL,,A+
2021-01-05,SD,,,,,,,,,,,,,,779006,,,91455,9621,377362,101076,276286,,270,5764,,56,,35,,,93529,1513,,,01/04 14:00,01/05 16:20,SAO,LSW,,A+
2021-01-04,SD,,,,,,,,,,,,,,775626,,,91113,9530,376356,100643,275713,,268,5742,,55,,37,,,93099,1513,,,01/03 14:00,01/04 16:13,SAO,KVP,,A+
2021-01-03,SD,,,,,,,,,,,,,,773868,,,91027,9505,375955,100532,275423,,262,5732,,54,,33,,,93031,1513,,,01/02 14:00,01/03 16:46,SAO,SMBS,,A+
2021-01-02,SD,,,,,,,,,,,,,,767557,,,90544,9285,373946,99829,274117,,282,5702,,59,,40,,,92595,1501,,,01/01 14:00,01/02 16:04,KVP,BSL,,A+
2021-01-01,SD,,,,,,,,,,,,,,761203,,,90050,9114,372640,99164,273476,,297,5672,,62,,46,,,91980,1488,,,12/30 14:00,01/01 16:38,PJS,ALF,,A+
2020-12-31,SD,,,,,,,,,,,,,,761203,,,90050,9114,372640,99164,273476,,297,5672,,62,,46,,,91980,1488,,,12/30 14:00,12/31 16:37,SKP,KVP,,A+
2020-12-30,SD,,,,,,,,,,,,,,755685,,,89725,8995,371459,98720,272739,,293,5639,,57,,43,,,91527,1464,,,12/29 14:00,12/30 16:09,MHN,HMH,,A+
2020-12-29,SD,,,,,,,,,,,,,,751344,,,89314,8844,370159,98158,272001,,303,5605,,62,,44,,,90974,1446,,,12/28 14:00,12/29 16:03,SAO,SB,,A+
2020-12-28,SD,,,,,,,,,,,,,,747610,,,88894,8763,369269,97657,271612,,288,5583,,60,,35,,,89688,1446,,,12/27 14:00,12/28 16:14,SAO,JCF,,A+
2020-12-27,SD,,,,,,,,,,,,,,746448,,,88648,8742,368785,97390,271395,,274,5561,,62,,29,,,89249,1446,,,12/26 14:00,12/27 15:54,SAO,JCF,,A+
2020-12-26,SD,,,,,,,,,,,,,,743260,,,88297,8666,367781,96963,270818,,289,5533,,65,,41,,,88428,1446,,,12/25 14:00,12/26 15:53,SAO,KVP,,A+
2020-12-25,SD,,,,,,,,,,,,,,737756,,,88003,8543,366510,96546,269964,,312,5503,,68,,36,,,88018,1430,,,12/23 14:00,12/25 16:49,PJS,HAH,,A+
2020-12-24,SD,,,,,,,,,,,,,,737756,,,88003,8543,366510,96546,269964,,312,5503,,68,,36,,,88018,1430,,,12/23 14:00,12/24 16:05,KVP,BSL,,A+
2020-12-23,SD,,,,,,,,,,,,,,732239,,,87630,8410,365126,96040,269086,,337,5492,,70,,39,,,87337,1389,,,12/22 14:00,12/23 15:50,SAO,KVP,,A+
2020-12-22,SD,,,,,,,,,,,,,,725631,,,87252,8257,363598,95509,268089,,341,5461,,69,,38,,,86501,1381,,,12/21 14:00,12/22 16:02,SAO,LSW,,A+
2020-12-21,SD,,,,,,,,,,,,,,719491,,,86934,8140,362320,95074,267246,,344,5429,,70,,31,,,85320,1381,,,12/20 14:00,12/21 15:59,LMB,JCF,,A+
2020-12-20,SD,,,,,,,,,,,,,,716285,,,86631,8096,361285,94727,266558,,345,5411,,66,,36,,,85096,1361,,,12/19 14:00,12/20 16:56,KVP,LDH,,A+
2020-12-19,SD,,,,,,,,,,,,,,713178,,,86319,8017,360182,94336,265846,,365,5385,,72,,42,,,84490,1350,,,12/18 14:00,12/19 16:57,MAA,NEZ,,A+
2020-12-18,SD,,,,,,,,,,,,,,707698,,,85910,7862,358566,93772,264794,,387,5348,,73,,41,,,83670,1329,,,12/17 14:00,12/18 16:47,LMB,KVP,,A+
2020-12-17,SD,,,,,,,,,,,,,,702590,,,85474,7723,356916,93197,263719,,406,5317,,77,,41,,,83140,1301,,,12/16 14:00,12/17 15:53,SAO,LSW,,A+
2020-12-16,SD,,,,,,,,,,,,,,696690,,,84967,7636,355614,92603,263011,,412,5265,,81,,25,,,80316,1300,,,12/15 14:00,12/16 16:32,MDH,LSW,,A+
2020-12-15,SD,,,,,,,,,,,,,,688929,,,84290,7409,353282,91699,261583,,435,5242,,77,,41,,,78919,1261,,,12/14 14:00,12/15 16:06,ALM,HAH,,A+
2020-12-14,SD,,,,,,,,,,,,,,686766,,,83986,7368,352547,91354,261193,,441,5200,,83,,50,,,77472,1259,,,12/13 14:00,12/14 16:33,SAO,HAH,,A+
2020-12-13,SD,,,,,,,,,,,,,,683570,,,83714,7324,351856,91038,260818,,436,5174,,82,,53,,,77032,1259,,,12/12 14:00,12/13 16:40,PJS,SMBS,,A+
2020-12-12,SD,,,,,,,,,,,,,,679457,,,83225,7182,350215,90407,259808,,452,5125,,89,,58,,,76247,1243,,,12/11 14:00,12/12 16:21,SIM,BML,,A+
2020-12-11,SD,,,,,,,,,,,,,,673281,,,82606,7066,348369,89672,258697,,467,5086,,91,,55,,,72840,1210,,,12/10 14:00,12/11 17:07,SAO,KVP,,A+
2020-12-10,SD,,,,,,,,,,,,,,666037,,,81835,6892,346200,88727,257473,,491,5025,,92,,55,,,71316,1177,,,12/09 14:00,12/10 15:48,SAO,JCF,,A+
2020-12-09,SD,,,,,,,,,,,,,,659619,,,81280,6743,344472,88023,256449,,501,4974,,102,,56,,,70728,1147,,,12/08 14:00,12/09 16:00,SAO,JCF,,A+
2020-12-08,SD,,,,,,,,,,,,,,653277,,,80499,6539,342423,87038,255385,,491,4921,,94,,63,,,69144,1111,,,12/07 14:00,12/08 16:03,SAO,HAH,,A+
2020-12-07,SD,,,,,,,,,,,,,,647572,,,79994,6506,341195,86500,254695,,503,4872,,98,,62,,,68576,1110,,,12/06 14:00,12/07 15:58,SPA,HMH,,A+
2020-12-06,SD,,,,,,,,,,,,,,644627,,,79535,6456,339995,85991,254004,,497,4835,,111,,66,,,68449,1110,,,12/05 14:00,12/06 16:05,DMO,KP,,A+
2020-12-05,SD,,,,,,,,,,,,,,639797,,,78912,6392,338369,85304,253065,,512,4793,,110,,61,,,68011,1091,,,12/04 14:00,12/05 16:19,DMO,SB,,A+
2020-12-04,SD,,,,,,,,,,,,,,633656,,,78153,6245,336512,84398,252114,,516,4748,,111,,64,,,67409,1064,,,12/03 14:00,12/04 16:24,JJH,KVP,,A+
2020-12-03,SD,,,,,,,,,,,,,,627031,,,77261,6087,334697,83348,251349,,538,4696,,109,,63,,,66841,1033,,,12/02 14:00,12/03 15:57,LMB,KJZ,,A+
2020-12-02,SD,,,,,,,,,,,,,,620883,,,76438,5765,332540,82203,250337,,531,4626,,107,,63,,,66351,995,,,12/01 14:00,12/02 16:49,MVO,KJZ,,A+
2020-12-01,SD,,,,,,,,,,,,,,615534,,,75391,5521,330533,80912,249621,,547,4572,,106,,59,,,65876,948,,,11/30 14:00,12/01 16:39,JJH,LDH,,A+
2020-11-30,SD,,,,,,,,,,,,,,609900,,,74973,5491,328852,80464,248388,,546,4502,,100,,57,,,62334,946,,,11/29 14:00,11/30 16:12,JJH,BSL,,A+
2020-11-29,SD,,,,,,,,,,,,,,607007,,,74518,5382,327744,79900,247844,,544,4468,,91,,51,,,62027,943,,,11/28 14:00,11/29 16:16,NIK,JAC,,A+
2020-11-28,SD,,,,,,,,,,,,,,601521,,,73817,5282,325376,79099,246277,,539,4400,,95,,55,,,61051,942,,,11/27 14:00,11/28 15:53,LLB,BSL,,A+
2020-11-27,SD,,,,,,,,,,,,,,595909,,,73096,5184,323484,78280,245204,,569,4353,,104,,63,,,61010,888,,,11/26 14:00,11/27 16:06,EFD,BSL,,A+
2020-11-26,SD,,,,,,,,,,,,,,582944,,,71170,4972,318354,76142,242212,,570,4243,,101,,49,,,59981,849,,,11/24 14:00,11/26 17:07,KVP,JAC,,A+
2020-11-25,SD,,,,,,,,,,,,,,582944,,,71170,4972,318354,76142,242212,,570,4243,,101,,49,,,59981,849,,,11/24 14:00,11/25 16:00,SAO,KVP,,A+
2020-11-24,SD,,,,,,,,,,,,,,575235,,,70172,4687,315794,74859,240935,,574,4193,,104,,50,,,57381,821,,,11/23 14:00,11/24 16:57,SAO,KVP,,A+
2020-11-23,SD,,,,,,,,,,,,,,568701,,,69217,4631,313297,73848,239449,,582,4107,,101,,47,,,55679,819,,,11/22 14:00,11/23 17:11,SIM,JAL,,A+
2020-11-22,SD,,,,,,,,,,,,,,564357,,,68448,4617,311218,73065,238153,,577,4094,,97,,49,,,55349,819,,,11/21 14:00,11/22 16:09,DJW,SMBS,,A+
2020-11-21,SD,,,,,,,,,,,,,,557990,,,67715,4499,309170,72214,236956,,580,4052,,94,,49,,,54570,777,,,11/20 14:00,11/21 16:09,HAH,KVP,,A+
2020-11-20,SD,,,,,,,,,,,,,,552150,,,66704,4366,306869,71070,235799,,574,3993,,107,,56,,,51922,741,,,11/19 14:00,11/20 16:34,JJH,CB-M,,A+
2020-11-19,SD,,,,,,,,,,,,,,543777,,,65499,4243,303269,69742,233527,,578,3922,,95,,51,,,51153,705,,,11/18 14:00,11/19 16:41,GET,CB-M,,A+
2020-11-18,SD,,,,,,,,,,,,,,537485,,,64582,4089,300973,68671,232302,,593,3864,,97,,51,,,48757,674,,,11/17 14:00,11/18 16:08,GET,JAL,,A+
2020-11-17,SD,,,,,,,,,,,,,,530768,,,63491,3793,298359,67284,231075,,582,3769,,95,,47,,,48016,644,,,11/16 14:00,11/17 16:29,GET,CB-M,,A+
2020-11-16,SD,,,,,,,,,,,,,,522443,,,62521,3757,296147,66278,229869,,560,3698,,97,,48,,,47495,644,,,11/15 14:00,11/16 17:00,MSO,CB-M,,A+
2020-11-15,SD,,,,,,,,,,,,,,518158,,,61700,3681,294114,65381,228733,,553,3644,,100,,49,,,45377,644,,,11/14 14:00,11/15 17:24,SAO,SB,,A+
2020-11-14,SD,,,,,,,,,,,,,,512835,,,60600,3582,291823,64182,227641,,549,3598,,92,,45,,,44814,621,,,11/13 14:00,11/14 16:48,BMR,PK,,A+
2020-11-13,SD,,,,,,,,,,,,,,505724,,,58920,3407,288661,62327,226334,,556,3540,,102,,48,,,43132,568,,,11/12 14:00,11/13 17:05,EPC,JAC,,A+
2020-11-12,SD,,,,,,,,,,,,,,499140,,,57438,3278,286088,60716,225372,,551,3455,,97,,49,,,41427,567,,,11/11 14:00,11/12 16:07,KFA,CB-M,,A+
2020-11-11,SD,,,,,,,,,,,,,,492271,,,55705,2991,283120,58696,224424,,543,3389,,92,,50,,,40668,567,,,11/10 14:00,11/11 16:23,EFD,LSW,,A+
2020-11-10,SD,,,,,,,,,,,,,,485940,,,54503,2831,280699,57334,223365,,607,3277,,,,,,,40199,540,,,11/09 14:00,11/10 16:09,KSB,CB-M,,A
2020-11-09,SD,,,,,,,,,,,,,,479697,,,53486,2825,278803,56311,222492,,566,3227,,,,,,,39508,537,,,11/08 14:00,11/09 16:06,JCF,NEZ,,A
2020-11-08,SD,,,,,,,,,,,,,,475310,,,52603,2801,277035,55404,221631,,546,3184,,,,,,,39118,536,,,11/07 14:00,11/08 15:48,MBM,BSL,,A
2020-11-07,SD,,,,,,,,,,,,,,470404,,,51343,2633,274683,53976,220707,,515,3108,,,,,,,38403,523,,,11/06 14:00,11/07 15:47,KVP,BSL,,A
2020-11-06,SD,,,,,,,,,,,,,,465353,,,50248,2391,272190,52639,219551,,493,3023,,,,,,,37703,510,,,11/05 14:00,11/06 16:01,KVP,BSL,,A
2020-11-05,SD,,,,,,,,,,,,,,456340,,,48833,2318,269136,51151,217985,,475,2955,,,,,,,37059,482,,,11/04 14:00,11/05 16:43,BAG,LDH,,A
2020-11-04,SD,,,,,,,,,,,,,,450431,,,47653,2138,266796,49791,217005,,483,2873,,,,,,,35423,460,,,11/03 14:00,11/04 16:34,JAG,DZL,,A
2020-11-03,SD,,,,,,,,,,,,,,444246,,,46858,1996,265210,48854,216356,,480,2824,,,,,,,35041,446,,,11/02 14:00,11/03 16:49,MBM,JNG,,A
2020-11-02,SD,,,,,,,,,,,,,,440943,,,45932,1918,263127,47850,215287,,402,2755,,,,,,,34087,438,,,11/01 14:00,11/02 16:30,SNW,BSL,,A
2020-11-01,SD,,,,,,,,,,,,,,438311,,,45437,1887,262165,47324,214841,,421,2721,,,,,,,33749,437,,,10/31 14:00,11/01 16:44,SMBS,SB,,A
2020-10-31,SD,,,,,,,,,,,,,,432715,,,44216,1776,259532,45992,213540,,415,2683,,,,,,,31194,425,,,10/30 14:00,10/31 17:18,KVP,BHP,,A
2020-10-30,SD,,,,,,,,,,,,,,426219,,,42896,1663,256656,44559,212097,,403,2660,,,,,,,30624,415,,,10/29 14:00,10/30 15:55,SNW,LDH,,A
2020-10-29,SD,,,,,,,,,,,,,,419613,,,41507,1493,253514,43000,210514,,413,2602,,,,,,,30135,403,,,10/28 14:00,10/29 16:41,KFA,SB,,A
2020-10-28,SD,,,,,,,,,,,,,,415689,,,40589,1411,251296,42000,209296,,412,2545,,,,,,,29683,384,,,10/27 14:00,10/28 16:24,KSB,JNG,,A
2020-10-27,SD,,,,,,,,,,,,,,409446,,,39494,1236,249165,40730,208435,,395,2483,,,,,,,29167,375,,,10/26 14:00,10/27 16:14,KVP,BSL,,A
2020-10-26,SD,,,,,,,,,,,,,,405434,,,38504,1237,247094,39741,207353,,377,2453,,,,,,,28305,375,,,10/25 14:00,10/26 17:09,APP,LSW,,A
2020-10-25,SD,,,,,,,,,,,,,,401913,,,37979,1224,245930,39203,206727,,366,2436,,,,,,,28083,375,,,10/24 14:00,10/25 17:34,GET,SB,,A
2020-10-24,SD,,,,,,,,,,,,,,397274,,,36962,1179,243680,38141,205539,,356,2378,,,,,,,27557,366,,,10/23 14:00,10/24 16:21,KVP,JAC,,A
2020-10-23,SD,,,,,,,,,,,,,,391909,,,36109,1093,241002,37202,203800,,349,2336,,,,,,,26984,356,,,10/22 14:00,10/23 16:16,KVP,CML,,A
2020-10-22,SD,,,,,,,,,,,,,,385147,,,34977,1040,238446,36017,202429,,355,2277,,,,,,,26397,347,,,10/21 14:00,10/22 16:16,DAK,DZL,,A
2020-10-21,SD,,,,,,,,,,,,,,380661,,,34031,1013,236250,35044,201206,,332,2239,,,,,,,26023,333,,,10/20 14:00,10/21 17:26,KJZ,JNG,,#REF!
2020-10-20,SD,,,,,,,,,,,,,,375995,,,33466,991,234726,34457,200269,,329,2193,,,,,,,25686,330,,,10/19 14:00,10/20 16:30,BSL,JNG,,A
2020-10-19,SD,,,,,,,,,,,,,,367540,,,32904,932,232450,33836,198614,,304,2146,,,,,,,25125,323,,,10/18 14:00,10/19 17:28,AJC,NEZ,,A
2020-10-18,SD,,,,,,,,,,,,,,364409,,,32339,930,231047,33269,197778,,300,2119,,,,,,,24934,323,,,10/17 14:00,10/18 18:01,CB-M,KP,,A
2020-10-17,SD,,,,,,,,,,,,,,359987,,,31711,900,229204,32611,196593,,295,2077,,,,,,,24528,315,,,10/16 14:00,10/17 16:34,KVP,NEZ,,A
2020-10-16,SD,,,,,,,,,,,,,,354104,,,30940,865,226990,31805,195185,,299,2044,,,,,,,24186,307,,,10/15 14:00,10/16 16:28,LSW,BSL,,A
