date,state,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,negativeTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,negativeTestsAntigen,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestEncountersViral,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,probableCases,totalTestsPeopleViral,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,hospitalizedDischarged,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,hospitalizedDischarged,recovered,death,deathConfirmed,deathProbable,lastUpdateTime,dateChecked,checker,doubleChecker,privateNotes,dataQualityGrade
Date,State,Total Antigen Tests (People),Positive Antigen Tests (People),Negative Antigen Tests (People),Total Antigen Tests,Positive Antigen Tests,Negative Antigen Tests,Total Antibody Tests (People),Positive Antibody Tests (People),Negative Antibody Tests (People),Total Antibody Tests,Positive Antibody Tests,Negative Antibody Tests,Total Test Encounters (PCR),Total Tests (PCR),Positive Tests (PCR),Negative Tests (PCR),Positive Cases (PCR),Probable Cases,Total PCR Tests (People),Positive,Negative,Pending,Hospitalized – Currently,Hospitalized – Cumulative,Hospitalized – Discharged,In ICU – Currently,In ICU – Cumulative,On Ventilator – Currently,On Ventilator – Cumulative,Hospital Discharges,Recovered,Deaths,Deaths (confirmed),Deaths (probable),Last Update ET,Check time (ET),Checker,Doublechecker,Notes,Data Quality Grade
2021-03-05,MT,,,,,,,,,,,,,,1096913,,,95509,5147,,100656,1001404,,67,4610,,12,,7,,,97541,1379,,,03/05 1:59,03/05 15:47,VVW,RRS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-03-04,MT,,,,,,,,,,,,,,1091522,,,95413,5118,,100531,996109,,73,4608,,14,,7,,,97499,1375,,,03/04 1:59,03/04 15:38,GBS,HMH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-03-03,MT,,,,,,,,,,,,,,1086548,,,95256,5095,,100351,986306,,67,4600,,13,,7,,,97327,1373,,,03/03 1:59,03/03 15:52,SKP,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-03-02,MT,,,,,,,,,,,,,,1081562,,,95381,4777,,100158,986181,,83,4591,,20,,7,,,97199,1372,,,03/02 1:59,03/02 15:54,HGC,LSW,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-03-01,MT,,,,,,,,,,,,,,1079671,,,95472,4531,,100003,984199,,68,4584,,13,,6,,,97037,1357,,,03/01 1:59,03/01 15:40,JXR,BSL,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-28,MT,,,,,,,,,,,,,,1077988,,,95430,4524,,99954,982558,,68,4581,,13,,6,,,96982,1357,,,02/28 1:59,02/28 15:44,LXG,RRS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-27,MT,,,,,,,,,,,,,,1074437,,,95360,4477,,99837,979077,,68,4579,,13,,6,,,96724,1356,,,02/27 1:59,02/27 16:01,SIM,KWS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-26,MT,,,,,,,,,,,,,,1069964,,,95356,4089,,99613,974608,,76,4571,,14,,7,,,96362,1354,,,02/26 1:59,02/26 15:52,HRZ,LSW,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-25,MT,,,,,,,,,,,,,,1063419,,,95356,4089,,99445,968063,,75,4567,,15,,6,,,96178,1350,,,02/25 1:59,02/25 15:50,GBS,KJZ,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-24,MT,,,,,,,,,,,,,,1056170,,,95439,3803,,99242,960731,,97,4559,,18,,12,,,96040,1348,,,02/24 1:59,02/24 15:31,EEM,HMH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-23,MT,,,,,,,,,,,,,,1052733,,,95556,3484,,99040,957177,,85,4554,,21,,13,,,95772,1346,,,02/23 1:59,02/23 15:42,ANM,HMH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-22,MT,,,,,,,,,,,,,,1050392,,,95524,3286,,98810,954868,,78,4527,,18,,11,,,95299,1341,,,02/21 1:59,02/22 15:52,MXB,BSL,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-21,MT,,,,,,,,,,,,,,1048901,,,95500,3279,,98779,953401,,78,4522,,18,,11,,,95211,1342,,,02/21 1:59,02/21 15:42,LXG,RRS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-20,MT,,,,,,,,,,,,,,1045673,,,95400,3241,,98641,950273,,78,4517,,18,,11,,,94874,1341,,,02/20 1:59,02/20 15:45,LLB,BML,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-19,MT,,,,,,,,,,,,,,1040344,,,95274,3103,,98377,945070,,96,4506,,18,,12,,,94613,1339,,,02/19 1:59,02/19 15:54,SKP,KVP,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-18,MT,,,,,,,,,,,,,,1035440,,,95062,3038,,98100,940378,,109,4484,,19,,13,,,94201,1337,,,02/18 1:59,02/18 16:34,ALM,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-17,MT,,,,,,,,,,,,,,1029320,,,94892,3008,,97900,934428,,91,4477,,23,,14,,,94034,1334,,,02/17 1:59,2/17 15:46,HAH,LSW,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-16,MT,,,,,,,,,,,,,,1025367,,,94747,2919,,97666,930620,,96,4461,,26,,11,,,93669,1331,,,02/16 1:59,2/16 15:49,MAA,NEZ,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-15,MT,,,,,,,,,,,,,,1023984,,,94708,2831,,97539,929276,,92,4444,,24,,15,,,93476,1328,,,02/14 18:12,2/15 16:18,MXB,HAH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-14,MT,,,,,,,,,,,,,,1021061,,,94591,2810,,97401,926470,,92,4439,,24,,15,,,93328,1327,,,02/14 1:59,2/14 15:54,LXG,RRS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-13,MT,,,,,,,,,,,,,,1017979,,,94499,2798,,97297,923480,,92,4441,,24,,15,,,93148,1327,,,02/13 1:59,2/13 15:44,KSB,BML,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-12,MT,,,,,,,,,,,,,,1012245,,,94303,2760,,97063,917942,,100,4432,,23,,13,,,92822,1324,,,02/12 1:59,2/12 15:50,HRZ,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-11,MT,,,,,,,,,,,,,,1007629,,,94130,2712,,96842,913499,,111,4414,,25,,12,,,92497,1320,,,02/11 1:59,2/11 15:56,JWD,JAG,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-10,MT,,,,,,,,,,,,,,1001074,,,93921,2674,,96595,907153,,108,4400,,19,,11,,,92248,1320,,,02/10 1:59,02/10 15:45,HAH,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-09,MT,,,,,,,,,,,,,,997279,,,93658,2630,,96288,903621,,102,4374,,24,,14,,,91784,1315,,,02/09 1:59,02/09 15:45,MVO,JAG,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-08,MT,,,,,,,,,,,,,,992938,,,93352,2562,,95914,899586,,101,4356,,18,,10,,,91380,1314,,,02/08 1:59,02/02 15:41,KFA,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-07,MT,,,,,,,,,,,,,,988597,,,93246,2544,,95790,895351,,101,4353,,18,,10,,,91162,1314,,,02/07 1:59,02/07 15:50,RRS,LDH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-06,MT,,,,,,,,,,,,,,986635,,,93186,2531,,95717,893449,,107,4350,,18,,10,,,91060,1312,,,02/06 1:59,02/06 15:57,LXG,KWS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-05,MT,,,,,,,,,,,,,,981178,,,92956,2502,,95458,888222,,102,4341,,24,,14,,,90654,1307,,,02/05 1:59,02/05 15:52,EFD,LSW,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-04,MT,,,,,,,,,,,,,,974723,,,92644,2467,,95111,882079,,115,4327,,23,,13,,,90402,1308,,,02/04 1:59,02/04 15:51,KSB,JAG,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-03,MT,,,,,,,,,,,,,,968115,,,92398,2412,,94810,875717,,121,4307,,18,,13,,,90086,1303,,,02/03 1:59,02/03 15:50,DMO,KVP,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-02,MT,,,,,,,,,,,,,,960130,,,92062,2322,,94384,868068,,116,4273,,20,,13,,,89542,1249,,,02/02 1:59,02/02 15:59,JXR,MM,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-02-01,MT,,,,,,,,,,,,,,956718,,,91810,2260,,94070,864908,,108,4248,,20,,15,,,89218,1234,,,02/01 1:59,02/01 15:52,EPC,HAH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-01-31,MT,,,,,,,,,,,,,,954249,,,91710,2239,,93949,862539,,101,4245,,20,,15,,,89073,1233,,,01/31 1:59,01/31 16:19,SLS,KWS,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-01-30,MT,,,,,,,,,,,,,,950743,,,91545,2217,,93762,859198,,101,4246,,20,,15,,,88822,1232,,,01/30 1:59,01/30 15:54,KSB,KVP,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-01-29,MT,,,,,,,,,,,,,,942390,,,91133,2113,,93246,851257,,103,4217,,23,,17,,,88291,1227,,,01/29 1:59,01/29 15:49,CLC,JAL,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-01-28,MT,,,,,,,,,,,,,,936928,,,90895,2039,,92934,846033,,114,4203,,19,,15,,,87720,1210,,,01/28 1:59,01/28 16:13,ANM,QN,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A+
2021-01-27,MT,,,,,,,,,,,,,,927981,,,90553,1978,,92531,837428,,118,4177,,22,,15,,,87018,1201,,,01/27 1:59,01/27 15:57,EFD,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A
2021-01-26,MT,,,,,,,,,,,,,,922956,,,,,,92160,830796,,128,4141,,23,,16,,,86733,1185,,,01/26 1:59,01/26 15:38,LHS,JCF,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A
2021-01-25,MT,,,,,,,,,,,,,,920116,,,,,,91816,828300,,129,4128,,25,,15,,,86274,1151,,,01/25 1:59,01/25 15:51,KSB,HAH,PROCESS: Current ICU & Current Vent update Tuesday - Saturday. Carry over values on days they do not update,A
2021-01-24,MT,,,,,,,,,,,,,,911686,,,,,,91652,820034,,135,4125,,25,,15,,,85881,1151,,,01/24 1:59,01/24 15:53,CEM,HMH,,A
2021-01-23,MT,,,,,,,,,,,,,,906753,,,,,,91410,815343,,141,4112,,25,,15,,,85686,1141,,,01/23 1:59,01/23 15:50,HGC,RRS,,A
2021-01-22,MT,,,,,,,,,,,,,,899769,,,,,,91049,808720,,138,4081,,27,,14,,,85095,1104,,,01/22 1:59,01/22 15:51,SKP,NEZ,,A
2021-01-21,MT,,,,,,,,,,,,,,892770,,,,,,90649,802121,,137,4049,,26,,12,,,84708,1100,,,01/21 1:59,01/21 15:48,EPC,NEZ,,A
2021-01-20,MT,,,,,,,,,,,,,,887884,,,,,,90255,797629,,159,4022,,25,,13,,,84255,1094,,,01/20 1:59,01/20 15:40,AJC,KJZ,,A
