"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"AK",59332,18300,1499,,2447,12238,1508,4453,7130,11757,3197,29625,26510,305,127,9,,29,111,17,4,1,7,13,280,12,1293,423,45,,116,336,126,67,54,126,66,939,288,,,,,,,,,,,,,
20210303,"AK",59030,18188,1494,,2437,12212,1506,4445,7109,11639,3188,29540,26302,303,126,9,,29,111,17,4,1,6,12,280,11,1285,418,45,,116,335,126,67,53,125,66,935,284,,,,,,,,,,,,,
20210228,"AK",58293,17991,1481,,2396,12117,1493,4403,7033,11379,3165,29356,25772,290,122,9,,29,104,16,4,1,5,12,268,10,1277,415,45,,117,331,125,67,52,125,66,927,284,,,,,,,,,,,,,
20210224,"AK",57988,17891,1476,,2368,12079,1490,4389,7018,11277,3152,29261,25575,290,122,9,,29,104,16,4,1,5,12,268,10,1260,407,45,,117,327,123,67,52,122,65,916,279,,,,,,,,,,,,,
20210221,"AK",57405,17713,1470,,2331,11990,1479,4370,6962,11090,3126,29066,25213,289,121,9,,29,104,16,4,1,5,12,267,10,1243,400,46,,116,325,122,67,51,116,62,909,272,,,,,,,,,,,,,
20210217,"AK",56977,17572,1460,,2314,11922,1474,4347,6918,10970,3114,28896,24967,288,121,9,,29,104,16,4,1,4,12,267,9,1238,399,46,,116,324,122,67,51,113,62,907,269,,,,,,,,,,,,,
20210214,"AK",56410,17430,1452,,2249,11837,1467,4323,6855,10797,3098,28719,24593,282,117,9,,29,103,16,4,1,3,12,261,9,1230,397,46,,114,323,122,67,51,110,62,902,266,,,,,,,,,,,,,
20210210,"AK",56097,17353,1444,,2235,11767,1457,4298,6832,10711,3090,28600,24407,280,115,9,,29,103,16,4,1,3,12,259,9,1224,394,46,,114,322,122,67,51,108,62,899,263,,,,,,,,,,,,,
20210207,"AK",55259,17183,1430,,2195,11627,1444,4215,6746,10419,3056,28387,23816,279,114,9,,29,103,16,4,1,3,12,258,9,1219,392,46,,113,321,122,67,50,108,62,896,261,,,,,,,,,,,,,
20210203,"AK",54820,17073,1408,,2165,11512,1440,4187,6724,10311,3027,28228,23565,279,114,9,,29,103,16,4,1,3,12,258,9,1213,390,46,,112,320,121,68,50,106,62,893,258,,,,,,,,,,,,,
20210131,"AK",54351,16972,1402,,2148,11460,1437,4161,6688,10083,3019,28109,23223,262,105,9,,27,99,16,3,0,3,11,242,9,1205,390,46,,111,319,120,68,50,101,62,888,255,,,,,,,,,,,,,
20210127,"AK",53670,16832,1388,,2117,11252,1433,4117,6648,9883,3004,27847,22819,261,105,9,,27,99,16,2,0,3,11,242,8,1200,389,46,,112,318,120,67,49,99,61,886,253,,,,,,,,,,,,,
20210124,"AK",53315,16745,1380,,2104,11160,1430,4094,6617,9785,2989,27702,22624,259,105,9,,27,97,16,2,0,3,11,240,8,1185,383,46,,112,313,119,69,47,96,59,876,250,,,,,,,,,,,,,
20210120,"AK",52393,16536,1368,,2079,10871,1416,4043,6558,9522,2964,27370,22059,253,99,9,,27,95,16,2,0,5,11,232,10,1170,376,45,,110,309,120,69,46,95,58,864,248,,,,,,,,,,,,,
20210117,"AK",51938,16432,1362,,2060,10754,1410,4021,6514,9385,2946,27202,21790,229,87,9,,23,90,16,2,0,2,10,212,7,1153,369,45,,109,302,121,67,47,93,58,850,245,,,,,,,,,,,,,
20210113,"AK",50816,16186,1345,,2025,10422,1399,3965,6404,9070,2919,26813,21084,226,85,9,,22,89,15,4,0,2,9,211,6,1138,361,44,,106,297,119,71,47,93,57,837,244,,,,,,,,,,,,,
20210110,"AK",50218,16043,1335,,2014,10238,1397,3943,6371,8877,2907,26578,20733,224,83,9,,20,83,15,7,4,3,9,208,7,1101,352,41,,102,289,118,68,47,84,55,818,228,,,,,,,,,,,,,
20210106,"AK",48899,14990,1284,,1910,9794,1342,3828,6165,9586,2699,24428,21772,220,83,9,,20,80,15,7,4,2,9,205,6,1074,339,39,,99,277,117,68,45,90,52,785,237,,,,,,,,,,,,,
20210103,"AK",48098,14842,6083,,1887,9623,1322,3762,6083,9304,2686,24164,21248,215,80,9,,20,76,13,7,3,7,7,179,29,1033,328,38,,97,262,112,68,46,82,50,749,234,,,,,,,,,,,,,
20201230,"AK",46483,14623,1245,,1864,9093,1307,3629,5971,8751,2647,23815,20021,203,74,8,,20,73,12,5,3,8,6,169,28,1017,320,37,,96,260,111,64,45,84,49,736,232,,,,,,,,,,,,,
20201227,"AK",45781,14474,1241,,1846,8969,1302,3550,5863,8536,2626,23669,19486,200,73,8,,19,74,11,5,3,7,6,165,29,992,312,38,,90,256,109,63,45,79,47,719,226,,,,,,,,,,,,,
20201223,"AK",44828,14216,1218,,1806,8770,1275,3561,5748,8234,2601,23321,18906,197,72,8,,19,74,11,5,3,5,5,161,31,961,303,38,,81,250,106,64,42,77,45,698,218,,,,,,,,,,,,,
20201220,"AK",43871,13978,1202,,1771,8645,1258,3437,5577,8003,2570,22982,18319,184,66,7,,19,67,11,6,3,5,4,148,32,935,298,36,,81,239,105,62,41,73,45,680,210,,,,,,,,,,,,,
20201216,"AK",41041,13004,1115,,1687,8375,1205,3267,5256,7132,2337,21810,16894,181,62,7,,19,67,11,7,3,5,4,145,32,921,289,36,,77,241,102,63,40,73,44,669,208,,,,,,,,,,,,,
20201213,"AK",41143,12050,1091,,1539,8025,1141,2993,5062,9242,2169,18990,19984,176,61,7,,18,65,11,6,3,5,4,140,32,886,267,34,,71,234,97,59,38,86,40,612,234,,,,,,,,,,,,,
20201209,"AK",38707,11438,1039,,1430,7631,1109,2748,4717,8595,2072,18210,18425,150,53,6,,14,55,10,6,3,3,4,121,25,847,257,33,,65,224,93,57,36,82,38,587,222,,,,,,,,,,,,,
20201206,"AK",37036,11070,1004,,1353,7323,1083,2605,4477,8121,1864,17628,17544,143,50,6,,13,54,9,6,3,2,1,118,24,799,239,33,,59,216,87,56,32,77,25,563,211,,,,,,,,,,,,,
20201202,"AK",33797,10472,969,,1246,6939,1037,2194,3598,7342,1799,16863,15135,122,41,5,,9,44,9,3,2,9,1,95,26,768,228,31,,51,208,87,51,32,80,24,541,203,,,,,,,,,,,,,
20201129,"AK",32065,10211,957,,1212,6733,1019,2017,2926,6990,1782,16477,13806,121,40,5,,9,44,9,3,2,9,1,94,26,722,212,30,,45,205,83,47,25,75,23,519,180,,,,,,,,,,,,,
20201125,"AK",29543,9827,936,,1185,6325,983,1758,2146,6383,1845,15850,11848,116,38,4,,9,41,9,4,2,9,2,91,23,663,194,30,,41,196,75,43,23,61,34,485,144,,,,,,,,,,,,,
20201122,"AK",27773,9378,908,,1129,5929,948,1661,2006,5814,1803,15207,10763,103,37,4,,8,31,9,4,2,8,1,86,16,612,185,30,,38,173,73,38,23,52,33,454,125,,,,,,,,,,,,,
20201118,"AK",25588,8751,857,,1077,5568,905,1515,1824,5091,1721,14421,9446,100,36,4,,8,31,9,4,2,6,1,85,14,584,175,30,,35,166,72,36,22,48,32,439,113,,,,,,,,,,,,,
20201115,"AK",23814,6581,697,,823,5029,727,1301,1479,7177,1294,9974,12546,98,32,4,,8,31,9,4,2,8,1,81,16,550,146,29,,33,157,65,31,22,67,28,376,146,,,,,,,,,,,,,
20201111,"AK",21331,5997,644,,772,4659,691,1168,1223,6177,1221,9235,10875,96,32,4,,8,31,9,4,1,7,1,80,15,523,138,28,,32,150,64,27,21,63,26,360,137,,,,,,,,,,,,,
20201108,"AK",19826,5655,618,,741,4293,668,1051,1085,5715,1183,8706,9937,84,31,3,,8,27,7,3,1,4,1,71,12,491,129,24,,30,142,63,26,19,58,24,343,124,,,,,,,,,,,,,
20201104,"AK",17860,5268,602,,708,3837,642,900,845,5058,1122,8188,8550,84,31,3,,8,27,7,3,1,4,1,71,12,463,118,22,,29,141,61,26,15,51,21,330,112,,,,,,,,,,,,,
20201101,"AK",16705,5063,574,,680,3555,623,833,778,4599,1089,7914,7702,83,31,3,,8,27,7,2,1,4,1,69,13,448,114,21,,29,137,61,23,15,48,20,323,105,,,,,,,,,,,,,
20201028,"AK",15155,4738,549,,647,3262,598,734,615,4012,1042,7616,6497,71,25,3,,7,24,7,1,1,3,1,61,9,420,105,20,,28,131,58,21,14,43,19,308,93,,,,,,,,,,,,,
20201025,"AK",14064,4547,532,,627,3071,579,662,531,3515,1023,7371,5670,68,25,3,,7,24,7,0,0,2,1,61,6,398,97,18,,29,124,57,17,13,43,19,296,83,,,,,,,,,,,,,
20201021,"AK",12644,4280,516,,586,2673,552,573,474,2990,986,7034,4624,68,25,3,,7,24,7,0,0,2,1,61,6,382,95,16,,28,121,55,15,12,40,19,287,76,,,,,,,,,,,,,
20201018,"AK",12016,4072,493,,548,2519,526,522,452,2884,964,6654,4398,67,25,3,,7,24,7,0,0,1,1,61,5,368,91,15,,26,116,55,14,12,39,19,275,74,,,,,,,,,,,,,
20201014,"AK",11183,3769,469,,488,2340,498,442,419,2758,923,6173,4087,64,24,2,,6,23,7,0,0,2,1,53,10,345,90,12,,24,108,53,13,11,34,19,263,63,,,,,,,,,,,,,
20201011,"AK",10686,3590,454,,467,2218,489,422,404,2642,904,5920,3862,60,24,2,,5,21,7,0,0,1,1,52,7,330,88,10,,24,102,52,12,11,31,19,255,56,,,,,,,,,,,,,
20201007,"AK",9861,3393,436,,436,2028,475,393,372,2328,883,5633,3345,59,24,2,,4,21,7,0,0,1,1,52,6,316,87,9,,22,98,51,11,11,27,19,248,49,,,,,,,,,,,,,
20201004,"AK",9376,3198,422,,411,1882,446,370,352,2295,832,5290,3254,58,23,2,,4,21,7,0,0,1,1,51,6,306,84,8,,21,93,51,11,11,27,19,238,49,,,,,,,,,,,,,
20200930,"AK",8780,2833,388,,338,1679,389,351,317,2485,731,4590,3459,56,23,2,,4,19,7,0,0,1,1,50,5,299,83,8,,18,93,50,12,11,24,16,231,52,,,,,,,,,,,,,
20200927,"AK",8431,2285,337,,249,1475,324,335,291,3135,578,3583,4270,56,23,2,,4,19,7,0,0,1,1,50,5,289,76,8,,17,89,45,10,11,33,15,210,64,,,,,,,,,,,,,
20200923,"AK",7941,1865,280,,198,1310,269,275,245,3499,435,2886,4620,45,18,1,,3,16,5,0,0,2,1,40,4,276,75,8,,16,84,43,6,8,36,14,198,64,,,,,,,,,,,,,
20200920,"AK",7767,1713,264,,177,1214,264,248,239,3648,410,2584,4773,45,18,1,,3,16,5,0,0,2,1,40,4,268,73,8,,15,79,43,5,7,38,13,189,18,,,,,,,,,,,,,
20200916,"AK",7365,1647,247,,168,1124,253,228,220,3478,396,2498,4471,44,18,0,,3,16,5,0,0,2,1,40,3,256,72,8,,15,70,43,4,7,37,13,184,15,,,,,,,,,,,,,
20200913,"AK",7193,1618,245,,166,1076,242,216,218,3412,388,2441,4364,44,18,0,,3,16,5,0,0,2,1,40,3,252,72,8,,13,69,43,4,7,36,13,182,15,,,,,,,,,,,,,
20200909,"AK",6790,1549,230,,158,989,235,203,208,3218,376,2349,4065,42,18,0,,3,14,5,0,0,2,1,39,2,245,71,7,,13,65,42,4,7,36,13,176,14,,,,,,,,,,,,,
20200906,"AK",6656,1522,227,,155,947,234,192,201,3178,372,2309,3975,42,18,0,,3,14,5,0,0,2,1,39,2,237,70,7,,12,61,42,3,7,35,13,172,13,,,,,,,,,,,,,
20200902,"AK",6233,1446,213,,147,845,223,175,185,2999,362,2192,3679,39,16,0,,3,14,5,0,0,1,0,38,1,230,70,7,,12,56,42,4,7,32,13,171,12,,,,,,,,,,,,,
20200830,"AK",6086,1425,209,,145,816,219,171,181,2920,357,2162,3567,37,15,0,,3,13,5,0,0,1,0,36,1,220,69,6,,12,52,41,3,7,30,13,166,11,,,,,,,,,,,,,
20200826,"AK",5719,1360,200,,140,725,205,158,167,2764,346,2030,3343,37,15,0,,3,13,5,0,0,1,0,36,1,211,69,6,,12,48,38,2,6,30,13,155,11,,,,,,,,,,,,,
20200823,"AK",5558,1335,194,,135,696,201,152,164,2681,340,1982,3236,32,13,0,,2,10,4,0,0,3,0,29,3,201,63,6,,12,44,33,2,6,35,10,141,11,,,,,,,,,,,,,
20200819,"AK",5247,1096,154,,114,640,186,134,117,2806,237,1705,3305,29,12,0,,2,10,4,0,0,1,0,28,1,188,62,6,,12,43,33,1,6,25,10,139,10,,,,,,,,,,,,,
20200816,"AK",5060,1055,148,,113,597,177,124,111,2735,229,1625,3206,28,12,0,,2,10,4,0,0,0,0,28,0,178,59,6,,12,42,31,1,6,21,10,135,8,,,,,,,,,,,,,
20200812,"AK",4655,1015,120,,105,520,166,110,92,2527,203,1517,2935,27,11,0,,2,10,4,0,0,0,0,27,0,168,56,6,,12,39,29,1,5,20,9,128,8,,,,,,,,,,,,,
20200809,"AK",4473,988,117,,103,488,149,107,91,2430,198,1461,2814,26,11,0,,2,9,4,0,0,0,0,26,0,152,53,4,,12,37,26,0,5,15,8,119,6,,,,,,,,,,,,,
