"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"AL",499819,160347,82790,,2273,,,,38000,216409,12312,167064,320443,10148,4730,2223,,24,,,,300,2871,137,6083,3928,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"AL",497154,159154,82171,,2248,,,,37912,215669,12245,165460,319449,10029,4674,2193,,24,,,,298,2840,135,6002,3892,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"AL",493252,158420,81782,,2237,,,,37809,213004,12206,164533,316513,9929,4625,2168,,24,,,,294,2818,134,5938,3857,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"AL",490220,157043,81137,,2224,,,,37660,212156,12129,162952,315139,9744,4531,2134,,23,,,,287,2769,130,5835,3779,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"AL",486843,154388,79834,,2172,,,,37418,213031,12010,159737,315096,9592,4343,2044,,22,,,,277,2906,130,5589,3873,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"AL",483167,154388,79834,,2172,,,,37418,209355,12010,159737,311420,9346,4343,2044,,22,,,,277,2660,130,5589,3627,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"AL",480931,153486,79442,,2160,,,,37321,208522,11968,158684,310279,9242,4297,2022,,22,,,,276,2625,130,5528,3584,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"AL",476067,151607,78493,,2129,,,,37061,206777,11881,156427,307759,8888,4241,2020,,19,,,,264,2344,126,5339,3423,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"AL",472423,150262,77839,,2077,,,,36879,205366,11837,154916,305670,8515,4076,1961,,19,,,,248,2211,125,5144,3246,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"AL",465056,147937,76749,,2049,,,,36472,201849,11706,152473,300877,8203,3839,1854,,18,,,,238,2254,124,4975,3104,,,,,,,,,,,,,,,,,,,,,,,,,,
