"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,45,,197,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,330,,45,,197,,,,,,,,44,,,,
20200528,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,50,,230,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,372,,50,,230,,,,,,,,54,,,,
20200604,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,,64,,287,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,424,,64,,287,,,,,,,,59,,,,
20200611,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,,68,,283,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,502,,68,,283,,,,,,,,73,,,,
20200618,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,,79,,368,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,543,,79,,368,,,,,,,,73,,,,
20200625,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638,,91,,430,,1,,,,,,98,,,,,,,,,,,,,,,,,,,,,,638,,91,,430,,1,,,,,,98,,,,
20200702,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751,,107,,490,,1,,,,,,114,,,,,,,,,,,,,,,,,,,,,,751,,107,,490,,1,,,,,,114,,,,
20200709,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,,120,,564,,1,,,,,,126,,,,,,,,,,,,,,,,,,,,,,879,,120,,564,,1,,,,,,126,,,,
20200716,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923,,132,,658,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,923,,132,,658,,1,,,,,,135,,,,
20200723,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,147,,742,,1,,,,,,140,,,,,,,,,,,,,,,,,,,,,,1076,,147,,742,,1,,,,,,140,,,,
20200730,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266,,159,,902,,1,,,,,,155,,,,,,,,,,,,,,,,,,,,,,1266,,159,,902,,1,,,,,,155,,,,
20200806,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,,182,,961,,2,,,,,,157,,,,,,,,,,,,,,,,,,,,,,1425,,182,,961,,2,,,,,,157,,,,
20200813,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627,,182,,1109,,2,,,,,,164,,,,,,,,,,,,,,,,,,,,,,1627,,182,,1109,,2,,,,,,164,,,,
20200820,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794,,182,,1227,,2,,,,,,174,,,,,,,,,,,,,,,,,,,,,,1794,,182,,1227,,2,,,,,,174,,,,
20200827,"AR",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051,,226,,1340,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,2051,,226,,1340,,,,,,,,181,,,,
