"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"AR",324818,207596,50842,,2913,1070,3358,1804,16491,40744,34332,290486,0,5319,4171,784,,36,18,56,13,203,38,186,5133,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"AR",323353,206422,50642,,2900,1061,3351,1802,16371,40804,34179,289174,0,5261,4126,778,,36,18,56,13,200,34,178,5083,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"AR",322415,205690,50508,,2887,1055,3349,1797,16322,40807,34096,288319,0,5243,4113,773,,36,18,55,13,199,36,178,5065,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"AR",317396,203622,50017,,2851,1028,3341,1791,16100,38646,33915,283481,0,5387,4207,806,,36,19,55,13,206,45,183,5204,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"AR",315514,202390,49787,,2817,1019,3334,1788,15955,38424,33789,281725,0,5357,4188,799,,36,17,55,13,200,49,182,5175,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"AR",314192,201093,49574,,2800,1012,3330,1780,15838,38765,33662,280530,0,5313,3926,750,,34,11,53,13,202,324,180,5133,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"AR",313028,199940,49380,,2775,1008,3326,1775,15726,39098,33552,279476,0,5265,3883,742,,34,11,53,13,199,330,179,5086,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"AR",309940,198051,48970,,2789,958,3409,1859,15497,38407,33163,276776,1,5174,3802,725,,34,11,53,13,195,341,176,4998,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"AR",306736,195697,48464,,2760,946,3374,1840,15336,38319,33127,273608,1,5076,3737,707,,32,10,53,13,188,336,168,4908,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"AR",300430,191674,47467,,2703,931,3304,1802,15021,37528,32746,267683,1,4985,3666,694,,32,10,53,13,183,334,165,4820,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"AR",295268,188972,46652,,2657,908,3248,1772,15059,36000,32479,262789,0,4868,3588,675,,30,10,53,13,175,324,161,4707,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"AR",288964,184648,45656,,2601,882,3179,1734,14737,35527,31786,257178,0,4742,3488,660,,30,8,53,13,171,319,156,4586,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"AR",284066,181518,44882,,2557,860,3125,1704,14487,34933,31531,252535,0,4606,3381,649,,29,8,53,13,169,304,157,4449,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"AR",276114,176713,43902,,2485,831,3313,1657,14082,33131,30925,245189,0,4441,3282,632,,29,8,52,13,162,263,151,4290,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"AR",271154,173267,43113,,2440,805,3254,1627,13829,32819,30369,240785,0,4311,3190,618,,27,8,51,13,157,247,151,4160,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"AR",262020,167693,41661,,2358,774,3144,1572,13363,31455,29608,232412,0,4186,3093,604,,27,7,51,13,153,238,147,4039,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"AR",255076,162738,40812,,2296,748,3061,1530,13009,30882,29079,225997,0,4043,2980,588,,26,7,51,13,151,227,142,3901,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"AR",242593,154532,39543,,2183,709,3154,1456,12130,28886,27898,214695,0,3901,2871,576,,25,7,51,13,139,219,140,3761,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"AR",233475,147790,11674,,2101,670,3035,1401,11674,28514,27083,206392,0,3749,2759,560,,25,7,51,13,134,200,139,3610,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"AR",222430,140576,37146,,2002,638,3114,1335,11122,26497,26247,196183,0,3637,2550,540,,22,7,51,13,129,325,135,3502,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"AR",214877,135158,36099,,1934,618,3008,1289,10959,25812,26000,188877,0,3482,2458,522,,22,7,51,12,124,286,132,3350,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"AR",207941,131211,35558,,1871,597,3119,1248,10605,23732,25369,182572,0,3376,2434,514,,20,7,51,11,123,216,132,3244,0,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"AR",201650,126435,34684,,1815,585,3025,1210,10284,23612,25005,176645,0,3237,2318,498,,20,7,51,11,114,218,126,3111,1,,,,,,,,,,,,,,,,,,,,,,,,,,
