"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,
20200528,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,
20200604,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,1805,,433,,944,,4,,,,,,74,,,,,,,,,,,,,,,,,,,,,,1805,,433,,944,,4,,,,,,74,,,,
20200611,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,2026,,468,,1024,,5,,,,,,82,,,,,,,,,,,,,,,,,,,,,,2026,,468,,1024,,5,,,,,,82,,,,
20200618,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,2241,,503,,1156,,5,,,,,,97,,,,,,,,,,,,,,,,,,,,,,2241,,503,,1156,,5,,,,,,97,,,,
20200625,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,2686,,549,,1291,,5,,,,,,112,,,,,,,,,,,,,,,,,,,,,,2686,,549,,1291,,5,,,,,,112,,,,
20200702,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,2699,,557,,1309,,4,,,,,,118,,,,,,,,,,,,,,,,,,,,,,2699,,557,,1309,,4,,,,,,118,,,,
20200709,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,2699,,557,,1309,,4,,,,,,128,,,,,,,,,,,,,,,,,,,,,,2699,,557,,1309,,4,,,,,,128,,,,
20200716,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,2764,,571,,1341,,4,,,,,,136,,,,,,,,,,,,,,,,,,,,,,2764,,571,,1341,,4,,,,,,136,,,,
20200723,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284,,,,,2764,,571,,1341,,4,,,,,,141,,,,,,,,,,,,,,,,,,,,,,2764,,571,,1341,,4,,,,,,141,,,,
20200730,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,2827,,614,,1377,,4,,,,,,147,,,,,,,,,,,,,,,,,,,,,,2827,,614,,1377,,4,,,,,,147,,,,
20200806,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,,,,3892,,988,,2132,,7,,,,,,152,,,,,,,,,,,,,,,,,,,,,,3892,,988,,2132,,7,,,,,,152,,,,
20200813,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,,,,,4054,,1055,,2237,,7,,,,,,156,,,,,,,,,,,,,,,,,,,,,,4054,,1055,,2237,,7,,,,,,156,,,,
20200820,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343,,,,,4168,,1112,,2332,,7,,,,,,156,,,,,,,,,,,,,,,,,,,,,,4168,,1112,,2332,,7,,,,,,156,,,,
20200827,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,,4360,,1185,,2440,,8,,,,,,159,,,,,,,,,,,,,,,,,,,,,,4360,,1185,,2440,,8,,,,,,159,,,,
20200903,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,4483,,1238,,2537,,9,,,,,,162,,,,,,,,,,,,,,,,,,,,,,4483,,1238,,2537,,9,,,,,,162,,,,
20200910,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,,,,,4483,,1238,,2537,,10,,,,,,164,,,,,,,,,,,,,,,,,,,,,,4483,,1238,,2537,,10,,,,,,164,,,,
20200917,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,,,,,4622,,1283,,2725,,10,,,,,,167,,,,,,,,,,,,,,,,,,,,,,4622,,1283,,2725,,10,,,,,,167,,,,
20200924,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,,,,,4622,,1283,,2725,,10,,,,,,169,,,,,,,,,,,,,,,,,,,,,,4622,,1283,,2725,,10,,,,,,169,,,,
20201001,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,,,,,4622,,1283,,2725,,10,,,,,,171,,,,,,,,,,,,,,,,,,,,,,4622,,1283,,2725,,10,,,,,,171,,,,
20201008,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,,,4947,,1416,,2995,,10,,,,,,175,,,,,,,,,,,,,,,,,,,,,,4947,,1416,,2995,,10,,,,,,175,,,,
20201015,"AZ",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,,,,,5028,,1449,,3076,,10,,,,,,179,,,,,,,,,,,,,,,,,,,,,,5028,,1449,,3076,,10,,,,,,179,,,,
