"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"AZ",826454,308453,25775,244539,11921,40707,,,46964,148095,244539,433820,148095,16328,8066,433,4684,220,1361,,,465,1099,4684,10545,1099,57907,26710,2479,18730,1015,4496,,,2562,1915,18730,37262,1915,,,,,,,,,,,,,
20210303,"AZ",819954,305803,25554,243201,11798,40371,,,46776,146451,243201,430302,146451,16089,7917,423,4619,217,1341,,,460,1112,4619,10358,1112,57697,26575,2466,18695,1007,4474,,,2551,1929,18695,37073,1929,,,,,,,,,,,,,
20210228,"AZ",816782,304962,25464,242379,11753,40282,,,46683,145259,242379,429144,145259,15980,7874,423,4587,213,1324,,,465,1094,4587,10299,1094,57599,26542,2460,18646,1006,4468,,,2548,1929,18646,37024,1929,,,,,,,,,,,,,
20210224,"AZ",811968,302166,25199,240483,11633,39876,,,46613,145998,240483,425487,145998,15693,7730,410,4486,203,1298,,,458,1108,4486,10099,1108,57156,26263,2435,18519,1004,4426,,,2537,1972,18519,36665,1972,,,,,,,,,,,,,
20210221,"AZ",807967,300984,25089,239208,11531,39783,,,46082,145290,239208,423469,145290,15505,7642,405,4432,202,1285,,,454,1085,4432,9988,1085,56946,26150,2431,18465,1002,4410,,,2523,1965,18465,36516,1965,,,,,,,,,,,,,
20210217,"AZ",801055,294886,24528,235631,11412,38773,,,44311,151514,235631,413910,151514,15063,7342,390,4304,194,1252,,,438,1143,4304,9616,1143,55983,25726,2398,18194,989,4312,,,2427,1937,18194,35852,1937,,,,,,,,,,,,,
20210214,"AZ",797270,293464,24403,234463,11321,38677,,,43946,150996,234463,411811,150996,14978,7297,389,4278,193,1253,,,432,1136,4278,9564,1136,55667,25576,2385,18073,983,4301,,,2413,1936,18073,35658,1936,,,,,,,,,,,,,
20210210,"AZ",789245,290599,24127,232163,11160,38384,,,43348,149464,232163,407618,149464,14462,7069,375,4146,185,1222,,,418,1047,4146,9269,1047,55088,25270,2352,17915,969,4273,,,2376,1933,17915,35240,1933,,,,,,,,,,,,,
20210207,"AZ",780637,287164,23854,229997,10982,38137,,,42591,147912,229997,402728,147912,14048,6859,368,4040,183,1186,,,399,1013,4040,8995,1013,54657,25050,2328,17811,960,4260,,,2323,1925,17811,34921,1925,,,,,,,,,,,,,
20210203,"AZ",767379,277764,23078,224464,10736,36399,,,41541,153397,224464,389518,153397,13576,6576,357,3904,177,1139,,,375,1048,3904,8624,1048,53432,24406,2275,17433,942,4141,,,2266,1969,17433,34030,1969,,,,,,,,,,,,,
