"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"CA",,"Aggregate",8400,,1497,,4824,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,,290,,,,,,,,,,,,,,,1997,,290,,,,,,
20200528,"CA",,"Aggregate",9183,,1725,,5437,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143,,305,,83,,,,,,,,,,,,,2143,,305,,83,,,,
20200604,"CA",,"Aggregate",10087,,1923,,5947,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299,,342,,91,,,,,,,,,,,,,2299,,342,,91,,,,
20200611,"CA",,"Aggregate",11070,,2080,,6624,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2476,,362,,101,,,,,,,,,,,,,2476,,362,,101,,,,
20200618,"CA",,"Aggregate",11677,,2191,,7136,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2812,,388,,110,,,,,,,,,,,,,2812,,388,,110,,,,
20200625,"CA",,"Aggregate",12594,,2334,,7992,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3130,,408,,115,,,,,,,,,,,,,3130,,408,,115,,,,
20200702,"CA",,"Aggregate",13923,,2524,,9047,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3621,,446,,127,,,,,,,,,,,,,3621,,446,,127,,,,
20200709,"CA",,"Aggregate",14886,,2667,,9908,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4134,,473,,141,,,,,,,,,,,,,4134,,473,,141,,,,
20200716,"CA",,"Aggregate",16033,,2870,,11093,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4635,,512,,141,,,,,,,,,,,,,4635,,512,,141,,,,
20200723,"CA",,"Aggregate",17452,,3039,,12413,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301,,563,,183,,,,,,,,,,,,,5301,,563,,183,,,,
20200730,"CA",,"Aggregate",18808,,3243,,13694,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5885,,636,,214,,,,,,,,,,,,,5885,,636,,214,,,,
20200806,"CA",,"Aggregate",20116,,3439,,14769,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6577,,707,,234,,,,,,,,,,,,,6577,,707,,234,,,,
20200813,"CA",,"Aggregate",21470,,3636,,15731,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7258,,761,,262,,,,,,,,,,,,,7258,,761,,262,,,,
20200820,"CA",,"Aggregate",22571,,3826,,16631,,140,,,,,,1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7811,,822,,283,,,,,,,,,,,,,7811,,822,,283,,,,
