"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"CA",3501394,546630,111279,1509103,186562,9025,15281,42824,304477,776213,1509103,1216078,776213,54124,16586,3275,24402,6105,184,322,693,1103,1454,24402,28268,1454,,,,,,,,,,,,,,49646014,9172498,1730660,9444459,3980518,98894,222513,74171,6354689,18567612,9444459,21633943,18567612
20210303,"CA",3484963,541927,110115,1494376,184765,8915,15228,41858,305557,782222,1494376,1208365,782222,52775,16205,3209,23768,5958,173,311,658,1092,1401,23768,27606,1401,,,,,,,,,,,,,,49028048,9058324,1709117,9326899,3930970,97663,219743,73247,6275590,18336495,9326899,21364654,18336495
20210228,"CA",3475562,539466,109591,1487225,183711,8861,15175,41370,305942,784221,1487225,1204116,784221,51979,16017,3161,23435,5875,173,306,647,1103,1262,23435,27282,1262,,,,,,,,,,,,,,48469106,8731030,1643199,9932773,3825957,98101,220728,98101,6204045,17715172,9932773,20821161,17715172
20210224,"CA",3455361,534330,108479,1472040,181664,8740,15066,40426,307021,787595,1472040,1195726,787595,49877,15249,3004,22371,5590,165,292,612,1064,1530,22371,25976,1530,,,,,,,,,,,,,,47652172,8583871,1615503,9765359,3761471,96447,217007,96447,6099478,17416589,9765359,20470224,17416589
20210221,"CA",3441946,530958,107741,1462751,180258,8681,14996,39910,306877,789774,1462751,1189421,789774,49105,15083,2972,22030,5504,166,289,599,1062,1400,22030,25675,1400,,,,,,,,,,,,,,47043348,8326108,1577833,10292331,3689703,97097,218469,97097,5974505,16770205,10292331,19980812,16770205
20210217,"CA",3416147,524753,106400,1446427,177919,8561,14897,38784,307324,791082,1446427,1178638,791082,47507,14542,2876,21267,5309,162,277,575,1015,1484,21267,24756,1484,,,,,,,,,,,,,,46384932,8209576,1555750,10148280,3638062,95738,215411,95738,5890886,16535491,10148280,19701161,16535491
20210214,"CA",3399878,521073,105625,1437235,176589,8506,14826,38297,307185,790542,1437235,1172101,790542,46843,14348,2857,20989,5241,158,276,560,997,1417,20989,24437,1417,,,,,,,,,,,,,,45703217,7909124,1490473,10721791,3533864,96159,192319,72119,5941418,15745950,10721791,19235476,15745950
20210210,"CA",3362981,513077,103870,1415893,173673,8320,14589,36970,306671,789918,1415893,1157170,789918,44995,13744,2749,20125,5009,150,258,535,887,1538,20125,23332,1538,,,,,,,,,,,,,,44770601,7747731,1460058,10503003,3461752,94197,188394,70648,5820178,15424640,10503003,18842958,15424640
20210207,"CA",3335926,507681,102703,1402958,171443,8219,14467,36372,305167,786916,1402958,1146052,786916,43942,13485,2677,19624,4894,145,256,527,878,1456,19624,22862,1456,,,,,,,,,,,,,,43994322,7414143,1362724,10717016,3256679,92388,184776,69291,5587278,15310027,10717016,17967279,15310027
20210203,"CA",3281271,496550,100486,1375197,167317,8029,14174,34844,302270,782404,1375197,1123670,782404,41811,12761,2571,18502,4643,135,239,491,805,1664,18502,21645,1664,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"CA",3243348,489390,98959,1355776,164484,7909,14003,34056,300252,778519,1355776,1109053,778519,40697,12423,2516,17965,4532,126,229,458,787,1661,17965,21071,1661,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"CA",3169914,475186,96053,1317261,158576,7664,13633,31788,296416,773337,1317261,1079316,773337,38224,11664,2391,16822,4256,117,213,422,691,1648,16822,19754,1648,,,,,,,,,,,,,,,,,,,,,,,,,,
