"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"CO",,"Aggregate",1205,420,311,102,840,505,1,,,,,,72,,,,,348,68,101,15,188,119,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,381,73,141,15,251,114,,,,,,,29,,,,,381,73,141,15,251,114,,,,,,,29,,,,
20200528,"CO",,"Aggregate",1308,422,329,104,891,515,2,,,,,,75,,,,,395,84,110,16,225,125,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,405,73,145,18,256,122,,,,,,,29,,,,,405,73,145,18,256,122,,,,,,,29,,,,
20200604,"CO",,"Aggregate",1405,439,366,112,970,533,2,,,,,,76,,,,,415,85,122,17,241,127,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,438,74,141,18,285,111,0,,,,,,29,,,,,438,74,141,18,285,111,0,,,,,,29,,,,
20200611,"CO",,"Aggregate",1445,434,380,111,984,515,2,,,,,,76,,,,,444,82,129,17,267,128,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,494,78,154,19,307,123,2,,,,,,29,,,,,494,78,154,19,307,123,2,,,,,,29,,,,
20200618,"CO",,"Aggregate",1497,449,397,117,1018,602,2,,,,,,77,,,,,448,83,136,17,275,128,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,511,78,168,19,320,121,2,,,,,,30,,,,,511,78,168,19,320,121,2,,,,,,30,,,,
20200625,"CO",,"Aggregate",1521,458,409,120,1031,529,4,,,,,,78,,,,,459,85,146,18,287,133,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,517,84,169,19,321,123,2,,,,,,30,,,,,517,84,169,19,321,123,2,,,,,,30,,,,
20200702,"CO",,"Aggregate",1542,462,415,117,1043,534,4,,,,,,78,,,,,476,87,149,16,295,130,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,525,85,171,19,334,187,2,,,,,,30,,,,,525,85,171,19,334,187,2,,,,,,30,,,,
20200709,"CO",,"Aggregate",1559,468,418,120,1063,539,4,0,,,,,79,,,,,491,88,150,16,303,132,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,535,80,172,20,321,170,2,,,,,,30,,,,,535,80,172,20,321,170,2,,,,,,30,,,,
20200716,"CO",,"Aggregate",1569,469,431,121,1072,548,4,0,,,,,81,,,,,512,90,156,16,311,135,0,0,,,,,59,,,,,,,,,,,,,,,,,,,,,,539,78,174,19,323,173,2,0,,,,,30,,,,,539,78,174,19,323,173,2,0,,,,,30,,,,
20200723,"CO",,"Aggregate",1581,471,433,120,1090,554,4,0,,,,,84,,,,,545,91,159,16,334,134,0,0,,,,,59,,,,,,,,,,,,,,,,,,,,,,545,78,176,19,324,178,2,0,,,,,31,,,,,545,78,176,19,324,178,2,0,,,,,31,,,,
