"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"CO",435762,181669,12637,119224,6406,2527,1264,6580,3312,102143,119224,214395,102143,5986,3869,191,1204,115,37,9,186,38,337,1204,4445,337,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"CO",431670,179488,12562,118537,6302,2504,1252,6475,3281,101269,118537,211864,101269,5970,3851,192,1205,114,37,9,184,38,340,1205,4425,340,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"CO",428303,177489,12464,117740,6253,2484,1242,6382,3255,100994,117740,209569,100994,5951,3836,193,1198,114,37,9,181,38,345,1198,4408,345,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"CO",423558,174760,12283,116733,6142,2457,1228,6311,3219,100425,116733,206400,100425,5917,3806,193,1192,114,37,9,179,38,349,1192,4376,349,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"CO",420614,173125,12156,116047,6099,2440,1220,6225,3155,100147,116047,204420,100147,5892,3789,191,1182,114,36,10,178,38,354,1182,4356,354,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"CO",416174,170548,12027,115030,6076,2455,1207,6118,3121,99592,115030,201552,99592,5838,3746,192,1170,115,36,10,170,40,359,1170,4309,359,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"CO",413836,168928,11918,114550,6001,2442,1200,6083,3104,99610,114550,199676,99610,5824,3735,189,1169,115,36,10,168,42,360,1169,4295,360,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"CO",407961,165714,11790,113454,5956,2366,1183,5956,3060,98482,113454,196025,98482,5770,3688,188,1159,116,35,10,165,43,366,1159,4245,366,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"CO",405289,163939,11672,112873,5917,2351,1175,5877,3040,98445,112873,193971,98445,5731,3663,185,1150,115,34,10,162,42,370,1150,4211,370,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"CO",399267,160585,11499,111555,5829,2356,1158,5749,2995,97541,111555,190171,97541,5664,3616,185,1139,116,35,9,151,44,369,1139,4156,369,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"CO",396179,158590,11410,110732,5745,2337,1149,5705,2971,97540,110732,187907,97540,5637,3588,186,1131,117,37,9,148,42,379,1131,4127,379,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"CO",390258,154932,11200,109428,5659,2303,1132,5581,2888,97135,109428,183695,97135,5552,3527,184,1117,114,36,10,145,39,380,1117,4055,380,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"CO",386285,152505,11048,108507,5563,2279,1120,5524,2820,96919,108507,180859,96919,5505,3487,182,1112,109,36,10,143,36,390,1112,4003,390,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"CO",379227,148695,10732,106942,5423,2237,1100,5347,2768,95983,106942,176302,95983,5422,3415,180,1111,111,36,9,137,36,387,1111,3924,387,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"CO",374981,146468,10612,106007,5325,2175,1087,5287,2737,95283,106007,173691,95283,5379,3377,180,1110,110,34,9,136,36,387,1110,3882,387,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"CO",366774,142418,10380,104127,5172,2127,1064,5135,2677,93674,104127,168973,93674,5285,3317,177,1088,109,34,9,134,36,381,1088,3816,381,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"CO",361148,136442,9968,102241,4875,1986,1011,4875,2600,97150,102241,161757,97150,5208,3257,175,1069,110,34,9,128,36,390,1069,3749,390,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"CO",349450,133769,9820,100048,4753,1957,1013,4822,2516,90752,100048,158650,90752,5050,3163,174,1042,108,32,9,121,34,367,1042,3641,367,,,,,,,,,,,,,,,,,,,,,,,,,,
20210103,"CO",341250,131040,2423,98280,4641,1911,990,4743,2423,87565,98280,155405,87565,4934,3083,173,1018,107,30,9,114,32,368,1018,3548,368,,,,,,,,,,,,,,,,,,,,,,,,,,
20201230,"CO",330859,126554,9330,95850,4434,1853,959,4566,2349,84964,95850,150045,84964,4750,2974,171,982,103,26,9,113,31,341,982,3427,341,,,,,,,,,,,,,,,,,,,,,,,,,,
20201227,"CO",325018,123539,9036,94353,4323,1820,943,4518,2243,84243,94353,146422,84243,4610,2874,169,952,99,24,9,108,28,347,952,3311,347,,,,,,,,,,,,,,,,,,,,,,,,,,
20201223,"CO",316500,119890,8735,92576,4178,1741,918,4368,2184,81879,92576,142014,81910,4462,2777,163,928,97,24,9,104,27,333,928,3201,333,,,,,,,,,,,,,,,,,,,,,,,,,,
20201220,"CO",308890,116421,8464,90721,4046,1699,896,4263,2100,80250,90721,137889,80280,4368,2719,167,921,94,23,9,100,27,308,921,3139,308,,,,,,,,,,,,,,,,,,,,,,,,,,
20201216,"CO",296716,111061,8071,87739,3857,1602,890,4095,1988,77413,87739,131564,77413,4156,2575,160,906,96,21,9,95,27,267,906,2983,267,,,,,,,,,,,,,,,,,,,,,,,,,,
20201213,"CO",288193,107467,7781,85420,3718,1556,865,3948,1931,75507,85420,126632,76141,3958,2444,158,862,96,19,8,91,27,253,862,2843,253,,,,,,,,,,,,,,,,,,,,,,,,,,
