"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"CT",,"Aggregate",6947,,1487,,,,,,,,,,,,,,,871,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Aggregate",8322,,1884,,,,,,,,,,,,,,,1007,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"CT",,"Aggregate",8517,,2542,,,,,,,,,,170,,,,,1041,,337,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200611,"CT",,"Aggregate",8669,,2648,,,,,,,,,,173,,,,,1051,,349,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200618,"CT",,"Aggregate",8672,59,2163,556,,,,,,,,,174,,,,,1051,,349,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200625,"CT",,"Aggregate",8745,59,2183,556,64,,0,,,,,,174,,,,,1048,,367,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200702,"CT",,"Aggregate",8803,59,2189,556,106,0,1,,,,,,174,,,,,1068,,370,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200709,"CT",,"Aggregate",8850,59,2199,556,136,0,2,,,,,,174,,,,,1071,0,303,68,22,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200716,"CT",,"Aggregate",8850,59,2199,556,136,0,2,,,,,,174,,,,,1071,0,303,68,22,0,0,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,"CT",,"Aggregate",8777,,2848,,214,,2,,,,,,213,,,,,1065,,380,,49,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,"CT",,"Aggregate",8783,,2853,,223,,2,,,,,,179,,,,,1066,,379,,53,,0,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,"CT",,"Aggregate",8788,,2855,,236,,3,,,,,,212,,,,,1076,,379,,57,,0,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,"CT",,"Aggregate",8793,,2859,,246,,3,,,,,,212,,,,,1082,,379,,65,,0,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200820,"CT",,"Aggregate",8808,,2867,,257,,3,,,,,,180,,,,,1084,,379,,73,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200827,"CT",,"Aggregate",8816,,2872,,268,,3,,,,,,180,,,,,1084,,379,,73,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200903,"CT",,"Aggregate",8826,,2874,,279,,3,,,,,,180,,,,,1098,,379,,81,,0,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200910,"CT",,"Aggregate",8835,,2877,,289,,3,,,,,,183,,,,,1100,,379,,84,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200917,"CT",,"Aggregate",8847,,2877,,322,,3,,,,,,181,,,,,1086,,379,,92,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200924,"CT",,"Aggregate",8859,,2877,,355,,3,,,,,,223,,,,,1086,,379,,92,,0,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201001,"CT",,"Aggregate",8777,,2849,,346,,3,,,,,,179,,,,,1089,,379,,110,,0,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201008,"CT",,"Aggregate",8944,,2886,,425,,3,,,,,,185,,,,,1100,,381,,134,,0,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201015,"CT",,"Aggregate",9038,,2891,,485,,3,,,,,,187,,,,,1107,,383,,149,,0,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201022,"CT",,"Aggregate",9109,,2906,,657,,3,,,,,,187,,,,,1134,,406,,188,,0,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201029,"CT",,"Aggregate",9265,,2925,,755,,3,,,,,,189,,,,,1160,,405,,231,,0,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201105,"CT",,"Aggregate",9307,,2948,,778,,3,,,,,,192,,,,,1182,,389,,269,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201112,"CT",,"Aggregate",9561,,2979,,978,,3,,,,,,212,,,,,1198,,397,,341,,0,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201119,"CT",,"Aggregate",9876,,3018,,1240,,3,,,,,,212,,,,,1257,,396,,406,,0,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201126,"CT",,"Aggregate",9876,,3018,,1240,,3,,,,,,212,,,,,1257,,396,,406,,0,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201203,"CT",,"Aggregate",10714,,3161,,1918,,3,,,,,,211,,,,,1354,,402,,557,,0,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201210,"CT",,"Aggregate",11178,,3231,,2267,,3,,,,,,212,,,,,1416,,411,,665,,1,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201217,"CT",,"Aggregate",11644,,3315,,2607,,3,,,,,,211,,,,,1476,,417,,791,,1,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201224,"CT",,"Aggregate",12091,,3406,,2992,,3,,,,,,212,,,,,1554,,426,,878,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201231,"CT",,"Aggregate",12091,,3406,,2992,,3,,,,,,212,,,,,1554,,426,,878,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210107,"CT",,"Aggregate",12956,,3652,,2992,,3,,,,,,212,,,,,1704,,434,,1072,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210114,"CT",,"Aggregate",13268,,3728,,3963,,3,,,,,,212,,,,,1777,,448,,1180,,1,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210121,"CT",,"Aggregate",13515,,3841,,4160,,4,,,,,,213,,,,,1836,,457,,1255,,1,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210128,"CT",,"Aggregate",13681,,3838,,4313,,4,,,,,,212,,,,,1884,,466,,1321,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210204,"CT",,"Aggregate",13782,,3873,,4400,,4,,,,,,212,,,,,1911,,471,,1347,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210211,"CT",,"Aggregate",13782,,3873,,4400,,4,,,,,,212,,,,,1911,,471,,1347,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210218,"CT",,"Aggregate",13833,,3890,,4457,,4,,,,,,212,,,,,1935,,470,,1374,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210225,"CT",,"Aggregate",13901,,3856,,4526,,4,,,,,,212,,,,,1957,,472,,1404,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210304,"CT",,"Aggregate",13923,,3862,,4557,,4,,,,,,212,,,,,1960,,472,,1416,,2,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,"CT",,"Cumulative",6947,,1487,,,,,,,,,,,,,,,871,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200528,"CT",,"Cumulative",8322,,1884,,,,,,,,,,,,,,,1007,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,"CT",,"Cumulative",8517,,2542,,,,,,,,,,170,,,,,1041,,337,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200611,"CT",,"Cumulative",8669,,2648,,,,,,,,,,173,,,,,1051,,349,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200618,"CT",,"Cumulative",8672,59,2163,556,,,,,,,,,174,,,,,1051,,349,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200625,"CT",,"Cumulative",8745,59,2183,556,64,,0,,,,,,174,,,,,1048,,367,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200702,"CT",,"Cumulative",8803,59,2189,556,106,0,1,,,,,,174,,,,,1068,,370,,,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200709,"CT",,"Cumulative",8850,59,2199,556,136,0,2,,,,,,174,,,,,1071,0,303,68,22,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200716,"CT",,"Cumulative",8850,59,2199,556,136,0,2,,,,,,174,,,,,1071,0,303,68,22,0,0,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200723,"CT",,"Cumulative",8777,,2848,,214,,2,,,,,,213,,,,,1065,,380,,49,,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200730,"CT",,"Cumulative",8783,,2853,,223,,2,,,,,,179,,,,,1066,,379,,53,,0,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200806,"CT",20200806,"Cumulative",8788,,2855,,236,,3,,,,,,212,,,,,1076,,379,,57,,0,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200813,"CT",20200813,"Cumulative",8793,,2859,,246,,3,,,,,,212,,,,,1082,,379,,65,,0,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200820,"CT",20200818,"Cumulative",8808,,2867,,257,,3,,,,,,180,,,,,1084,,379,,73,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200827,"CT",20200827,"Cumulative",8816,,2872,,268,,3,,,,,,180,,,,,1084,,379,,73,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200903,"CT",20200903,"Cumulative",8826,,2874,,279,,3,,,,,,34,,,,,1098,,379,,81,,0,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
