"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"CT",285330,85469,19651,41523,3019,393,,17642,15284,102349,41523,141458,102349,7704,5413,906,782,83,3,,353,38,126,782,6796,126,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"CT",283622,84924,19547,41303,2987,389,,17417,15108,101947,41303,140372,101947,7678,5397,902,778,83,3,,350,39,126,778,6774,126,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"CT",279946,83545,19323,40860,2923,393,,16934,14850,101118,40860,137968,101118,7622,5366,902,766,83,3,,338,38,126,766,6730,126,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"CT",278184,82973,19180,40646,2900,387,,16685,14752,100661,40646,136877,100661,7595,5357,901,761,83,3,,328,38,124,761,6710,124,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"CT",273101,80229,18714,40170,2798,387,,16118,14547,100138,40170,132793,100138,7523,5318,896,750,82,3,,317,38,119,750,6654,119,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"CT",271356,79692,18626,39978,2778,383,,15873,14433,99593,39978,131785,99593,7476,5290,892,748,81,3,,310,36,116,748,6612,116,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"CT",267337,78245,18293,39519,2711,384,,15396,14191,98598,39519,129220,98598,7381,5234,884,732,81,3,,296,35,116,732,6533,116,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"CT",265496,77745,18189,39250,2696,382,,15164,14007,98063,39250,128183,98063,7326,5197,881,726,81,3,,287,35,116,726,6484,116,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"CT",259372,75634,17851,38252,2632,382,,14349,13630,96642,38252,124478,96642,7214,5135,872,711,81,3,,263,34,115,711,6388,115,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"CT",257004,74808,17723,38013,2606,380,,14062,13412,96000,38013,122991,96000,7157,5099,872,705,80,3,,250,34,114,705,6338,114,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"CT",250023,72760,17265,37416,2530,368,,13389,12832,93463,37416,119144,93463,7046,5031,864,692,79,3,,232,32,113,692,6241,113,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"CT",247339,71919,17113,37085,2503,364,,13146,12706,92503,37085,117751,92503,6976,4983,859,685,79,3,,222,32,113,685,6178,113,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"CT",237815,69352,16504,36003,2408,353,,12035,12046,89114,36003,112698,89114,6819,4894,851,664,78,3,,188,32,109,664,6046,109,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"CT",234134,68401,16312,35614,2378,350,,11645,11740,87694,35614,110826,87694,6726,4847,844,651,77,3,,166,30,108,651,5967,108,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"CT",223422,66352,15736,34871,2292,342,,10452,11179,82198,34871,106353,82198,6594,4760,831,633,75,3,,145,39,108,633,5853,108,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"CT",220576,65275,15515,34549,2258,343,,10206,11144,81286,34549,104741,81286,6536,4718,829,626,75,3,,135,39,111,626,5799,111,,,,,,,,,,,,,,,,,,,,,,,,,,
