"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"DC",41419,10708,20164,,914,86,82,,9148,317,8455,30131,2833,1030,105,773,119,14,,,,0,19,119,892,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210303,"DC",40818,10535,19888,,888,85,79,,9091,252,8397,29663,2758,1023,105,766,119,14,,,,0,19,119,885,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210228,"DC",40598,10492,19732,,882,84,80,,9077,251,8366,29462,2770,1017,105,760,119,14,,,,0,19,119,879,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210224,"DC",39943,10279,19440,,864,82,78,,8978,222,8293,28921,2729,1001,105,747,117,13,,,,0,19,117,865,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210221,"DC",39648,10201,19286,,850,82,77,,8939,213,8238,28679,2731,995,105,743,115,13,,,,0,19,115,861,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210217,"DC",39180,10063,19006,,846,81,76,,8905,203,8153,28278,2749,985,105,733,115,13,,,,0,19,115,851,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"DC",38918,10010,18837,,837,81,76,,8849,228,8100,28060,2758,979,105,728,115,12,,,,0,19,115,845,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"DC",38348,9864,18546,,821,80,74,,8761,202,8020,27607,2721,965,102,717,115,12,,,,0,19,115,831,19,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"DC",38035,9761,18320,,815,87,74,,8730,248,7971,27280,2784,952,102,706,114,12,,,,0,18,114,820,18,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"DC",37199,9501,17951,,789,78,73,,8617,190,7867,26625,2707,926,99,687,112,11,,,,0,17,112,797,17,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"DC",36872,9360,17653,,776,78,72,,8506,427,7784,26174,2914,913,99,675,111,11,,,,0,17,111,785,17,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"DC",35865,9093,17249,,760,77,72,,8387,227,7667,25512,2686,895,99,660,111,11,,,,0,14,111,770,14,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"DC",35301,8934,16886,,753,74,71,,8274,309,7548,24996,2757,872,94,643,110,11,,,,0,14,110,748,14,,,,,,,,,,,,,,,,,,,,,,,,,,
