"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,177,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,542,,177,,,,,,,,,,27,,,,
20200528,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607,,208,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,607,,208,,,,,,,,,,30,,,,
20200604,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687,,228,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,687,,228,,,,,,,,,,30,,,,
20200611,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,,247,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,990,,247,,,,,,,,,,30,,,,
20200618,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026,,263,,433,,1,,,,,,31,,,,,,,,,,,,,,,,,,,,,,1026,,263,,433,,1,,,,,,31,,,,
20200625,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,,278,,450,,1,,,,,,32,,,,,,,,,,,,,,,,,,,,,,1112,,278,,450,,1,,,,,,32,,,,
20200702,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,,329,,461,,1,,,,,,34,,,,,,,,,,,,,,,,,,,,,,1164,,329,,461,,1,,,,,,34,,,,
20200709,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154,,334,,461,,1,,,,,,34,,,,,,,,,,,,,,,,,,,,,,1154,,334,,461,,1,,,,,,34,,,,
20200716,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,333,,461,,1,,,,,,34,,,,,,,,,,,,,,,,,,,,,,1155,,333,,461,,1,,,,,,34,,,,
20200723,"DE",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,335,,461,,1,,,,,,35,,,,,,,,,,,,,,,,,,,,,,1160,,335,,461,,1,,,,,,35,,,,
