"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"DE",88354,42730,19768,14532,1842,,,,5190,4292,14532,69530,4292,1473,1036,329,80,11,,,,15,2,80,1391,2,,,,,,,,,,,,,,633424,311489,118013,55204,16091,,,,58282,74345,55204,503875,74345
20210303,"DE",87425,42195,19574,14402,1828,,,,5163,4263,14402,68760,4263,1440,1010,325,77,11,,,,15,2,77,1361,2,,,,,,,,,,,,,,628389,308990,116763,54599,15949,,,,57926,74162,54599,499628,74162
20210228,"DE",86799,41839,19454,14315,1817,,,,5119,4255,14315,68229,4255,1422,997,321,76,11,,,,15,2,76,1344,2,,,,,,,,,,,,,,625443,307368,116023,54276,15811,,,,57789,74176,54276,496991,74176
20210224,"DE",85506,41096,19233,14131,1785,,,,5049,4212,14131,67163,4212,1402,984,315,75,11,,,,15,2,75,1325,2,,,,,,,,,,,,,,619410,304375,114738,53538,15568,,,,57200,73991,53538,491881,73991
20210221,"DE",84732,40620,19111,14029,1760,,,,5014,4198,14029,66505,4198,1367,955,311,73,11,,,,15,2,73,1292,2,,,,,,,,,,,,,,616337,302615,113937,53189,15447,,,,57154,73995,53189,489153,73995
20210217,"DE",83581,39955,18878,13889,1735,,,,4971,4153,13889,65539,4153,1316,922,297,71,10,,,,14,2,71,1243,2,,,,,,,,,,,,,,611203,299903,112806,52599,15321,,,,56776,73798,52599,484806,73798
20210214,"DE",83003,39626,18781,13801,1714,,,,4938,4143,13801,65059,4143,1283,896,290,71,10,,,,14,2,71,1210,2,,,,,,,,,,,,,,608321,298223,112262,52285,15234,,,,56529,73788,52285,482248,73788
20210210,"DE",81461,38787,18468,13595,1677,,,,4837,4097,13595,63769,4097,1245,866,283,70,10,,,,14,2,70,1173,2,,,,,,,,,,,,,,600565,294170,110604,51447,14955,,,,55705,73684,51447,475434,73684
20210207,"DE",80594,38322,18250,13459,1649,,,,4812,4102,13459,63033,4102,1208,838,274,70,10,,,,14,2,70,1136,2,,,,,,,,,,,,,,597251,292313,109737,51045,14871,,,,55716,73569,51045,472637,73569
20210203,"DE",78982,37479,17926,13207,1608,,,,4720,4042,13207,61733,4042,1130,782,255,67,10,,,,14,2,67,1061,2,,,,,,,,,,,,,,590313,288758,108103,50206,14644,,,,55207,73395,50206,466712,73395
20210131,"DE",78071,36995,17708,13088,1580,,,,4682,4018,13088,60965,4018,1090,750,250,65,10,,,,14,1,65,1024,1,,,,,,,,,,,,,,586012,286430,107099,49757,14466,,,,54934,73326,49757,462929,73326
20210127,"DE",75832,35800,17246,12763,1523,,,,4545,3955,12763,59114,3955,1072,737,246,64,10,,,,14,1,64,1007,1,,,,,,,,,,,,,,576414,281713,104874,48621,14159,,,,53598,73449,48621,454344,73449
20210124,"DE",74575,35120,16948,12595,1502,,,,4473,3937,12595,58043,3937,1041,714,239,63,10,,,,14,1,63,977,1,,,,,,,,,,,,,,570717,278540,103616,48070,14001,,,,52960,73530,48070,449117,73530
20210120,"DE",71775,33669,16319,12223,1445,,,,4310,3809,12223,55743,3809,1026,700,238,63,10,,,,14,1,63,962,1,,,,,,,,,,,,,,560500,274131,101513,46898,13658,,,,51935,72365,46898,441237,72365
20210117,"DE",70294,32906,16039,12007,1409,,,,4206,3727,12007,54560,3727,1016,692,236,63,10,,,,14,1,63,952,1,,,,,,,,,,,,,,554755,271553,100541,46323,13483,,,,51587,71268,46323,437164,71268
20210113,"DE",67173,31310,15376,11536,1326,,,,4010,3615,11536,52022,3615,994,677,230,63,9,,,,14,1,63,930,1,,,,,,,,,,,,,,543353,266073,98444,45012,13126,,,,50598,70100,45012,428241,70100
