"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"FL",1944995,664121,237772,608165,,,,,141809,293128,608165,917573,419257,32266,17316,4812,7325,,,,,1427,1386,7325,22180,2761,82237,38131,16138,20583,,,,,4284,3101,20583,56406,5248,,,,,,,,,,,,,
20210303,"FL",1924114,655618,235253,600647,,,,,139619,292977,600647,905952,417515,31829,17074,4751,7222,,,,,1425,1357,7222,21882,2725,81278,37666,15963,20341,,,,,4245,3063,20341,55748,5189,,,,,,,,,,,,,
20210228,"FL",1909221,649451,233422,594679,,,,,138503,293166,594679,897293,417249,31406,16850,4697,7115,,,,,1392,1352,7115,21576,2715,80572,37347,15827,20180,,,,,4199,3019,20180,55252,5140,,,,,,,,,,,,,
20210224,"FL",1885661,640042,230333,586613,,,,,136314,292359,586613,884442,414606,30878,16565,4635,6990,,,,,1368,1320,6990,21237,2651,79675,36925,15636,19965,,,,,4156,2993,19965,54614,5096,,,,,,,,,,,,,
20210221,"FL",1868772,633358,228211,580870,,,,,134722,291611,580870,875072,412830,30434,16321,4560,6896,,,,,1349,1308,6896,20911,2627,78946,36570,15495,19790,,,,,4125,2966,19790,54079,5077,,,,,,,,,,,,,
20210217,"FL",1844627,623935,224912,572623,,,,,132673,290484,572623,861706,410298,29824,15967,4486,6778,,,,,1308,1285,6778,20461,2585,77994,36100,15299,19572,,,,,4088,2935,19572,53396,5026,,,,,,,,,,,,,
20210214,"FL",1827373,616930,222833,567024,,,,,131132,289454,567024,852372,407977,29275,15652,4419,6669,,,,,1278,1257,6669,20078,2528,77255,35689,15175,19431,,,,,4058,2902,19431,52843,4981,,,,,,,,,,,,,
20210210,"FL",1798280,605295,218927,557320,,,,,128566,288172,557320,836076,404884,28691,15323,4351,6550,,,,,1240,1227,6550,19674,2467,76286,35166,14985,19220,,,,,4013,2902,19220,52097,4969,,,,,,,,,,,,,
20210207,"FL",1777983,597163,216323,550423,,,,,126911,287163,550423,825081,402479,28161,14996,4287,6466,,,,,1211,1201,6466,19278,2417,75515,34751,14841,19093,,,,,3953,2877,19093,51497,4925,,,,,,,,,,,,,
20210203,"FL",1744619,583795,211699,539102,,,,,123630,286393,539102,806220,399297,27472,14578,4217,6325,,,,,1179,1173,6325,18776,2371,74383,34140,14627,18833,,,,,3898,2885,18833,50616,4934,,,,,,,,,,,,,
20210131,"FL",1721377,574643,208842,531795,,,,,121937,284160,531795,793849,395733,26915,14269,4130,6220,,,,,1153,1143,6220,18380,2315,73384,33585,14469,18654,,,,,3834,2842,18654,49862,4868,,,,,,,,,,,,,
20210127,"FL",1676171,556567,203080,518230,,,,,117956,280338,518230,770979,386962,26249,13874,4067,6082,,,,,1112,1114,6082,17912,2255,72215,32948,14286,18418,,,,,3762,2801,18418,48999,4798,,,,,,,,,,,,,
20210124,"FL",1649449,546306,199845,509203,,,,,115743,278352,509203,756415,383831,25693,13543,4003,5990,,,,,1087,1070,5990,17523,2180,71219,32386,14121,18263,,,,,3702,2747,18263,48246,4710,,,,,,,,,,,,,
20210120,"FL",1601011,527251,193944,494728,,,,,111708,273380,494728,731854,374429,24965,13118,3926,5848,,,,,1047,1026,5848,17005,2112,69954,31722,13926,17983,,,,,3633,2690,17983,47349,4622,,,,,,,,,,,,,
20210117,"FL",1571279,515798,190408,484754,,,,,109181,271138,484754,716653,369872,24515,12820,3885,5781,,,,,1024,1005,5781,16664,2070,68987,31187,13783,17821,,,,,3574,2622,17821,46644,4522,,,,,,,,,,,,,
20210113,"FL",1517472,495545,183998,467616,,,,,104606,265707,467616,689960,359896,23759,12392,3792,5624,,,,,991,960,5624,16147,1988,67598,30385,13590,17533,,,,,3512,2578,17533,45640,4425,,,,,,,,,,,,,
20210110,"FL",1477010,480682,179582,454691,,,,,101309,260746,454691,670806,351513,23261,12093,3729,5522,,,,,967,950,5522,15790,1949,66533,29780,13449,17314,,,,,3458,2532,17314,44884,4335,,,,,,,,,,,,,
20210106,"FL",1409906,455718,172348,434292,,,,,96127,251421,434292,639940,335674,22647,11752,3670,5369,,,,,948,908,5369,15403,1875,65232,29117,13239,17016,,,,,3391,2469,17016,44009,4207,,,,,,,,,,,,,
20210103,"FL",1365436,438830,92597,420095,,,,,92597,246190,420095,619282,326059,22310,11531,3639,5315,,,,,940,885,5315,15153,1842,64216,28520,13093,16850,,,,,3341,2412,16850,43255,4111,,,,,,,,,,,,,
20201230,"FL",1306123,416635,161719,403284,,,,,88028,236457,403284,592519,310320,21857,11256,3590,5212,,,,,927,872,5212,14835,1810,63375,28064,12967,16660,,,,,3314,2370,16660,42676,4039,,,,,,,,,,,,,
20201227,"FL",1271979,403492,158300,391414,,,,,85492,233281,391414,576392,304173,21514,11040,3556,5154,,,,,910,854,5154,14562,1798,62296,27418,12791,16493,,,,,3266,2328,16493,41779,4024,,,,,,,,,,,,,
20201223,"FL",1234399,388475,154465,379914,,,,,82543,229002,379914,557662,296823,21173,10817,3523,5088,,,,,891,854,5088,14302,1783,61617,27034,12696,16333,,,,,3232,2322,16333,41283,4001,,,,,,,,,,,,,
20201220,"FL",1201566,374972,151004,368886,,,,,80061,226643,368886,541007,291673,20861,10624,3496,5025,,,,,875,841,5025,14080,1756,60791,26576,12550,16189,,,,,3195,2281,16189,40658,3944,,,,,,,,,,,,,
20201216,"FL",1155335,356572,146128,354147,,,,,76280,222208,354147,518734,282454,20490,10413,3461,4946,,,,,855,815,4946,13830,1714,59751,26013,12386,15962,,,,,3145,2245,15962,39912,3877,,,,,,,,,,,,,
20201213,"FL",1125931,345735,143047,343310,,,,,74111,219728,343310,504922,277699,20133,10207,3415,4897,,,,,833,781,4897,13578,1658,58891,25513,12260,15804,,,,,3109,2205,15804,39273,3814,,,,,,,,,,,,,
20201209,"FL",1083362,329412,138639,329154,,,,,70868,215289,329154,484816,269392,19716,9959,3382,4817,,,,,810,748,4817,13289,1610,57957,24986,12000,15608,,,,,3072,2164,15608,38588,3761,,,,,,,,,,,,,
20201206,"FL",1058074,320153,136188,319897,,,,,68934,212902,319897,472954,265223,19423,9772,3346,4778,,,,,798,729,4778,13057,1588,57185,24574,12000,15454,,,,,3038,2119,15454,38025,3706,,,,,,,,,,,,,
20201202,"FL",1018160,305182,132331,306402,,,,,65966,208279,306402,454591,257167,19012,9528,3290,4700,,,,,784,710,4700,12746,1566,56269,24025,11905,15271,,,,,2990,2078,15271,37353,3645,,,,,,,,,,,,,
20201129,"FL",992661,296152,130118,296671,,,,,64649,205071,296671,442786,253204,18736,9353,3252,4649,,,,,778,704,4649,12525,1562,55393,23558,11750,15079,,,,,2961,2045,15079,36707,3607,,,,,,,,,,,,,
20201125,"FL",961676,284157,127361,285789,,,,,62720,201649,285789,428546,247341,18482,9226,3205,4585,,,,,768,698,4585,12346,1551,54813,23218,11669,14937,,,,,2948,2041,14937,36273,3603,,,,,,,,,,,,,
20201122,"FL",938414,274815,125305,277954,,,,,61519,198821,277954,417342,243118,18214,9049,3182,4536,,,,,760,687,4536,12155,1523,54067,22797,11558,14793,,,,,2911,2008,14793,35722,3552,,,,,,,,,,,,,
20201118,"FL",905248,262352,122439,266822,,,,,59568,194067,266822,401087,237339,17949,8905,3153,4472,,,,,741,678,4472,11979,1498,53277,22336,11447,14644,,,,,2880,1970,14644,35133,3500,,,,,,,,,,,,,
20201115,"FL",885201,254742,120767,259882,,,,,58383,191427,259882,390662,234657,17734,8772,3129,4433,,,,,733,667,4433,11824,1477,52529,21926,11323,14498,,,,,2844,1938,14498,34577,3454,,,,,,,,,,,,,
20201111,"FL",858012,245465,118545,250596,,,,,56693,186713,250596,377742,229674,17512,8631,3101,4392,,,,,717,671,4392,11648,1472,51731,21449,11218,14345,,,,,2809,1910,14345,33974,3412,,,,,,,,,,,,,
20201108,"FL",843897,239791,117141,246885,,,,,55902,184178,246885,369711,227301,17333,8523,3076,4362,,,,,706,666,4362,11509,1462,51093,21081,11123,14237,,,,,2780,1872,14237,33492,3364,,,,,,,,,,,,,
