"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"GA",,"Aggregate",4701,,709,,1882,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,,159,,344,,,,,,,,142,,,,,639,,159,,344,,,,,,,,142,,,,
20200528,"GA",,"Aggregate",5023,,795,,2027,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,164,,355,,,,,,,,146,,,,,650,,164,,355,,,,,,,,146,,,,
20200604,"GA",,"Aggregate",5357,,923,,2195,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,172,,377,,,,,,,,156,,,,,683,,172,,377,,,,,,,,156,,,,
20200611,"GA",,"Aggregate",5572,,947,,2376,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,173,,383,,,,,,,,159,,,,,685,,173,,383,,,,,,,,159,,,,
20200618,"GA",,"Aggregate",5824,,1000,,2527,,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,174,,431,,,,,,,,169,,,,,711,,174,,431,,,,,,,,169,,,,
20200625,"GA",,"Aggregate",6140,,1062,,2621,,,,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,,175,,437,,,,,,,,179,,,,,741,,175,,437,,,,,,,,179,,,,
20200702,"GA",,"Aggregate",6365,,1094,,2762,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794,,179,,488,,,,,,,,197,,,,,794,,179,,488,,,,,,,,197,,,,
20200709,"GA",,"Aggregate",6994,,1131,,3163,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829,,191,,535,,,,,,,,219,,,,,829,,191,,535,,,,,,,,219,,,,
20200716,"GA",,"Aggregate",7475,,1231,,3517,,,,,,,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,,204,,609,,,,,,,,235,,,,,881,,204,,609,,,,,,,,235,,,,
20200723,"GA",,"Aggregate",8069,,1311,,3850,,,,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953,,216,,713,,,,,,,,250,,,,,953,,216,,713,,,,,,,,250,,,,
20200730,"GA",,"Aggregate",8620,,1401,,4120,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,,224,,789,,,,,,,,263,,,,,1016,,224,,789,,,,,,,,263,,,,
20200806,"GA",,"Aggregate",9448,,1525,,4451,,,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,,248,,851,,,,,,,,268,,,,,1077,,248,,851,,,,,,,,268,,,,
20200813,"GA",,"Aggregate",10366,,1690,,4900,,,,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151,,254,,925,,,,,,,,273,,,,,1151,,254,,925,,,,,,,,273,,,,
20200820,"GA",,"Aggregate",10884,,1796,,5146,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208,,272,,970,,,,,,,,280,,,,,1208,,272,,970,,,,,,,,280,,,,
20200827,"GA",,"Aggregate",11577,,1947,,5437,,,,,,,,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238,,283,,999,,,,,,,,289,,,,,1238,,283,,999,,,,,,,,289,,,,
20200903,"GA",,"Aggregate",11968,,2021,,5693,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1267,,287,,1056,,,,,,,,294,,,,,1267,,287,,1056,,,,,,,,294,,,,
20200910,"GA",,"Aggregate",12258,,2069,,5920,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,,293,,1061,,,,,,,,291,,,,,1308,,293,,1061,,,,,,,,291,,,,
20200917,"GA",,"Aggregate",12611,,2125,,6168,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327,,296,,1119,,,,,,,,287,,,,,1327,,296,,1119,,,,,,,,287,,,,
20200924,"GA",,"Aggregate",12806,,2199,,6301,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360,,298,,1171,,,,,,,,293,,,,,1360,,298,,1171,,,,,,,,293,,,,
20201001,"GA",,"Aggregate",13016,,2231,,6482,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389,,300,,1169,,,,,,,,293,,,,,1389,,300,,1169,,,,,,,,293,,,,
20201008,"GA",,"Aggregate",13246,,2247,,6620,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421,,307,,1206,,,,,,,,293,,,,,1421,,307,,1206,,,,,,,,293,,,,
20201015,"GA",,"Aggregate",13498,,2273,,6719,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435,,307,,1202,,,,,,,,291,,,,,1435,,307,,1202,,,,,,,,291,,,,
20201022,"GA",,"Aggregate",13722,,2304,,6891,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1453,,310,,1196,,,,,,,,287,,,,,1453,,310,,1196,,,,,,,,287,,,,
20201029,"GA",,"Aggregate",13981,,2323,,7051,,,,,,,,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499,,315,,1230,,,,,,,,290,,,,,1499,,315,,1230,,,,,,,,290,,,,
20201105,"GA",,"Aggregate",14247,,2360,,7166,,,,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,,320,,1233,,,,,,,,295,,,,,1544,,320,,1233,,,,,,,,295,,,,
20201112,"GA",,"Aggregate",14774,,2433,,7454,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624,,329,,1276,,,,,,,,299,,,,,1624,,329,,1276,,,,,,,,299,,,,
20201119,"GA",,"Aggregate",15103,,2485,,7662,,,,,,,,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1794,,341,,1358,,,,,,,,307,,,,,1794,,341,,1358,,,,,,,,307,,,,
20201126,"GA",,"Aggregate",15301,,2515,,7840,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865,,362,,1459,,,,,,,,308,,,,,1865,,362,,1459,,,,,,,,308,,,,
20201203,"GA",,"Aggregate",15721,,2560,,8133,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031,,379,,1556,,,,,,,,310,,,,,2031,,379,,1556,,,,,,,,310,,,,
20201210,"GA",,"Aggregate",16130,,2592,,8330,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,,407,,1652,,,,,,,,312,,,,,2172,,407,,1652,,,,,,,,312,,,,
