"Date","State","Cases_Total","Cases_White","Cases_Black","Cases_LatinX","Cases_Asian","Cases_AIAN","Cases_NHPI","Cases_Multiracial","Cases_Other","Cases_Unknown","Cases_Ethnicity_Hispanic","Cases_Ethnicity_NonHispanic","Cases_Ethnicity_Unknown","Deaths_Total","Deaths_White","Deaths_Black","Deaths_LatinX","Deaths_Asian","Deaths_AIAN","Deaths_NHPI","Deaths_Multiracial","Deaths_Other","Deaths_Unknown","Deaths_Ethnicity_Hispanic","Deaths_Ethnicity_NonHispanic","Deaths_Ethnicity_Unknown","Hosp_Total","Hosp_White","Hosp_Black","Hosp_LatinX","Hosp_Asian","Hosp_AIAN","Hosp_NHPI","Hosp_Multiracial","Hosp_Other","Hosp_Unknown","Hosp_Ethnicity_Hispanic","Hosp_Ethnicity_NonHispanic","Hosp_Ethnicity_Unknown","Tests_Total","Tests_White","Tests_Black","Tests_LatinX","Tests_Asian","Tests_AIAN","Tests_NHPI","Tests_Multiracial","Tests_Other","Tests_Unknown","Tests_Ethnicity_Hispanic","Tests_Ethnicity_NonHispanic","Tests_Ethnicity_Unknown"
20210307,"GA",1023487,319208,216068,85460,17888,504,746,,36133,347480,85460,501639,436388,17906,8939,5282,852,298,10,10,,78,2437,852,14534,2520,56797,24335,22046,6155,1029,20,69,,1076,2067,6155,46118,4524,,,,,,,,,,,,,
20210303,"GA",1014542,316390,214195,84820,17622,485,738,,35689,344603,84820,497137,432585,17625,8804,5191,842,293,10,9,,76,2400,842,14301,2482,56369,24083,21868,6126,1016,20,65,,1063,2128,6126,45708,4535,,,,,,,,,,,,,
20210228,"GA",1006521,313766,212513,84314,17478,478,731,,35562,341679,84314,493006,429201,17295,8641,5090,829,290,10,8,,74,2353,829,14036,2430,56039,23907,21732,6096,1009,20,63,,1060,2152,6096,45403,4540,,,,,,,,,,,,,
20210224,"GA",994061,309658,209973,83563,17238,481,726,,35210,337212,83563,486335,424163,17064,8532,5026,820,284,10,8,,75,2309,820,13861,2383,55394,23590,21471,6060,996,20,62,,1044,2151,6060,44842,4492,,,,,,,,,,,,,
20210221,"GA",985505,306786,208076,82860,17038,479,722,,34915,334629,82860,481457,421188,16744,8381,4941,816,281,10,8,,75,2232,816,13630,2298,54753,23269,21229,6029,986,19,61,,1034,2126,6029,44297,4427,,,,,,,,,,,,,
20210217,"GA",796547,302026,205064,82262,16741,469,713,,34621,154651,82262,473700,240585,16273,8153,4829,791,273,10,7,,69,2141,791,13282,2200,,,,,,,,,,,,,,,,,,,,,,,,,,
20210214,"GA",790779,298772,203013,81592,16552,471,706,,34405,155268,81592,468420,240767,15871,7977,4755,770,263,10,7,,65,2024,770,13023,2078,,,,,,,,,,,,,,,,,,,,,,,,,,
20210210,"GA",780494,293572,199608,80632,16228,476,697,,33753,155528,80632,459764,240098,15421,7718,4662,756,252,10,7,,61,1955,756,12646,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
20210207,"GA",772978,290074,197171,79974,16027,469,689,,33425,155149,79974,453935,239069,15092,7543,4596,739,248,10,7,,57,1892,739,12405,1948,,,,,,,,,,,,,,,,,,,,,,,,,,
20210203,"GA",759228,284786,193548,78770,15663,465,680,,32740,152576,78770,445216,235242,14587,7297,4464,719,238,10,7,,52,1800,719,12018,1850,,,,,,,,,,,,,,,,,,,,,,,,,,
20210131,"GA",749867,280883,190921,77957,15404,467,674,,32088,151473,77957,438968,232942,14198,7068,4389,704,229,10,7,,51,1740,704,11710,1784,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,"GA",731826,274718,186336,76489,14926,449,658,,30908,147342,76489,428750,226587,13643,6780,4268,688,217,8,6,,61,1615,688,11295,1660,,,,,,,,,,,,,,,,,,,,,,,,,,
20210124,"GA",718532,269840,182889,75397,14534,446,642,,29891,144893,75397,420923,222212,13250,6568,4182,676,206,8,6,,60,1544,676,10984,1590,,,,,,,,,,,,,,,,,,,,,,,,,,
20210120,"GA",695400,262063,177781,73760,14015,422,628,,28208,138523,73760,408776,212864,12778,6304,4092,661,200,9,6,,52,1454,661,10624,1493,,,,,,,,,,,,,,,,,,,,,,,,,,
20210117,"GA",680378,257044,174679,72644,13703,416,621,,26672,134599,72644,401463,206271,12296,6082,3976,644,196,9,6,,46,1337,644,10279,1373,,,,,,,,,,,,,,,,,,,,,,,,,,
20210113,"GA",654356,247677,168469,70574,13066,404,605,,24320,129241,70574,386173,197609,11803,5775,3870,631,187,10,6,,41,1283,631,9857,1315,,,,,,,,,,,,,,,,,,,,,,,,,,
20210110,"GA",636373,240744,164192,69221,12615,400,590,,22331,126280,69221,375842,191310,11458,5563,3813,620,180,10,6,,37,1229,620,9580,1258,,,,,,,,,,,,,,,,,,,,,,,,,,
20210106,"GA",602796,229587,157521,66886,11876,365,571,,19221,116769,66886,359125,176785,11165,5402,3742,601,177,10,6,,41,1186,601,9342,1222,,,,,,,,,,,,,,,,,,,,,,,,,,
